mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	44									4, 5			1
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	45												1
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	46		articStaccatoAbove										
4	3	45/4	45/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	47		articStaccatoBelow										
5	4	13	13	0.0	0	0	Spanner	4/4	1	1	0																
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	48												
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	49												
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	50												
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	51												
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	52												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	53												
5	4	15	15	0.75	1/2	1/2	Chord	4/4	1	2	3/16		1/8	3/2	54									6			
5	4	63/4	63/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	55									6			
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	56												
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	57												
5	4	15	15	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	58												
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	59												
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	60												
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	61												
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	62									7			
6	5	18	18	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	63									7			
6	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	64									7			
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	65									7			
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	66												
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	67												
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	68												
7	6	21	21	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco scherzando"									
7	6	21	21	0.0	0	0	Dynamic	4/4	1	1	0					sf											
7	6	21	21	0.0	0	0	Spanner	4/4	1	1	0															1	
7	6	21	21	0.0	0	0	Spanner	4/4	1	1	0															1	2
7	6	21	21	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	69											1	2
7	6	21	21	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	70											1	2
7	6	21	21	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	71											1	2
7	6	21	21	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	72											1	2
7	6	21	21	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	73											1	2
7	6	171/8	171/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	74		articStaccatoBelow									1	2
7	6	43/2	43/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																2
7	6	43/2	43/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	75		articStaccatoBelow										2
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	76		articStaccatoBelow										2
7	6	22	22	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	77									8			2
7	6	89/4	89/4	0.5	5/16	5/16	Chord	4/4	1	1	1/8		1/8	1	78												2
7	6	91/4	91/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	79									9			2
7	6	23	23	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	80									9			2
7	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	81												2
7	6	24	24	0.0	3/4	3/4	StaffText	4/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>tranq."									
7	6	24	24	0.0	3/4	3/4	Spanner	4/4	1	1	0																
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	82												
7	6	21	21	0.0	0	0	Spanner	4/4	2	1	0																
7	6	21	21	0.0	0	0	Spanner	4/4	2	1	0																
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	83												
7	6	93/4	93/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	84												
7	6	24	24	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	85									10			
7	6	99/4	99/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	86									10			
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	87												
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	88												
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	89												
8	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	90												
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	91												
8	7	27	27	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	92									11			
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	93									11			
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	94												
9	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	95												
9	8	32	32	0.0	3/4	3/4	Spanner	4/4	1	1	0																
9	8	32	32	0.0	3/4	3/4	Spanner	4/4	1	1	0																
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	96									12			
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	97												
9	8	30	30	0.0	1/4	1/4	Spanner	4/4	2	1	0															2	
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	98											2	
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	99											2	
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	100											2	
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	101											2	
9	8	61/2	61/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																
9	8	123/4	123/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	102									13			
9	8	31	31	0.0	1/2	1/2	Spanner	4/4	2	1	0													13			3
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	103									13			3
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	104									13			3
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	105												3
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	106												3
9	8	30	30	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	107												3
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	108												3
10	9	33	33	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	109												
10	9	35	35	0.0	1/2	1/2	Spanner	4/4	1	1	0																4
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	110									14			4
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	111												4
10	9	73/2	73/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																
10	9	33	33	0.0	0	0	Spanner	4/4	2	1	0																
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	112												
10	9	34	34	0.0	1/4	1/4	Spanner	4/4	2	1	0																
10	9	34	34	0.0	1/4	1/4	Spanner	4/4	2	1	0																
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	113												
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	114												
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	115												
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	116												
10	9	139/4	139/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	117												
10	9	35	35	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	118									15			
10	9	143/4	143/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	119									15			
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	120												
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	121												
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	122												
10	9	34	34	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	123												
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	124												
11	10	75/2	75/2	0.0	1/8	1/8	Spanner	4/4	1	1	0															3	
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	125									16		3	
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	126									16		3	
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	127									16		3	
11	10	39	39	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	128											3	
11	10	40	40	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff											
11	10	40	40	0.0	3/4	3/4	Spanner	4/4	1	1	0																
11	10	40	40	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	129									17			
11	10	163/4	163/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	130									17			
11	10	37	37	0.0	0	0	Dynamic	4/4	2	1	0					f											
11	10	37	37	0.0	0	0	StaffText	4/4	2	1	0							risoluto									
11	10	37	37	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	131												
11	10	37	37	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	132												
11	10	37	37	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	133												
11	10	37	37	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	134												
11	10	299/8	299/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	135												
11	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	136												
11	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	137												
11	10	38	38	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	138									18			
11	10	153/4	153/4	0.5	5/16	5/16	Chord	4/4	2	1	1/8		1/8	1	139												
11	10	155/4	155/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	140									19			
11	10	39	39	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	141									19			
11	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	142												
11	10	40	40	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	143									20			
11	10	163/4	163/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	144									20			
11	10	37	37	0.0	0	0	Chord	4/4	2	2	0	grace16	1/16	1	145												
11	10	37	37	0.0	0	0	Chord	4/4	2	2	0	grace16	1/16	1	146												
11	10	37	37	0.0	0	0	Chord	4/4	2	2	0	grace16	1/16	1	147												
11	10	37	37	0.25	0	0	Chord	4/4	2	2	1/16		1/16	1	148												
12	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	149												
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	150												
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	151												
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	152												
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	153												
12	11	43	43	0.75	1/2	1/2	Chord	4/4	1	2	3/16		1/8	3/2	154												
12	11	175/4	175/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	155												
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	156												
12	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	157												
12	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	158												
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	159												
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	160												
13	12	46	46	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	161												
13	12	47	47	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	162												
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	163												
13	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	164												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	1	2	0	grace16	1/16	1	165												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	1	2	0	grace16	1/16	1	166												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	1	2	0	grace16	1/16	1	167												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	1	2	0	grace16	1/16	1	168												
13	12	46	46	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	169												
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	170												
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	171									21			
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	172												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	173												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	174												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	175												
13	12	46	46	0.0	1/4	1/4	Chord	4/4	2	1	0	grace16	1/16	1	176												
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	177												
13	12	47	47	0.0	1/2	1/2	Spanner	4/4	2	1	0																5
13	12	47	47	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	178												5
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	179												5
13	12	97/2	97/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																
14	13	49	49	0.0	0	0	StaffText	4/4	1	1	0							accelerando									
14	13	49	49	0.0	0	0	Dynamic	4/4	2	1	0					sf											
14	13	49	49	0.0	0	0	Spanner	4/4	2	1	0															4	
14	13	49	49	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	180											4	
14	13	49	49	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	181											4	
14	13	49	49	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	182											4	
14	13	49	49	0.0	0	0	Chord	4/4	2	1	0	grace16	1/16	1	183											4	
14	13	49	49	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	184											4	
14	13	395/8	395/8	0.0	3/32	3/32	Spanner	4/4	2	1	0																
14	13	395/8	395/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	185												
14	13	99/2	99/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	186		articStaccatoBelow										
14	13	199/4	199/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	187		articStaccatoBelow										
14	13	50	50	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	188									22			
14	13	201/4	201/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	189												
14	13	101/2	101/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	190												
14	13	203/4	203/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	191												
14	13	51	51	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	192												
14	13	205/4	205/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	193												
14	13	103/2	103/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	194												
14	13	207/4	207/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	195												
14	13	52	52	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	196												
14	13	209/4	209/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	197												
14	13	105/2	105/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	198												
14	13	211/4	211/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	199												
15	14	221/4	221/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	200		articAccentAbove										
15	14	111/2	111/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	201												
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	202												
15	14	53	53	0.0	0	0	Spanner	4/4	2	1	0																6
15	14	53	53	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	203												6
15	14	213/4	213/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	204												6
15	14	107/2	107/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	205												6
15	14	215/4	215/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	206												6
15	14	54	54	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	207												6
15	14	217/4	217/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	208												6
15	14	109/2	109/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	209												6
15	14	219/4	219/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	210												6
15	14	55	55	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	211		articTenutoBelow										6
15	14	221/4	221/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	212												6
15	14	111/2	111/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	213		articTenutoBelow										6
15	14	223/4	223/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	214		articTenutoBelow										6
15	14	56	56	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	215		articTenutoBelow										6
15	14	225/4	225/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	216		articTenutoBelow										6
15	14	113/2	113/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	217		articTenutoBelow										6
15	14	227/4	227/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	218		articTenutoBelow										6
16	15	57	57	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	219									23			
16	15	58	58	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	220									23			
16	15	235/4	235/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	221												
16	15	229/4	229/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	222												
16	15	115/2	115/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	223												
16	15	58	58	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	224												
16	15	57	57	0.0	0	0	Spanner	2/4	2	1	0																
16	15	57	57	0.0	0	0	Spanner	2/4	2	1	0																7
16	15	57	57	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	225									24			7
16	15	231/4	231/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	226									24			7
16	15	58	58	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	227									24			7
16	15	117/2	117/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																
16	15	117/2	117/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	228												
17	16	59	59	0.0	0	0	Spanner	2/4	1	1	0																8
17	16	237/4	237/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	229									25			8
17	16	60	60	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	230									25			8
17	16	60	60	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	231												8
17	16	243/4	243/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	232												8
17	16	59	59	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	233									26			
17	16	239/4	239/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	234									26			
17	16	60	60	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235									26			
17	16	121/2	121/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236												
17	16	59	59	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	237												
18	17	61	61	0.0	0	0	Spanner	2/4	1	1	0																
18	17	245/4	245/4	0.0	1/16	1/16	StaffText	2/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>ritenuto"									
18	17	245/4	245/4	0.0	1/16	1/16	Spanner	2/4	1	1	0																9
18	17	245/4	245/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	238												9
18	17	62	62	0.0	1/4	1/4	Spanner	2/4	1	1	0																
18	17	62	62	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	239									27			
18	17	62	62	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	240												
