mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	Trill:trill
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0					p														
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								Capricioso,congrazia𝅘𝅥=72	72.0	Capricioso,congrazia𝅘𝅥	72.0	1.0							
1	0	0	0	0.0		0	3/8	Spanner	2/4	1	1	0																		0	
1	0	0	0	0.25		0	3/8	Chord	2/4	1	1	1/16		1/16	1	0		articStaccatoAbove							0					0	
1	0	1/4	1/4	0.25		1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1		articStaccatoAbove							0					0	
1	0	0	0	0.25		0	3/8	Chord	2/4	2	1	1/16		1/16	1	2		articStaccatoBelow							1						
1	0	1/4	1/4	0.25		1/16	7/16	Chord	2/4	2	1	1/16		1/16	1	3		articStaccatoBelow							1						
2	1	1/2	1/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	4		articStaccatoAbove							0					0	
2	1	3/4	3/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	5		articStaccatoAbove												0	
2	1	1	1	0.0		1/8	1/8	Spanner	2/4	1	1	0																			
2	1	1	1	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	6		articStaccatoAbove							2						
2	1	5/4	5/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	7		articStaccatoAbove							2						
2	1	3/2	3/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	8		articStaccatoAbove							2						
2	1	7/4	7/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	9		articStaccatoAbove													
2	1	2	2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	10		articStaccatoAbove							3						
2	1	9/4	9/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	11		articStaccatoAbove													
2	1	1/2	1/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	12		articStaccatoBelow							1						
2	1	3/4	3/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	13		articStaccatoBelow							1						
2	1	1	1	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	14		articStaccatoBelow							1						
2	1	5/4	5/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	15		articStaccatoBelow							1						
2	1	3/2	3/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	16		articStaccatoBelow							1						
2	1	7/4	7/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	17		articStaccatoBelow							1						
2	1	2	2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	18		articStaccatoBelow							1						
2	1	9/4	9/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	19		articStaccatoBelow							1						
3	2	5/2	5/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	20									4						
3	2	11/4	11/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	21									4						
3	2	3	3	0.0		1/8	1/8	Chord	2/4	1	1	0	acciaccatura	1/8	1	22															
3	2	3	3	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	23															
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24									5						
3	2	4	4	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	25									5						
3	2	17/4	17/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	26									5						
3	2	5/2	5/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	27		articStaccatoBelow							1						
3	2	11/4	11/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	28		articStaccatoBelow							1						
3	2	3	3	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	29		articStaccatoBelow							1						
3	2	13/4	13/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	30		articStaccatoBelow							1						
3	2	7/2	7/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	31		articStaccatoAbove							1						
3	2	15/4	15/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	32		articStaccatoAbove							1						
3	2	4	4	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	33		articStaccatoAbove							1						
3	2	17/4	17/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	34		articStaccatoAbove							1						
4	3	9/2	9/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	35									5						
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	36									5						
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	37															
4	3	11/2	11/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	38									6						
4	3	23/4	23/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	39									6						
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	40									7						
4	3	9/2	9/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	41		articStaccatoAbove							1						
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	42		articStaccatoAbove							1						
4	3	5	5	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	43		articStaccatoAbove							1						
4	3	21/4	21/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	44		articStaccatoAbove							1						
4	3	11/2	11/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	45		articStaccatoAbove							1						
4	3	23/4	23/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	46		articStaccatoAbove							1						
4	3	6	6	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	47		articStaccatoAbove							1						
4	3	25/4	25/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	48		articStaccatoAbove							1						
5	4	13/2	13/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	49									7						
5	4	27/4	27/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	50									7						
5	4	7	7	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	51									8						
5	4	15/2	15/2	0.0		1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	52									8						
5	4	15/2	15/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	53									8						
5	4	31/4	31/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	54															
5	4	8	8	0.0		3/8	3/8	Spanner	2/4	1	1	0																	0		
5	4	8	8	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	55									9				0		
5	4	33/4	33/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	56									9				0		
5	4	13/2	13/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	57		articStaccatoAbove							1						
5	4	27/4	27/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	58		articStaccatoAbove							1						
5	4	7	7	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	59		articStaccatoAbove							1						
5	4	29/4	29/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	60		articStaccatoAbove							1						
5	4	15/2	15/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	61		articStaccatoAbove							1						
5	4	31/4	31/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	62		articStaccatoAbove													
5	4	8	8	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	63		articStaccatoBelow							10						
5	4	33/4	33/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	64		articStaccatoBelow							10						
6	5	17/2	17/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	65									9				0		
6	5	35/4	35/4	0.0		1/16	1/16	Spanner	2/4	1	1	0													9						
6	5	35/4	35/4	0.0		1/16	1/16	Spanner	2/4	1	1	0													9			0			
6	5	35/4	35/4	0.0		1/16	1/16	Chord	2/4	1	1	0	acciaccatura	1/8	1	66									9			0			
6	5	35/4	35/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8		1/8	1	67									9			0			
6	5	37/4	37/4	0.0		3/16	3/16	Spanner	2/4	1	1	0																			
6	5	37/4	37/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	68															
6	5	19/2	19/2	0.0		1/4	1/4	Dynamic	2/4	1	1	0					p														
6	5	19/2	19/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	69									11						
6	5	39/4	39/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	70									11						
6	5	10	10	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	71									11						
6	5	41/4	41/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	72									11						
6	5	17/2	17/2	0.0		0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>rinforz."						10						
6	5	17/2	17/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	73		articStaccatoBelow							10						
6	5	35/4	35/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	74		articStaccatoBelow							10						
6	5	9	9	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	75		articStaccatoBelow							10						
6	5	37/4	37/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	76		articStaccatoBelow							10						
