mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	35														
5	5	12	12	0.0	0	0	Dynamic	6/8	1	1	0						p													
5	5	12	12	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	36														
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	37		articStaccatoAbove												
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	38		articStaccatoAbove												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	39									6					
5	5	14	14	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	40									6					
5	5	57/4	57/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	41									6					
5	5	29/2	29/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	42									6					
5	5	59/4	59/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	43									6					
5	5	12	12	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	44									7					
5	5	25/2	25/2	0.0	1/8	1/8	StaffText	6/8	2	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>leggiero"						7					
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	45									7					
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	46									7					
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	47									7					
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	48									7					
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	49									7					
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	50														
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	51														
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	52		articTenutoAbove												
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	53														
6	6	17	17	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	54									8					
6	6	69/4	69/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	55									8					
6	6	35/2	35/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	56									8					
6	6	71/4	71/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	57									8					
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	58									7					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	59									7					
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	60									7					
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	61									7					
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	62									7					
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	63														
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	64									8					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	65		articTenutoAbove												
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	66		articTenutoAbove												
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	67									9					
7	7	41/2	41/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						pp								9					
7	7	41/2	41/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	68									9					
7	7	83/4	83/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	69									9					
7	7	81/4	81/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16			1/16	1	70									10					
7	7	41/2	41/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16			1/16	1	71									10					
7	7	83/4	83/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16			1/16	1	72									10					
7	7	18	18	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	73									11					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	74									11					
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	75									11					
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	76									11					
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	77									11					
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	78									11					
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	79									9					
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	80														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	81									12					
8	8	21	21	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	82														
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	83									11					
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	84									11					
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	85									11					
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	86									11					
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	87									11					
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	88														
9	9	24	24	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	89														
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	90		articStaccatoAbove												
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	91		articStaccatoAbove												
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	92									13					
9	9	26	26	0.0	1/2	1/2	Spanner	6/8	1	1	0														13	1				
9	9	26	26	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	93									13	1				
9	9	105/4	105/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	94									13	1				
9	9	53/2	53/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	95									13	1				
9	9	107/4	107/4	0.0	11/16	11/16	Spanner	6/8	1	1	0														13					
9	9	107/4	107/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	96									13					
9	9	24	24	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	97									14					
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	98									14					
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	99									14					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	100									14					
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	101									14					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	102									14					
10	10	27	27	0.0	0	0	Spanner	6/8	1	1	0															2				
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	103									15	2				
10	10	55/2	55/2	0.0	1/8	1/8	StaffText	6/8	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco affrettando"						15	2				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	104									15	2				
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	105									15	2				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	106									15	2				
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	107									15	2				
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	108										2				
10	10	27	27	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	109									14					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	110									14					
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	111									14					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	112									14					
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	113									14					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	114														
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0																			
11	11	30	30	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	115									16					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	116									16					
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	117									16					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	118									16					
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	119									16					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	120									16					
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	121									17					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	122									17					
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	123									17					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	124									17					
11	11	32	32	0.0	1/2	1/2	StaffText	6/8	2	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>calando"						17					
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	125									17					
11	11	65/2	65/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																1			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	126											1			
12	12	33	33	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	127									16					
12	12	133/4	133/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	128									16					
12	12	67/2	67/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	129									16					
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	130									16					
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	131									16					
12	12	69/2	69/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	132									16					
12	12	139/4	139/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	133									16					
12	12	35	35	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	134									16					
12	12	141/4	141/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	135									16					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	136														
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	137									18		1			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	138									18		1			
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	139									18		1			
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	140									18		1			
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	141									18		1			
12	12	71/2	71/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	142														
13	13	36	36	0.0	0	0	Dynamic	6/8	1	1	0						p													
13	13	36	36	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	143														
13	13	36	36	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	144														
13	13	36	36	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	145														
13	13	36	36	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	146									19					
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	147									19					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	148									19					
13	13	36	36	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	149														
13	13	36	36	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	150									20					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	151									20					
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	152									20					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	153									20					
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	154									20					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	155									20					
14	14	39	39	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	156														
14	14	83/2	83/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																			0
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	157									21					0
14	14	39	39	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	158														
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	159														
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	160														
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	161														
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	162														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	163														
15	15	42	42	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	164									21					0
15	15	42	42	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	165									21					0
15	15	42	42	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	166									21					0
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	167									21					0
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	168									21					0
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	169														0
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	170									22					0
15	15	42	42	0.0	0	0	StaffText	6/8	2	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>tranquillo"											
15	15	42	42	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	171														
15	15	42	42	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	172									23					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	173									23					
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	174									23					
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	175									23					
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	176									23					
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	177									23					
16	16	45	45	0.0	0	0	Chord	6/8	1	1	0	acciaccatura		1/8	1	178									22					0
16	16	45	45	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	179									22					0
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	180									22					0
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	181														0
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	182														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	183														
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	184														
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	185														
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	186														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	187									24					
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	188									25					
17	17	48	48	0.0	0	0	Dynamic	6/8	1	1	0						p													0
17	17	48	48	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	189														0
17	17	48	48	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	190														0
17	17	48	48	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	191														0
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	192														0
17	17	49	49	0.0	1/4	1/4	Spanner	6/8	1	1	0																			
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	193									26					
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	194														
17	17	97/2	97/2	0.0	1/8	1/8	StaffText	6/8	2	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco a poco più vivo"											
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	195														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	196														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	197														
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	198														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	199														
18	18	51	51	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	200														
18	18	107/2	107/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																			1
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	201									27					1
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	202														
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	203														
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	204														
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	205														
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	206														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	207														
19	19	54	54	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	208														1
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	209		articStaccatoAbove												1
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	210		articStaccatoAbove												1
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	211									28					1
19	19	56	56	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	212									28					1
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	213									28					1
19	19	113/2	113/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	214									28					1
19	19	227/4	227/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	215									28					1
19	19	54	54	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	216									29					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	217									29					
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	218									29					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	219									29					
19	19	56	56	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	220									29					
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	221									29					
20	20	57	57	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	222														1
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	223														1
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	224														1
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	225														1
20	20	59	59	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	226									30					1
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	227									30					1
20	20	119/2	119/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	228									30					1
20	20	239/4	239/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	229									30					1
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	230									29					
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	231									29					
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	232									29					
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	233									29					
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	234									29					
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	235														
21	21	60	60	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	236														1
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	237														1
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	238														1
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	239														1
21	21	62	62	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	240									31					1
21	21	249/4	249/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	241									31					1
21	21	125/2	125/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	242									31					1
21	21	251/4	251/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	243									31					1
21	21	60	60	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	244									32					
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	245									32					
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	246									32					
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	247									32					
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	248									32					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	249									32					
22	22	63	63	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	250														1
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	251														1
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	252														1
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																2			1
