mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	0	0	0	0.0	0	1/4	Dynamic	3/8	1	1	0					ff															
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8		1/8	1	0		articAccentStaccatoBelow														
1	0	0	0	0.5	0	1/4	Chord	3/8	2	1	1/8		1/8	1	1		articAccentStaccatoAbove														
2	1	1/2	1/2	0.0	0	0	Spanner	3/8	1	1	0															0					
2	1	1/2	1/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	2									0		0					
2	1	3/4	3/4	0.0	1/16	1/16	Tempo	3/8	1	1	0								Allegrorisoluto𝅘𝅥.=82-88	120.0			1.0	0		0					
2	1	3/4	3/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	3									0		0					
2	1	1	1	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	4									0		0					
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	5									0		0					
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	6																
2	1	1/2	1/2	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>brioso"													
2	1	1/2	1/2	0.0	0	0	Spanner	3/8	2	1	0															1					
2	1	1/2	1/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	7									1		1					
2	1	5/4	5/4	0.0	3/16	3/16	Spanner	3/8	2	1	0																				
2	1	5/4	5/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	8		articTenutoAbove														
3	2	2	2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	9		articStaccatoAbove														
3	2	5/2	5/2	0.0	1/8	1/8	Spanner	3/8	1	1	0															2					
3	2	5/2	5/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	10									2		2					
3	2	11/4	11/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	11									2		2					
3	2	3	3	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	12									2		2					
3	2	13/4	13/4	0.0	5/16	5/16	Spanner	3/8	1	1	0													2							
3	2	13/4	13/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	13									2							
3	2	2	2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	14		articTenutoAbove														
3	2	11/4	11/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	15		articTenutoAbove														
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	16		articStaccatoBelow														
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	17		articStaccatoBelow														
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	18		articStaccatoBelow														
4	3	7/2	7/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	19		articTenutoBelow														
4	3	17/4	17/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	20		articTenutoBelow														
5	4	5	5	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	21		articTenutoBelow							3							
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	22		articAccentStaccatoBelow														
5	4	5	5	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	23		articTenutoBelow														
5	4	23/4	23/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	24		articAccentBelow														
6	5	13/2	13/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	25		articTenutoBelow							4							
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	26		articAccentStaccatoBelow														
6	5	13/2	13/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	27		articTenutoBelow														
6	5	29/4	29/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	28		articAccentBelow														
7	6	8	8	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	29		articTenutoBelow							5							
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	30		articAccentStaccatoBelow														
7	6	8	8	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	31		articTenutoBelow														
7	6	35/4	35/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	32		articAccentBelow														
8	7	19/2	19/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	33		articTenutoAbove														
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	34		articTenutoAbove														
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	35		articTenutoAbove														
8	7	19/2	19/2	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco allarg."													
8	7	19/2	19/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	36		articTenutoBelow														
8	7	41/4	41/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	37		articAccentBelow														
9	8	11	11	0.0	0	0	Spanner	3/8	1	1	0															3					
9	8	11	11	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	38		articTenutoAbove									3					
9	8	11	11	0.0	0	0	Spanner	3/8	2	1	0																		0	0	
9	8	11	11	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	39														0	0	
10	9	25/2	25/2	0.0	0	0	Spanner	3/8	1	1	0																				
10	9	25/2	25/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	40																
10	9	27/2	27/2	0.0	1/4	1/4	Dynamic	3/8	1	1	0					p															
10	9	27/2	27/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				0
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	41		articStaccatoAbove														0
10	9	25/2	25/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	42														0	0	
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	43		articTenutoAbove							6					0	0	
11	10	14	14	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	44																0
11	10	14	14	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	45									7							0
11	10	29/2	29/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	46																0
11	10	15	15	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	47		articStaccatoAbove														0
11	10	14	14	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	48		articTenutoAbove							6					0	0	
11	10	59/4	59/4	0.0	3/16	3/16	Spanner	3/8	2	1	0													6							
11	10	59/4	59/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	49		articTenutoAbove							6							
12	11	31/2	31/2	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	50																0
12	11	31/2	31/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	51		articStaccatoAbove							8							0
12	11	16	16	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	52																0
12	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	53		articAccentStaccatoAbove														0
12	11	31/2	31/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	54		articTenutoAbove														
12	11	65/4	65/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	55		articTenutoAbove							9							
13	12	17	17	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	56		articStaccatoAbove							10							0
13	12	35/2	35/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	57		articStaccatoAbove							10							0
13	12	18	18	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	58		articStaccatoAbove														0
13	12	17	17	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	59		articTenutoAbove							9							
13	12	71/4	71/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	60		articTenutoAbove							9							
14	13	37/2	37/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	61		articAccentAbove							11							0
14	13	19	19	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	62																0
14	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	63		articAccentStaccatoAbove														0
14	13	37/2	37/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	64		articTenutoAbove														
14	13	77/4	77/4	0.0	3/16	3/16	StaffText	3/8	2	1	0							cresc.													
14	13	77/4	77/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	65		articTenutoAbove							12							
15	14	20	20	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	66		articStaccatoAbove							13							0
15	14	41/2	41/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	67		articStaccatoAbove							13							0
15	14	21	21	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	68		articStaccatoAbove														0
15	14	20	20	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	69		articTenutoAbove							12							
15	14	83/4	83/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	70		articTenutoAbove							12							
16	15	43/2	43/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	71									14							0
16	15	22	22	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	72																0
16	15	45/2	45/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	73																0
16	15	43/2	43/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	74		articTenutoAbove														
16	15	89/4	89/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	75		articAccentAbove														
17	16	23	23	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	76																0
17	16	95/4	95/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	77									15							0
17	16	24	24	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	78																0
17	16	23	23	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	79		articAccentAbove														
17	16	95/4	95/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	80		articAccentAbove														
18	17	49/2	49/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	81									16							0
18	17	74/3	74/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	82									16							0
18	17	149/6	149/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	83									16							0
18	17	25	25	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	84									16							0
18	17	151/6	151/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	85									16							0
18	17	76/3	76/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	86									16							0
18	17	51/2	51/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	87									16							0
18	17	77/3	77/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	88									16							0
18	17	155/6	155/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	89									16							0
18	17	49/2	49/2	0.0	0	0	Dynamic	3/8	1	2	0					f															0
18	17	49/2	49/2	1.5	0	0	Chord	3/8	1	2	3/8		1/4	3/2	90									17							0
18	17	49/2	49/2	0.0	0	0	Spanner	3/8	2	1	0																		1	1	
18	17	49/2	49/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	91									18					1	1	
18	17	74/3	74/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	92									18					1	1	
18	17	149/6	149/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	93									18					1	1	
18	17	25	25	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	94									18					1	1	
18	17	151/6	151/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	95									18					1	1	
18	17	76/3	76/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	96									18					1	1	
18	17	51/2	51/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	97									18					1	1	
18	17	77/3	77/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	98									18					1	1	
18	17	155/6	155/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	99														1	1	
18	17	49/2	49/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	100									19					1	1	
19	18	26	26	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	101																0
19	18	107/4	107/4	0.75	3/16	3/16	Chord	3/8	1	1	3/16		1/8	3/2	102		articAccentStaccatoAbove														0
19	18	26	26	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	103														1	1	
19	18	107/4	107/4	0.0	3/16	3/16	Spanner	3/8	2	1	0																				
19	18	107/4	107/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	104		articAccentStaccatoBelow														
20	19	55/2	55/2	0.0	0	0	Dynamic	3/8	1	1	0					ff															
20	19	55/2	55/2	0.0	0	0	Spanner	3/8	1	1	0																				
20	19	55/2	55/2	0.0	0	0	Spanner	3/8	1	1	0															4					
20	19	55/2	55/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	105									20		4					
20	19	111/4	111/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	106									20		4					
20	19	28	28	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	107									20		4					
20	19	113/4	113/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	108									20		4					
20	19	57/2	57/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
20	19	57/2	57/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	109																
20	19	55/2	55/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	110		articTenutoBelow														
20	19	113/4	113/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	111		articTenutoBelow														
21	20	29	29	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	112																
21	20	59/2	59/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	113									21							
21	20	119/4	119/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	114									21							
21	20	30	30	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	115									21							
21	20	121/4	121/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	116									21							
21	20	29	29	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	117		articTenutoBelow														
21	20	119/4	119/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	118																
22	21	61/2	61/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	119		articStaccatoBelow														
22	21	125/4	125/4	0.75	3/16	3/16	Chord	3/8	1	1	3/16		1/8	3/2	120		articAccentStaccatoBelow														
22	21	61/2	61/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	121		articTenutoBelow														
22	21	125/4	125/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	122		articTenutoBelow														
23	22	32	32	0.0	0	0	Spanner	3/8	1	1	0															5					
23	22	32	32	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	123									22		5					
23	22	129/4	129/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	124									22		5					
23	22	65/2	65/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	125									22		5					
23	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	126									22		5					
23	22	33	33	0.0	1/4	1/4	StaffText	3/8	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>dimin."													
23	22	33	33	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
23	22	33	33	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	127																
23	22	32	32	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	128		articTenutoBelow														
23	22	131/4	131/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	129		articTenutoBelow														
24	23	67/2	67/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	130																
24	23	34	34	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	131									23							
24	23	137/4	137/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	132									23							
24	23	69/2	69/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	133									23							
24	23	139/4	139/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	134									23							
24	23	67/2	67/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	135		articTenutoBelow														
24	23	137/4	137/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	136		articTenutoBelow														
25	24	35	35	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	137		articStaccatoBelow														
25	24	143/4	143/4	0.75	3/16	3/16	Chord	3/8	1	1	3/16		1/8	3/2	138		articAccentStaccatoBelow														
25	24	35	35	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	139		articTenutoAbove														
25	24	143/4	143/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	140		articAccentStaccatoAbove														
26	25	73/2	73/2	0.0	0	0	Spanner	3/8	1	1	0															6					
26	25	73/2	73/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	141									24		6					
26	25	147/4	147/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	142									24		6					
26	25	37	37	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	143									24		6					
26	25	149/4	149/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	144									24		6					
26	25	75/2	75/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
26	25	75/2	75/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	145																
26	25	73/2	73/2	0.0	0	0	Dynamic	3/8	2	1	0					ff															
26	25	73/2	73/2	0.0	0	0	Spanner	3/8	2	1	0															7					
26	25	73/2	73/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	146									25		7					
26	25	149/4	149/4	0.0	3/16	3/16	Spanner	3/8	2	1	0																				
26	25	149/4	149/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	147																
27	26	38	38	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	148		articStaccatoAbove														
27	26	77/2	77/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	149									26							
27	26	155/4	155/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	150									26							
27	26	39	39	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	151									26							
27	26	157/4	157/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	152									26							
27	26	38	38	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	153																
27	26	155/4	155/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	154																
28	27	79/2	79/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	155																
28	27	40	40	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	156		articStaccatoBelow														
28	27	81/2	81/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	157		articStaccatoBelow														
28	27	79/2	79/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	158		articTenutoBelow														
28	27	161/4	161/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	159		articTenutoBelow														
29	28	41	41	0.0	0	0	Spanner	3/8	1	1	0																0				
29	28	41	41	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	160		articTenutoBelow							27			0				
29	28	42	42	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	161		articAccentStaccatoBelow										0				
29	28	41	41	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	162		articTenutoBelow														
29	28	167/4	167/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	163		articAccentBelow														
30	29	85/2	85/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	164		articTenutoBelow							28			0				
30	29	87/2	87/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	165		articAccentStaccatoBelow										0				
30	29	85/2	85/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	166		articTenutoBelow														
30	29	173/4	173/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	167		articAccentBelow														
31	30	44	44	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	168		articTenutoBelow							29			0				
31	30	45	45	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	169		articAccentStaccatoBelow										0				
31	30	44	44	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	170		articTenutoBelow														
31	30	179/4	179/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	171		articAccentBelow														
32	31	91/2	91/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	172		articTenutoBelow										0				
32	31	185/4	185/4	0.0	3/16	3/16	StaffText	3/8	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>allarg."													
32	31	185/4	185/4	0.0	3/16	3/16	Spanner	3/8	1	1	0																				
32	31	185/4	185/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	173		articTenutoBelow														
32	31	93/2	93/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	174		articTenutoBelow														
32	31	91/2	91/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	175		articTenutoBelow														
32	31	185/4	185/4	0.0	3/16	3/16	Spanner	3/8	2	1	0																		2	2	
32	31	185/4	185/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	176		articAccentBelow												2	2	
33	32	47	47	0.0	0	0	Spanner	3/8	1	1	0															8					
33	32	47	47	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	177											8					
33	32	47	47	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	178														2	2	
34	33	97/2	97/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	179											8					
34	33	99/2	99/2	0.0	1/4	1/4	Dynamic	3/8	1	1	0					p															
34	33	99/2	99/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
34	33	99/2	99/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				1
34	33	99/2	99/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	180		articStaccatoAbove														1
34	33	97/2	97/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	181														2	2	
34	33	99/2	99/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	182		articTenutoAbove							30					2	2	
35	34	50	50	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	183																1
35	34	50	50	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	184									31							1
35	34	101/2	101/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	185																1
35	34	51	51	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	186		articStaccatoAbove														1
35	34	50	50	0.0	0	0	Spanner	3/8	2	1	0													30							
35	34	50	50	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	187		articTenutoAbove							30							
35	34	203/4	203/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	188		articTenutoAbove							30							
36	35	103/2	103/2	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	189																1
36	35	103/2	103/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	190									32							1
36	35	52	52	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	191																1
36	35	105/2	105/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	192		articAccentStaccatoAbove														1
36	35	103/2	103/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	193		articTenutoAbove														
36	35	209/4	209/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	194		articTenutoAbove							33							
37	36	53	53	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	195									34							1
37	36	107/2	107/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	196																1
37	36	54	54	0.0	1/4	1/4	StaffText	3/8	1	1	0							cresc.													1
37	36	54	54	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	197																1
37	36	53	53	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	198		articTenutoAbove							33							
37	36	215/4	215/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	199		articTenutoAbove							33							
38	37	109/2	109/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	200									35							1
38	37	55	55	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	201																1
38	37	111/2	111/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	202		articAccentStaccatoAbove														1
38	37	109/2	109/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	203		articTenutoAbove														
38	37	221/4	221/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	204		articTenutoAbove							36							
39	38	56	56	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	205									37							1
39	38	113/2	113/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	206																1
39	38	57	57	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	207																1
39	38	56	56	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	208		articTenutoAbove							36							
39	38	227/4	227/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	209		articTenutoAbove							36							
40	39	115/2	115/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	210									38							1
40	39	58	58	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	211																1
40	39	117/2	117/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	212																1
40	39	115/2	115/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	213		articTenutoAbove														
40	39	233/4	233/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	214		articAccentAbove														
41	40	59	59	0.0	0	0	Dynamic	3/8	1	1	0					ff															1
41	40	59	59	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	215		articAccentBelow														1
41	40	59	59	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	216		articAccentAbove														
41	40	239/4	239/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	217		articStaccatoAbove														
41	40	60	60	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	218		articStaccatoAbove														
42	41	121/2	121/2	0.0	0	0	Spanner	3/8	1	1	0																				
