mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							Molto vivace  = 120							
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					f									
1	1	0	0	0.0	0	0	Spanner	2/4	1	1	0													0	
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	0				0					0	
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	1				0					0	
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	2				0					0	
1	1	1	1	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	3				0					0	
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	4				0					0	
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	5				0					0	
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	6				0					0	
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	7				0					0	
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	8				0					0	
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	9		articAccentStaccatoBelow								
1	1	1/2	1/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	10										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	11				1						
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	12				1						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	13				1						
2	2	2	2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	14				0					0	
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	15				0					0	
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	16				0					0	
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	17				0					0	
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	18				0					0	
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	19				0					0	
2	2	3	3	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	20				0					0	
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	21				0					0	
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	22				0					0	
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	23				0					0	
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	24				0					0	
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	25				0					0	
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	26										
2	2	5/2	5/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	27										
2	2	2	2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	28				1						
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	29				1						
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	30				1						
