mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0					f										
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								Andantemaestoso𝅘𝅥𝅮=112	56.0	Andantemaestoso𝅘𝅥𝅮	112.0	1.0			
1	0	0	0	0.0	0	3/8	Spanner	2/4	1	1	0														0	
1	0	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8		1/8	1	0									0	0	
1	0	0	0	0.5	0	3/8	Chord	2/4	2	1	1/8		1/8	1	1									1		
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	2									0	0	
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	1	1	0													0		
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	3									0		
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	2/4	1	1	0															0
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4											0
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	1	1	0															
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	1	1	0														1	
2	1	2	2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	5									2	1	
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	6									1		
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	7									1		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	8											
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9									3		
3	2	5/2	5/2	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	10									2	1	
3	2	23/8	23/8	0.0	3/32	3/32	Spanner	2/4	1	1	0													2		
3	2	23/8	23/8	0.0	3/32	3/32	Spanner	2/4	1	1	0													2		1
3	2	23/8	23/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	11									2		1
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	12									2		1
3	2	7/2	7/2	0.0	1/4	1/4	Spanner	2/4	1	1	0															
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	13											
3	2	4	4	0.0	3/8	3/8	Spanner	2/4	1	1	0														2	
3	2	4	4	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	14									4	2	
