mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
2	2	6	6	0.0	1/2	1/2	Spanner	4/4	2	1	0																			
2	2	6	6	0.0	1/2	1/2	Spanner	4/4	2	1	0																5	5		
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	35									4			5	5		
2	2	13/2	13/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	36									4			5	5		
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	37									4			5	5		
2	2	31/4	31/4	0.0	15/16	15/16	Spanner	4/4	2	1	0													4						
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	38									4						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	39									5						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	40															
3	3	8	8	0.0	0	0	Spanner	4/4	1	1	0																			
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	41		articStaccatoAbove													
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	42		articStaccatoAbove							6						
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	43		articStaccatoAbove							6						
3	3	9	9	0.0	1/4	1/4	Spanner	4/4	1	1	0																		0	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	44		articAccentStaccatoAbove												0	
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	45		articStaccatoAbove							7					0	
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	46		articStaccatoAbove												0	
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	1	1	0																			
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	1	1	0																			2
3	3	10	10	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	47									8						2
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	48									8						2
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	49															2
3	3	11	11	0.0	3/4	3/4	Spanner	4/4	1	1	0																			
3	3	11	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	50									9						
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	51									9						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	52									9						
3	3	8	8	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	53															
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	54															
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	55															
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	56															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	57															
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	58															
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	59		articStaccatoBelow													
3	3	9	9	0.0	1/4	1/4	Spanner	4/4	2	1	0																		1	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	60		articStaccatoBelow												1	
3	3	39/4	39/4	0.0	7/16	7/16	Spanner	4/4	2	1	0																			
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	61		articStaccatoBelow													
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	2	1	0																			3
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	2	1	0																6	6		3
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	62									10			6	6		3
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	63												6	6		3
3	3	11	11	0.0	3/4	3/4	Spanner	4/4	2	1	0																			
3	3	11	11	0.0	3/4	3/4	Spanner	4/4	2	1	0																			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	64									11						
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	65									9						
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	66									9						
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	67									9						
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	68									9						
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	69															
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	70									12						
4	4	29/2	29/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	71															
4	4	31/2	31/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																		2	
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	72									13					2	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	73														2	
4	4	29/2	29/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	74														2	
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	75															
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	76															
4	4	14	14	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	77									14						
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	78									14						
4	4	15	15	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	79									14						
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	80									14						
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	81									14						
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	82															
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	83									15						
5	5	16	16	0.0	0	0	Spanner	4/4	1	1	0													13						
5	5	16	16	0.0	0	0	Spanner	4/4	1	1	0													13						4
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	84									13						4
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	85									13						4
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	86									13						4
5	5	17	17	0.0	1/4	1/4	Spanner	4/4	1	1	0													13						
5	5	17	17	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	87									13						
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	88									13						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	89															
5	5	18	18	0.0	1/2	1/2	Spanner	4/4	1	1	0																			5
5	5	18	18	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	90									16						5
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	91									16						5
5	5	19	19	0.0	3/4	3/4	Spanner	4/4	1	1	0																			
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	92															
5	5	39/2	39/2	0.0	7/8	7/8	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>crescendo"												
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	93									17						
5	5	16	16	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	94															
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	95															
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	96															
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0																			6
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0																7	7		6
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	97									18			7	7		6
5	5	17	17	0.0	1/4	1/4	Spanner	4/4	2	1	0													18			7	7		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	98									18			7	7		
5	5	35/2	35/2	0.0	3/8	3/8	Spanner	4/4	2	1	0													18						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	99									18						
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	100									18						
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	101									18						
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	102									18						
5	5	39/2	39/2	0.1	7/8	7/8	Chord	4/4	2	1	1/40		1/32	4/5	103									18						
5	5	98/5	98/5	0.1	9/10	9/10	Chord	4/4	2	1	1/40		1/32	4/5	104									18						
5	5	197/10	197/10	0.1	37/40	37/40	Chord	4/4	2	1	1/40		1/32	4/5	105									18						
5	5	99/5	99/5	0.1	19/20	19/20	Chord	4/4	2	1	1/40		1/32	4/5	106									18						
5	5	199/10	199/10	0.1	39/40	39/40	Chord	4/4	2	1	1/40		1/32	4/5	107									18						
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	108															
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	109															
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	110									19						
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	111															
6	6	81/4	81/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	112									20						
6	6	163/8	163/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	113									20						
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	114									20						
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	115									20						
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	116									20						
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	117									20						
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	118															
6	6	22	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	119									21						
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	120									21						
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	121									21						
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	122															
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	123															
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	124									22						
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	125									22						
6	6	20	20	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	126															
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	127															
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	128															
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0																			7
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0																8	8		7
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	129												8	8		7
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	130									23			8	8		7
6	6	21	21	0.0	1/4	1/4	Spanner	4/4	2	1	0													23			8	8		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	131									23			8	8		
6	6	43/2	43/2	0.0	3/8	3/8	Spanner	4/4	2	1	0													23						
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	132									23						
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	133									23						
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	134									23						
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	135									23						
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	136									23						
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	137															
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	138															
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	139															
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	140		articTenutoAbove													
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	141		articTenutoAbove													
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	142									24						
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	143		articTenutoAbove													
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	144		articTenutoAbove													
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	145									25						
7	7	27	27	0.0	3/4	3/4	Dynamic	4/4	1	1	0					sf														
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	1	0																			8
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	146															8
7	7	24	24	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	147															8
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	148									26						8
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	149															8
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	150															8
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	151									27						8
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	152															
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	2	1	0																9	9		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	153									28			9	9		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	154												9	9		
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0																			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	155									29						
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	156															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	157		articTenutoBelow													
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0																			
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	158									30						
8	8	29	29	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	159									30						
8	8	233/8	233/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	160									30						
8	8	117/4	117/4	0.75	5/16	5/16	Chord	4/4	1	1	3/16		1/8	3/2	161															
8	8	30	30	0.0	1/2	1/2	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."												
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	162									31						
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	163									31						
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	164									31						
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	165									31						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	166									31						
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	167									32						
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	168															
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	169									33						
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	170															
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	171															
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	172															
8	8	28	28	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>dimin."												
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	173		articTenutoBelow													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	174		articTenutoBelow													
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	175		articTenutoBelow													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	176		articTenutoBelow													
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	177		articTenutoBelow													
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	178		articTenutoBelow													
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	179									31						
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	180									31						
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	181									31						
9	9	33	33	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	182									31						
9	9	265/8	265/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	183									31						
9	9	133/4	133/4	0.75	5/16	5/16	Chord	4/4	1	1	3/16		1/8	3/2	184									31						
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	185									31						
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	186									31						
9	9	69/2	69/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	187															
9	9	71/2	71/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0					pp														
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	188									34						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	189									34						
9	9	65/2	65/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4		1/4	1	190									35						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	191															
9	9	69/2	69/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	192															
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	193									36						
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	194									36						
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	195									36						
9	9	33	33	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	196									36						
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	197									36						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	198									36						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	199									36						
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	200									36						
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	201									36						
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	202									36						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	203									36						
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	204															
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	205									37						
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	206									37						
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	207															
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	208									38						
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	209									38						
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	210									38						
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	211									38						
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	212									38						
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	213									38						
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	214									38						
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	215															
10	10	36	36	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	216															
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	217									39						
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	218															
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	219									40						
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	220									40						
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	221															
10	10	79/2	79/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																			
10	10	79/2	79/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																			
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	222									41						
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	223									42						
11	11	40	40	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>espressivo"												
11	11	40	40	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	224									43						
11	11	163/4	163/4	0.0	3/16	3/16	Spanner	4/4	1	1	0													43						9
11	11	163/4	163/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	225									43						9
