mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0						
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							Allegro cantabile e leggiero											
1	1	0	0	0.0	0	0	Spanner	4/4	2	1	0															0	0		
1	1	0	0	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	0									0		0	0		
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	1									0		0	0		
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	2									0		0	0		
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	3									0		0	0		
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	4									0		0	0		
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	5											0	0		
1	1	1	1	0.0	1/4	1/4	Spanner	4/4	2	1	0																		
1	1	1	1	0.0	1/4	1/4	Spanner	4/4	2	1	0															1	1		
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	6		articTenutoAbove									1	1		
1	1	2	2	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	7									1		1	1		
1	1	13/6	13/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	8									1		1	1		
1	1	7/3	7/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	9									1		1	1		
1	1	5/2	5/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	10									1		1	1		
1	1	8/3	8/3	0.0	2/3	2/3	Spanner	4/4	2	1	0													1					
1	1	8/3	8/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	11									1					
1	1	17/6	17/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	12									1					
1	1	3	3	0.0	3/4	3/4	Spanner	4/4	2	1	0															2	2		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	13		articTenutoBelow									2	2		
2	2	4	4	0.0	0	0	Spanner	4/4	1	1	0																		0
2	2	7	7	0.0	3/4	3/4	Dynamic	4/4	1	1	0					mp													
2	2	7	7	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	14									2					
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	15									2					
2	2	4	4	0.0	0	0	Dynamic	4/4	2	1	0					p										2	2		
2	2	4	4	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	16									3		2	2		
2	2	25/6	25/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	17									3		2	2		
2	2	13/3	13/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	18									3		2	2		
2	2	9/2	9/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	19									3		2	2		
2	2	14/3	14/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	20									3		2	2		
2	2	29/6	29/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	21									3		2	2		
2	2	5	5	0.0	1/4	1/4	Spanner	4/4	2	1	0													3					
2	2	5	5	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	22									3					
2	2	31/6	31/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	23									3					
2	2	16/3	16/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	24									3					
2	2	11/2	11/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	25									3					
2	2	17/3	17/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	26									3					
2	2	35/6	35/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	27														
2	2	6	6	0.0	1/2	1/2	Spanner	4/4	2	1	0															3	3		
2	2	6	6	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	28									4		3	3		
2	2	37/6	37/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	29									4		3	3		
2	2	19/3	19/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	30									4		3	3		
2	2	13/2	13/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	31									4		3	3		
2	2	20/3	20/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	32									4		3	3		
2	2	41/6	41/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	33									4		3	3		
2	2	7	7	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	34									4		3	3		
2	2	43/6	43/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	35									4		3	3		
2	2	22/3	22/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	36									4		3	3		
2	2	15/2	15/2	0.0	7/8	7/8	Spanner	4/4	2	1	0													4					
2	2	15/2	15/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	37									4					
2	2	23/3	23/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	38									4					
2	2	47/6	47/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	39														
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	40									2					
3	3	19/2	19/2	0.0	3/8	3/8	Spanner	4/4	1	1	0													2				0	
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	41									2, 5				0	
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	42														
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	43									6					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	44									6					
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	45														
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	46									7					
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0															4	4		
3	3	8	8	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	47									8		4	4		
3	3	49/6	49/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	48									8		4	4		
3	3	25/3	25/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	49									8		4	4		
3	3	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	50									8		4	4		
3	3	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	51									8		4	4		
3	3	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	52									8		4	4		
3	3	9	9	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	53									8		4	4		
3	3	55/6	55/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	54									8		4	4		
3	3	28/3	28/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	55									8		4	4		
3	3	19/2	19/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	56									8		4	4		
3	3	29/3	29/3	0.0	5/12	5/12	Spanner	4/4	2	1	0													8					
3	3	29/3	29/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	57									8					
3	3	59/6	59/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	58									8					
3	3	10	10	0.0	1/2	1/2	Spanner	4/4	2	1	0													8		5	5		
3	3	10	10	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	59									8		5	5		
3	3	61/6	61/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	60									8		5	5		
3	3	31/3	31/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	61									8		5	5		
3	3	21/2	21/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	62									8		5	5		
3	3	32/3	32/3	0.0	2/3	2/3	Spanner	4/4	2	1	0													8					
3	3	32/3	32/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	63									8					
3	3	65/6	65/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	64									8					
3	3	11	11	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	65									8					
3	3	67/6	67/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	66									8					
3	3	34/3	34/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	67									8					
3	3	23/2	23/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	68									8					
3	3	35/3	35/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	69									8					
3	3	71/6	71/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	70														
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	71									6					
4	4	27/2	27/2	0.0	3/8	3/8	Spanner	4/4	1	1	0																	1	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	72									9				1	
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	73														
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	74									10					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	75									10					
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	76														
4	4	12	12	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	77									11					
4	4	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	78									11					
4	4	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	79									11					
4	4	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	80									11					
4	4	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	81									11					
4	4	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	82									11					
4	4	13	13	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	83									11					
4	4	79/6	79/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	84									11					
4	4	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	85									11					
4	4	27/2	27/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	86									11					
4	4	41/3	41/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	87									11					
4	4	83/6	83/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	88									11					
4	4	14	14	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	89									11					
4	4	85/6	85/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	90									11					
4	4	43/3	43/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	91									11					
4	4	29/2	29/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	92									11					
4	4	44/3	44/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	93									11					
4	4	89/6	89/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	94									11					
4	4	15	15	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	95									11					
4	4	91/6	91/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	96									11					
4	4	46/3	46/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	97									11					
4	4	31/2	31/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	98									11					
4	4	47/3	47/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	99									11					
4	4	95/6	95/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	100														
5	5	16	16	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	101														
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	102									12					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	103									12					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	104									12					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	105									12					
5	5	37/2	37/2	0.75	5/8	5/8	Chord	4/4	1	1	3/16		1/8	3/2	106														
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	107									13					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	108									13					
5	5	16	16	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	109														
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	110														
5	5	16	16	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	111									14					
5	5	97/6	97/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	112									14					
5	5	49/3	49/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	113									14					
5	5	33/2	33/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	114									14					
5	5	50/3	50/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	115									14					
