mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegrettotenebroso𝅘𝅥=100	100.0	Allegrettotenebroso𝅘𝅥	100.0	1.0							
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p														
1	1	0	0	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	0		articStaccatoBelow							0						
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1		articStaccatoBelow							0						
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2		articStaccatoBelow													
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	3		articStaccatoBelow							1						
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	4		articStaccatoAbove													
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	5		articStaccatoAbove							2						
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	6		articStaccatoAbove													
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	7		articStaccatoAbove							3						
1	1	0	0	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>con vibrazione"												
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0														0					
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	8		articStaccatoAbove								0					
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	9		articStaccatoAbove							4	0					
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	10		articStaccatoAbove								0					
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	11		articStaccatoAbove							5	0					
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	12		articStaccatoAbove								0					
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	13		articStaccatoAbove							6	0					
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	14		articStaccatoAbove								0					
2	2	15/4	15/4	0.0	7/16	7/16	Spanner	2/4	1	1	0														0	0				
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	15										0	0				
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	2	1	0																	0	0	
3	3	4	4	0.0	0	0	StaffText	2/4	1	1	0							dolcissimo												
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0																			
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0																			
3	3	4	4	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	16									7						
3	3	4	4	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	17									8						
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	18									8						
