mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	69														
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0														1				
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	70									18	1				
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	71										1				
4	4	13	13	0.0	1/4	1/4	Spanner	4/4	1	1	0																		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	72									19					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	73									19					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	74									19					
4	4	29/2	29/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	75														
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	76									20					
4	4	12	12	0.0	0	0	Chord	4/4	1	2	0	acciaccatura	1/8	1	77														
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	78														
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	79														
4	4	12	12	0.0	0	0	Chord	4/4	2	1	0	acciaccatura	1/8	1	80														
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	81														
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	82														
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	2	1	0																0	0	
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	83									21			0	0	
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	84												0	0	
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	85									22			0	0	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	86												0	0	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	87									23			0	0	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	88												0	0	
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	89									20					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	90									20					
5	5	17	17	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	91														
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	92									24					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	93									24					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	94									24					
6	6	20	20	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	95														
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	96									25					
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	97									25					
6	6	45/2	45/2	0.0	5/8	5/8	Tempo	4/4	1	1	0								𝅘𝅥𝅮=𝅘𝅥=120atempoconmototempoassoluto	120.0			1.0						
6	6	45/2	45/2	0.0	5/8	5/8	Dynamic	4/4	1	1	0					pp													
6	6	45/2	45/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	98														
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99									26					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	100									26					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	101									26					
7	7	26	26	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	102									26					
7	7	26	26	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	103									26					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	104									26					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	105									27					
7	7	24	24	4.0	0	0	Chord	4/4	1	2	1		1	1	106														
7	7	24	24	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>legatissimo, tranquillo"											
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																		
7	7	25	25	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	107									28					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	108														
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	109														
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	110														
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	111									27					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	112									27					
8	8	30	30	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	113									27					
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	114									27					
8	8	31	31	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	115									27					
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	116									27					
8	8	28	28	4.0	0	0	Chord	4/4	1	2	1		1	1	117														
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1		1	1	118														
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	119														
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	120														
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	121														
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	122														
9	9	32	32	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	123									27					
9	9	32	32	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	124									27					
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	125									27					
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	126									29					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	127									29					
9	9	35	35	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	128									29					
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	129									29					
9	9	32	32	4.0	0	0	Chord	4/4	1	2	1		1	1	130														
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	131														
9	9	32	32	0.75	0	0	Chord	4/4	2	2	3/16		1/8	3/2	132														
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	133														
9	9	33	33	0.75	1/4	1/4	Chord	4/4	2	2	3/16		1/8	3/2	134														
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	135														
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	136														
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	137														
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	138									29					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	139									29					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	140														
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	141									30					
10	10	36	36	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	142									31					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	143														
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	144									32					
10	10	38	38	0.0	1/2	1/2	Spanner	4/4	2	1	0															1			
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	145											1			
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	146									33		1			
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	147											1			
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	148											1			
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	149														
11	11	41	41	0.0	1/4	1/4	Dynamic	4/4	1	1	0					p													
11	11	41	41	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	150		articAccentAbove							34					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	151									34					
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	152									34					
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	153														
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	154									35					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	155														
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	156									36					
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	157											1			
