mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	261									57	2				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	262									57	2				
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	263										2				
18	18	71	71	0.0	3/4	3/4	Spanner	4/4	2	1	0																		
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	264									60					
18	18	68	68	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	265														
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	266														
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	267														
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	268														
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	269									61					
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	270									61					
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	271									61					
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	272									61					
19	19	149/2	149/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	273									61					
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	274									61					
19	19	72	72	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	275														
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	276														
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	277														
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	3	1/2		1/2	1	278														
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	279									60					
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	280														
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	281									62					
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	282									62					
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	283									62					
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	284									62					
19	19	72	72	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	285														
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	286														
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	287														
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	288														
20	20	76	76	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	289									61					
20	20	77	77	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	290														
20	20	79	79	0.0	3/4	3/4	Spanner	4/4	1	1	0															3			
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	291									63		3			
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	292									63		3			
20	20	76	76	3.0	0	0	Chord	4/4	1	2	3/4		1/2	3/2	293											3			
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	294														
20	20	77	77	0.0	1/4	1/4	Spanner	4/4	2	1	0														3				
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	295									64	3				
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	296									64	3				
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	297									64	3				
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	298									64	3				
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	299									64	3				
21	21	80	80	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	300									63		3			
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	301									63		3			
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	302									63		3			
21	21	82	82	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	303									63		3			
21	21	329/4	329/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	304									63		3			
21	21	165/2	165/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	305									63		3			
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	306									63		3			
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	307										3				
21	21	81	81	0.0	1/4	1/4	Spanner	4/4	2	1	0																		
21	21	81	81	0.0	1/4	1/4	Spanner	4/4	2	1	0														4				
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	308									65	4				
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	309									65	4				
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	310									65	4				
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	311									65	4				
21	21	83	83	0.0	3/4	3/4	Spanner	4/4	2	1	0													65					
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	312									65					
22	22	84	84	0.0	0	0	Spanner	4/4	1	1	0																		
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	313														
22	22	85	85	0.0	1/4	1/4	Spanner	4/4	1	1	0														5				
22	22	85	85	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	314									66	5				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	315									66	5				
22	22	85	85	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	316									67	5				
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	317									67	5				
22	22	86	86	0.0	1/2	1/2	Chord	4/4	1	2	0	grace16	1/16	1	318									67	5				
22	22	86	86	0.0	1/2	1/2	Chord	4/4	1	2	0	grace16	1/16	1	319									67	5				
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	320									67	5				
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	321									67	5				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	322									67	5				
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	323														
22	22	87	87	0.0	3/4	3/4	Spanner	4/4	2	1	0															4			
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	324									68		4			
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	325									69		4			
23	23	88	88	0.0	0	0	Spanner	4/4	1	1	0																		
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	326														
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	327									70					
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	328									70					
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	329									70					
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	330									70					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	331									70					
23	23	88	88	0.0	0	0	Spanner	4/4	2	1	0																		
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	332														
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	333									71					
23	23	88	88	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	334														
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	335														
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	336									72					
24	24	94	94	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	337									72					
24	24	379/4	379/4	0.0	11/16	11/16	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>dimin."						72					
24	24	379/4	379/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	338									72					
24	24	95	95	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	339									72					
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	340									72					
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	341														
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	342									73					
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	343									72					
25	25	97	97	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	344									72					
25	25	98	98	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	345														
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	346														
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	347									74					
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	348									74					
25	25	99	99	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	349									74					
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	350									74					
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	351									75					
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	352									76					
26	26	100	100	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	353									74					
26	26	101	101	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	354									74					
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	355														
26	26	103	103	0.0	3/4	3/4	Dynamic	4/4	2	1	0					p													
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	356									77					
27	27	104	104	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	357														
27	27	105	105	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	358									78					
27	27	107	107	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	359									78					
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	360									78					
27	27	104	104	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	361														
27	27	105	105	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	362									79					
27	27	106	106	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	363														
27	27	107	107	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	364									80					
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	365														
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	366									81					
27	27	106	106	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	367														
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	368									82					
28	28	108	108	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	369														
28	28	108	108	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	370		articStaccatoAbove												
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	371									83					
28	28	109	109	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	372														
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	373									84					
28	28	110	110	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	374														
28	28	111	111	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	375									85					
28	28	108	108	0.75	0	0	Chord	4/4	1	2	3/16		1/8	3/2	376														
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	377														
28	28	109	109	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	378														
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	379		articStaccatoBelow												
28	28	110	110	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	380														
28	28	108	108	0.0	0	0	StaffText	4/4	2	1	0							poco più mosso e crescendo											
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	381														
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	382									86					
28	28	110	110	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	383														
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	384									87					
29	29	112	112	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	385									85					
29	29	113	113	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	386									85					
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	387									85					
29	29	114	114	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	388									85					
29	29	114	114	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	389									85					
29	29	459/4	459/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	390									85					
29	29	115	115	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	391									85					
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	392									85					
29	29	112	112	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	393									87					
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	394									87					
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	395									87					
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	396									87					
29	29	115	115	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	397														
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	398														
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	399														
30	30	117	117	0.0	1/4	1/4	Spanner	4/4	1	1	0															5			
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	400		articAccentAbove							88		5			
30	30	118	118	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	401									88		5			
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	402									88		5			
30	30	119	119	0.0	3/4	3/4	Spanner	4/4	1	1	0													88					
30	30	119	119	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	403									88					
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	404									88					
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	405														
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	406														
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	407														
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	408									87					
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	409									87					
30	30	118	118	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	410									87					
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	411									87					
30	30	116	116	0.75	0	0	Chord	4/4	2	2	3/16		1/8	3/2	412														
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	413									89					
30	30	117	117	0.75	1/4	1/4	Chord	4/4	2	2	3/16		1/8	3/2	414														
30	30	471/4	471/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	415									90					
30	30	118	118	0.75	1/2	1/2	Chord	4/4	2	2	3/16		1/8	3/2	416														
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16		1/16	1	417									91					
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	418														
31	31	120	120	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>risoluto, con moto"											
31	31	120	120	0.0	0	0	Dynamic	4/4	1	1	0					f													
31	31	120	120	0.0	0	0	Spanner	4/4	1	1	0															6			
31	31	120	120	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	419											6			
31	31	121	121	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	420											6			
31	31	364/3	364/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	421											6			
31	31	365/3	365/3	0.0	5/12	5/12	Spanner	4/4	1	1	0																		
31	31	365/3	365/3	0.0	5/12	5/12	Spanner	4/4	1	1	0														6				
31	31	365/3	365/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	422										6				
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	423										6				
31	31	123	123	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
31	31	123	123	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	424														
31	31	370/3	370/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	425														
31	31	371/3	371/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	426														
31	31	120	120	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	427		articAccentBelow												
31	31	121	121	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	428		articAccentBelow												
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	429		articAccentBelow												
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	430		articAccentBelow												
32	32	124	124	0.0	0	0	Spanner	4/4	1	1	0															7			
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	431											7			
32	32	125	125	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	432											7			
32	32	376/3	376/3	0.0	1/3	1/3	Spanner	4/4	1	1	0																		
32	32	376/3	376/3	0.0	1/3	1/3	Spanner	4/4	1	1	0														7				
32	32	376/3	376/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	433										7				
32	32	377/3	377/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	434										7				
32	32	126	126	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	435										7				
32	32	127	127	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
32	32	127	127	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	436														
32	32	382/3	382/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	437														
32	32	383/3	383/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	438														
32	32	124	124	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	439														
32	32	125	125	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	440														
32	32	126	126	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	441														
32	32	127	127	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	442														
33	33	128	128	0.0	0	0	Spanner	4/4	1	1	0															8			
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	443									92		8			
33	33	129	129	0.0	1/4	1/4	Spanner	4/4	1	1	0													92					
33	33	129	129	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	444									92					
33	33	259/2	259/2	0.0	3/8	3/8	Spanner	4/4	1	1	0													92	8				
33	33	259/2	259/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	445									92	8				
33	33	130	130	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	446										8				
33	33	130	130	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	447										8				
33	33	130	130	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	448										8				
33	33	523/4	523/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	449									93	8				
33	33	131	131	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
33	33	131	131	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	450														
33	33	527/4	527/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	451									94					
33	33	128	128	4.0	0	0	Chord	4/4	1	2	1		1	1	452														
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	453														
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	454														
33	33	130	130	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	455														
33	33	131	131	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	456														
34	34	132	132	0.0	0	0	Spanner	4/4	1	1	0															9			
34	34	132	132	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	457											9			
34	34	133	133	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	458									95		9			
34	34	134	134	0.0	1/2	1/2	Spanner	4/4	1	1	0													95					
34	34	134	134	0.0	1/2	1/2	Spanner	4/4	1	1	0													95	9				
34	34	134	134	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	459									95	9				
34	34	539/4	539/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	460									95	9				
34	34	135	135	0.0	3/4	3/4	Spanner	4/4	1	1	0													95					
34	34	135	135	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	461									95					
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	462									95					
34	34	135	135	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	463									96					
34	34	132	132	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	464														
34	34	133	133	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	465														
34	34	134	134	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	466														
34	34	135	135	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	467														
35	35	136	136	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	468		articStaccatoAbove												
35	35	137	137	0.0	1/4	1/4	Dynamic	4/4	1	1	0					sf													
35	35	137	137	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>agitato"											
35	35	137	137	3.0	1/4	1/4	Chord	4/4	1	1	3/4		1/2	3/2	469		articAccentAbove												
35	35	137	137	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	470									97					
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	471									97					
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	472									97					
35	35	136	136	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	473														
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	474									98					
35	35	137	137	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	475		articStaccatoBelow												
35	35	551/4	551/4	0.0	7/16	7/16	Spanner	4/4	2	1	0														10				
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	476									99	10				
35	35	138	138	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	477		articStaccatoBelow								10				
35	35	555/4	555/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	478									100	10				
35	35	139	139	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	479		articStaccatoBelow								10				
35	35	559/4	559/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	480									101	10				
36	36	140	140	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	481														
36	36	143	143	0.16666666666666666	3/4	3/4	Chord	4/4	1	1	1/24		1/16	2/3	482									102					
36	36	859/6	859/6	0.16666666666666666	19/24	19/24	Chord	4/4	1	1	1/24		1/16	2/3	483									102					
36	36	430/3	430/3	0.16666666666666666	5/6	5/6	Chord	4/4	1	1	1/24		1/16	2/3	484									102					
36	36	287/2	287/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	485									102					
36	36	431/3	431/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	486									102					
36	36	863/6	863/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	487									102					
36	36	140	140	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	488									97					
36	36	141	141	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	489									97					
36	36	142	142	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	490									97					
36	36	143	143	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	491														
36	36	140	140	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	492		articStaccatoBelow								10				
36	36	563/4	563/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	493									103	10				
36	36	141	141	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	494		articStaccatoBelow								10				
36	36	567/4	567/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	495									104	10				
36	36	142	142	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	496		articStaccatoBelow								10				
36	36	571/4	571/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	497									105	10				
36	36	143	143	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	498		articStaccatoBelow								10				
36	36	575/4	575/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																		
36	36	575/4	575/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	499									106					
37	37	144	144	0.0	0	0	Dynamic	4/4	1	1	0					sf													
37	37	144	144	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	500														
37	37	579/4	579/4	0.0	3/16	3/16	Spanner	4/4	1	1	0														11				
37	37	579/4	579/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	501									107	11				
37	37	145	145	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	502										11				
37	37	583/4	583/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	503									108	11				
37	37	147	147	0.16666666666666666	3/4	3/4	Chord	4/4	1	1	1/24		1/16	2/3	504									109	11				
37	37	883/6	883/6	0.16666666666666666	19/24	19/24	Chord	4/4	1	1	1/24		1/16	2/3	505									109	11				
37	37	442/3	442/3	0.16666666666666666	5/6	5/6	Chord	4/4	1	1	1/24		1/16	2/3	506									109	11				
37	37	295/2	295/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	507									109	11				
37	37	443/3	443/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	508									109	11				
37	37	887/6	887/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	509									109	11				
37	37	147	147	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	510										11				
