mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill
1	0	0	0	0.0	0	7/8	Dynamic	4/4	1	1	0					mp														
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0							
1	0	0	0	0.0	0	7/8	StaffText	4/4	1	1	0							Allegretto frescamente												
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8		1/8	1	0									0						
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	1									0						
2	1	1	1	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2															
2	1	2	2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	3									1						
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	4									1						
2	1	3	3	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	5															
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	6									2						
2	1	1/2	1/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	7									3						
2	1	5/6	5/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	8									3						
2	1	7/6	7/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	9									3						
2	1	3/2	3/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	10									3						
2	1	11/6	11/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	11									3						
2	1	13/6	13/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	12									3						
2	1	5/2	5/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	13									3						
2	1	17/6	17/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	14									3						
2	1	19/6	19/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	15									3						
2	1	7/2	7/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	16									3						
2	1	23/6	23/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	17									3						
2	1	25/6	25/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	18															
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	19									2						
3	2	5	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	20															
3	2	6	6	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	21									4						
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	22									4						
3	2	7	7	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	23															
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	24									5						
3	2	9/2	9/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	25									6						
3	2	29/6	29/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	26									6						
3	2	31/6	31/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	27									6						
3	2	11/2	11/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	28									6						
3	2	35/6	35/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	29									6						
3	2	37/6	37/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	30									6						
3	2	13/2	13/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	31									6						
3	2	41/6	41/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	32									6						
