mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill
3	2	43/6	43/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	33									6						
3	2	15/2	15/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	34									6						
3	2	47/6	47/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	35									6						
3	2	49/6	49/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	36															
4	3	17/2	17/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.2082""/><font face=""Plantin MT Std""/>cantando, grazioso"						5						
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	37									5						
4	3	9	9	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	38									5						
4	3	19/2	19/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	39									5						
4	3	59/6	59/6	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	40									5						
4	3	61/6	61/6	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	41									5						
4	3	21/2	21/2	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	42									5						
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	43		articTenutoAbove							5						
4	3	11	11	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	44		articTenutoAbove							5						
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	45		articTenutoAbove													
4	3	12	12	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	46									7						
4	3	17/2	17/2	0.0	0	0	Chord	4/4	1	2	0	acciaccatura	1/8	1	47															
4	3	17/2	17/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	48															
4	3	17/2	17/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	49									8						
4	3	53/6	53/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	50									8						
4	3	55/6	55/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	51									8						
4	3	19/2	19/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	52									8						
4	3	59/6	59/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	53									8						
4	3	61/6	61/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	54									8						
4	3	21/2	21/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	55									8						
4	3	65/6	65/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	56									8						
4	3	67/6	67/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	57									8						
4	3	23/2	23/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	58									8						
4	3	71/6	71/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	59									8						
4	3	73/6	73/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	60															
5	4	25/2	25/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	61									7						
5	4	25/2	25/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	62									7						
5	4	25/2	25/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	63									7						
5	4	13	13	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	64									7						
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	65									7						
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	66															
5	4	14	14	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	67									9						
5	4	29/2	29/2	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	68									9						
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	69		articTenutoBelow							9						
5	4	15	15	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	70		articTenutoBelow							9						
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	71		articTenutoBelow													
5	4	25/2	25/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	72									10						
5	4	77/6	77/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	73									10						
5	4	79/6	79/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	74									10						
5	4	27/2	27/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	75									10						
5	4	83/6	83/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	76									10						
5	4	85/6	85/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	77									10						
5	4	29/2	29/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	78									10						
5	4	89/6	89/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	79									10						
5	4	91/6	91/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	80									10						
5	4	31/2	31/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	81									10						
5	4	95/6	95/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	82									10						
5	4	97/6	97/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	83															
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	84									11						
6	5	17	17	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	85									11						
6	5	35/2	35/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	86									11						
6	5	107/6	107/6	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	87									11						
6	5	109/6	109/6	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	88									11						
6	5	37/2	37/2	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	89									11						
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	90		articTenutoAbove							11						
6	5	19	19	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	91		articTenutoAbove							11						
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	92		articTenutoAbove													
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	93									12						
6	5	33/2	33/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	94															
6	5	33/2	33/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	95									13						
6	5	101/6	101/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	96									13						
6	5	103/6	103/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	97									13						
6	5	35/2	35/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	98									13						
6	5	107/6	107/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	99									13						
6	5	109/6	109/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	100									13						
6	5	37/2	37/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	101									13						
6	5	113/6	113/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	102									13						
6	5	115/6	115/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	103									13						
6	5	39/2	39/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	104									13						
6	5	119/6	119/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	105									13						
6	5	121/6	121/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	106															
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	107									12						
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	108									12						
7	6	43/2	43/2	0.0	1/4	1/4	Spanner	4/4	1	1	0													12	0					
7	6	43/2	43/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	109									12	0					
7	6	131/6	131/6	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	110									12	0					
7	6	133/6	133/6	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	111									12	0					
7	6	45/2	45/2	0.0	1/2	1/2	Spanner	4/4	1	1	0													12						
7	6	45/2	45/2	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	112									12						
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	113		articTenutoBelow							12						
7	6	23	23	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	114		articTenutoBelow							12						
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	115		articTenutoBelow													
7	6	24	24	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	116									14						
7	6	41/2	41/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	117															
7	6	41/2	41/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	118									15						
7	6	125/6	125/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	119									15						
7	6	127/6	127/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	120									15						
7	6	43/2	43/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	121									15						
7	6	131/6	131/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	122									15						
7	6	133/6	133/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	123									15						
7	6	45/2	45/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	124									15						
7	6	137/6	137/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	125									15						
7	6	139/6	139/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	126									15						
7	6	47/2	47/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	127									15						
7	6	143/6	143/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	128									15						
7	6	145/6	145/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	129															
8	7	49/2	49/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	130									14						
8	7	25	25	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	131															
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	132															
8	7	26	26	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	133															
8	7	53/2	53/2	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	2/3	134															
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	135															
8	7	27	27	0.16666666666666666	5/8	5/8	Chord	4/4	1	1	1/24		1/16	2/3	136															
8	7	163/6	163/6	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	137															
8	7	55/2	55/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	138															
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	139									16						
8	7	49/2	49/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	140															
8	7	53/2	53/2	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	141															
8	7	49/2	49/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	142									17						
8	7	149/6	149/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	143									17						
8	7	151/6	151/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	144															
8	7	51/2	51/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	145									18						
8	7	155/6	155/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	146									18						
8	7	157/6	157/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	147															
8	7	53/2	53/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	148									19						
8	7	161/6	161/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	149									19						
8	7	163/6	163/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	150															
8	7	55/2	55/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	151									20						
8	7	167/6	167/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	152									20						
8	7	169/6	169/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	153															
9	8	57/2	57/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.2082""/><font face=""Plantin MT Std""/>poco rit."						16						
9	8	57/2	57/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	2/3	154									16						
9	8	57/2	57/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	2/3	155									16						
9	8	57/2	57/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	2/3	156									16						
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	157									16						
9	8	29	29	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24		1/16	2/3	158									16						
9	8	175/6	175/6	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	159									16						
9	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	160															
9	8	30	30	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	161									21						
9	8	61/2	61/2	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	162									21						
9	8	187/6	187/6	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	163															
9	8	191/6	191/6	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	164									22						
9	8	57/2	57/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	165									23						
9	8	173/6	173/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	166									23						
9	8	175/6	175/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	167															
9	8	59/2	59/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	168									24						
9	8	179/6	179/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	169									24						
9	8	181/6	181/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	170															
9	8	185/6	185/6	0.6666666666666666	7/12	7/12	Chord	4/4	2	1	1/6		1/4	2/3	171									25						
9	8	63/2	63/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	172															
9	8	193/6	193/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	173															
10	9	65/2	65/2	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""9.2082""/><font face=""Plantin MT Std""/>a tempo"						22						
10	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	174									22						
10	9	33	33	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	175									22						
10	9	67/2	67/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	176									22						
10	9	203/6	203/6	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	177									22						
10	9	205/6	205/6	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	178									22						
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	179		articTenutoBelow							22						
10	9	35	35	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	180		articTenutoBelow							22						
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	181		articTenutoBelow							22						
10	9	36	36	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	182									26						
10	9	65/2	65/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	183									27						
10	9	197/6	197/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	184									27						
10	9	199/6	199/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	185									27						
10	9	67/2	67/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	186									27						
10	9	203/6	203/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	187									27						
10	9	205/6	205/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	188									27						
10	9	69/2	69/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	189									27						
10	9	209/6	209/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	190									27						
10	9	211/6	211/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	191									27						
10	9	71/2	71/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	192									27						
10	9	215/6	215/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	193									27						
10	9	217/6	217/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	194															
11	10	73/2	73/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	195									26						
11	10	73/2	73/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	196									26						
11	10	73/2	73/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	197									26						
11	10	37	37	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	198									26						
11	10	149/4	149/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	199									26						
11	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	200															
11	10	38	38	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	201									28						
11	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	202									28						
11	10	39	39	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	203									28						
11	10	40	40	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	204															
11	10	73/2	73/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	205									29						
11	10	221/6	221/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	206									29						
11	10	223/6	223/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	207									29						
11	10	75/2	75/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	208									29						
11	10	227/6	227/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	209									29						
11	10	229/6	229/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	210									29						
11	10	77/2	77/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	211									29						
11	10	233/6	233/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	212									29						
11	10	235/6	235/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	213									29						
11	10	79/2	79/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	214									29						
11	10	239/6	239/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	215									29						
11	10	241/6	241/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	216															
12	11	81/2	81/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	217		articTenutoBelow							30						
12	11	41	41	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	218									30						
12	11	83/2	83/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	219									30						
12	11	251/6	251/6	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	220									30						
12	11	253/6	253/6	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	221									30						
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	222									30						
12	11	43	43	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	223									30						
12	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	224															
12	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	225															
12	11	81/2	81/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	226									31						
12	11	245/6	245/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	227									31						
12	11	247/6	247/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	228									31						
12	11	83/2	83/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	229									31						
12	11	251/6	251/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	230									31						
12	11	253/6	253/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	231									31						
12	11	85/2	85/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	232									31						
12	11	257/6	257/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	233									31						
12	11	259/6	259/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	234									31						
12	11	87/2	87/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	235									31						
12	11	263/6	263/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	236									31						
12	11	265/6	265/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	237															
13	12	89/2	89/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	238									32						
13	12	45	45	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	239									32						
13	12	91/2	91/2	0.0	1/4	1/4	Spanner	4/4	1	1	0													32	1					
