mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	1/4	Tempo	2/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0					
1	0	0	0	0.0	0	1/4	StaffText	2/4	1	1	0							Andantino con moto											
1	0	0	0	0.0	0	1/4	Dynamic	2/4	1	1	0					mf													
1	0	0	0	0.0	0	1/4	Spanner	2/4	1	1	0																0		
1	0	0	0	0.5	0	1/4	Chord	2/4	1	1	1/8		1/8	1	0										0		0		
1	0	1/2	1/2	0.5	1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1										0		0		
1	0	0	0	0.5	0	1/4	Chord	2/4	2	1	1/8		1/8	1	2										1				
1	0	1/2	1/2	0.5	1/8	3/8	Chord	2/4	2	1	1/8		1/8	1	3										1				
2	1	1	1	0.0	0	0	Spanner	2/4	1	1	0														0				
2	1	1	1	0.0	0	0	Spanner	2/4	1	1	0														0			0	
2	1	1	1	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	4										0			0	
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	5													0	
2	1	2	2	0.0	1/4	1/4	Spanner	2/4	1	1	0																1	0	
2	1	2	2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	6										2		1	0	
2	1	5/2	5/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	7										2		1	0	
2	1	1	1	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	8										1				
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	9														
2	1	2	2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	10										3				
2	1	5/2	5/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	11										3				
3	2	3	3	0.0	0	0	Spanner	2/4	1	1	0														2				
3	2	3	3	0.0	0	0	Spanner	2/4	1	1	0														2				
3	2	3	3	0.0	0	0	Spanner	2/4	1	1	0														2			1	
3	2	3	3	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	12										2			1	
3	2	7/2	7/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	13													1	
3	2	4	4	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14										4			1	
3	2	9/2	9/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15										4			1	
3	2	3	3	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	16										3				
3	2	7/2	7/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	17														
3	2	4	4	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	18										5				
3	2	9/2	9/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	19										5				
4	3	5	5	0.0	0	0	Spanner	2/4	1	1	0														4				
4	3	5	5	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	20										4				
4	3	6	6	0.0	1/4	1/4	Spanner	2/4	1	1	0																2		
4	3	6	6	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21										6		2		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	22										6		2		
4	3	5	5	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	23												2		
4	3	11/2	11/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	24												2		
4	3	6	6	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	25												2		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	26												2		
4	3	5	5	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	27										5				
4	3	11/2	11/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28														
4	3	6	6	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	29										7				
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	30										7				
5	4	7	7	0.0	0	0	Spanner	2/4	1	1	0														6				
5	4	7	7	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	31										6				
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	32										6				
5	4	8	8	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	33										6				
5	4	17/2	17/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	34										6				
5	4	7	7	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	35										7				
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	36														
5	4	8	8	0.0	1/4	1/4	Spanner	2/4	2	1	0																3		
5	4	8	8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	37										8		3		
5	4	17/2	17/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	38										8		3		
6	5	9	9	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	39										6				
6	5	19/2	19/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	40										6				
6	5	10	10	0.0	1/4	1/4	Spanner	2/4	1	1	0														6	0			
6	5	10	10	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	41										6	0			
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	42										6	0			
6	5	9	9	0.0	0	0	Spanner	2/4	2	1	0														8				
6	5	9	9	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	43										8				
6	5	19/2	19/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	44										8				
6	5	10	10	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45										8				
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	46										8				
6	5	9	9	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	47														
7	6	11	11	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	48											0			
7	6	12	12	0.0	1/4	1/4	StaffText	2/4	1	1	0							poco riten.											
7	6	12	12	0.0	1/4	1/4	Spanner	2/4	1	1	0																		
7	6	12	12	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	49														
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	50														
7	6	11	11	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	51														
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	52														
7	6	12	12	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	53														
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	54														
7	6	11	11	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	55										8				
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	56										8				
7	6	12	12	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	57										8				
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	58										8				
7	6	11	11	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	59														
8	7	13	13	0.0	0	0	SystemText	2/4	1	1	0								poco										
8	7	13	13	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	60														
8	7	27/2	27/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p													
8	7	27/2	27/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	61														
8	7	14	14	0.0	1/4	1/4	StaffText	2/4	1	1	0							a tempo											
8	7	14	14	0.0	1/4	1/4	Dynamic	2/4	1	1	0					mf													
8	7	14	14	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62										9				
8	7	29/2	29/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	63														
8	7	13	13	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	64														
8	7	13	13	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	65														
8	7	14	14	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	66										10				
8	7	29/2	29/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	67										10				
9	8	15	15	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	68														
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	69														
9	8	16	16	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	70										11				
9	8	33/2	33/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	71										11				
9	8	15	15	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	72										10				
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	73														
9	8	16	16	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	74										12				
9	8	33/2	33/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	75										12				
10	9	17	17	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	76										11				
10	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	77														
10	9	18	18	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	78										13				
10	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	79										13				
10	9	17	17	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	80										12				
10	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	81														
10	9	18	18	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	82										14				
10	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	83										14				
11	10	19	19	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	84														
11	10	20	20	0.0	1/4	1/4	Spanner	2/4	1	1	0																4		
11	10	20	20	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	85										15		4		
11	10	41/2	41/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	86										15		4		
11	10	19	19	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	87												4		
11	10	39/2	39/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	88												4		
11	10	20	20	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	89												4		
11	10	41/2	41/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	90												4		
11	10	19	19	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	91										14				
11	10	39/2	39/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	92														
11	10	20	20	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	93										16				
11	10	41/2	41/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	94										16				
12	11	21	21	0.0	0	0	Dynamic	2/4	1	1	0					f									15				
12	11	21	21	0.0	0	0	Spanner	2/4	1	1	0														15				
12	11	21	21	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	95										15				
12	11	43/2	43/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	96										15				
12	11	22	22	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	97										15				
12	11	45/2	45/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	98										15				
12	11	21	21	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	99										16				
12	11	43/2	43/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	100														
12	11	22	22	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	101										17				
12	11	45/2	45/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	102										17				
13	12	23	23	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	103										15				
13	12	47/2	47/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	104														
13	12	24	24	0.0	1/4	1/4	Spanner	2/4	1	1	0																	2	
13	12	49/2	49/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	105										18			2	
13	12	23	23	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	106										17				
13	12	47/2	47/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	107														
13	12	49/2	49/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	108										19				
14	13	25	25	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	109		articTenutoBelow											2	
14	13	26	26	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p													
14	13	26	26	0.0	1/4	1/4	StaffText	2/4	1	1	0							poco sostenuto											
14	13	26	26	0.0	1/4	1/4	Spanner	2/4	1	1	0																		
14	13	26	26	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	110										20				
14	13	25	25	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	111														
14	13	53/2	53/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	112										21				
15	14	27	27	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	113										20				
15	14	28	28	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	114										20				
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	115										20				
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	116										20				
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	117										20				
15	14	57/2	57/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	118										22				
15	14	27	27	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	119														
15	14	55/2	55/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	120										23				
15	14	28	28	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	121														
15	14	57/2	57/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	122										24				
16	15	29	29	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	123														
16	15	59/2	59/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							a tempo											
16	15	59/2	59/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	124		articTenutoAbove								25				
16	15	30	30	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	125		articTenutoAbove								25				
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	126		articTenutoAbove								25				
16	15	29	29	0.0	0	0	StaffText	2/4	1	2	0							cresc.											
16	15	29	29	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	127														
16	15	59/2	59/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	128														
16	15	30	30	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	129														
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	130														
16	15	29	29	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	131														
16	15	59/2	59/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	132										26				
16	15	30	30	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	133										26				
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	134										26				
