mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/8	1	1	0									Andantino𝅘𝅥𝅮=112	56.0	Andantino𝅘𝅥𝅮	112.0	1.0							
1	1	0	0	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	0		articStaccatoBelow														
1	1	0	0	0.0	0	0	Dynamic	4/8	2	1	0					sf															
1	1	0	0	0.0	0	0	Spanner	4/8	2	1	0																	0	0		
1	1	0	0	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	1		articStaccatoBelow											0	0		
1	1	1/2	1/2	0.0	1/8	1/8	Spanner	4/8	2	1	0																				
2	2	2	2	0.0	0	0	StaffText	4/8	1	1	0							"<i><font size=""9""/>tenebroso e molto sostenuto</i>"													
2	2	2	2	0.0	0	0	Spanner	4/8	1	1	0																				0
2	2	2	2	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	2										0						0
2	2	5/2	5/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	3																0
2	2	3	3	0.0	1/4	1/4	Spanner	4/8	1	1	0																				
2	2	7/2	7/2	0.0	3/8	3/8	StaffText	4/8	1	1	0							dim.													
2	2	7/2	7/2	0.5	3/8	3/8	Chord	4/8	1	1	1/8		1/8	1	4		articStaccatoBelow														
2	2	2	2	0.0	0	0	Spanner	4/8	2	1	0																	1	1		
2	2	2	2	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	5		articStaccatoBelow											1	1		
2	2	5/2	5/2	0.0	1/8	1/8	Spanner	4/8	2	1	0																				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	6		articStaccatoBelow														
3	3	4	4	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	7		articStaccatoBelow														
3	3	5	5	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	8		articStaccatoBelow														
3	3	4	4	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	9		articStaccatoAbove														
3	3	5	5	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	10		articStaccatoAbove														
4	4	15/2	15/2	0.0	3/8	3/8	Dynamic	4/8	1	1	0					p															
4	4	15/2	15/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	11		articStaccatoBelow								1						
4	4	31/4	31/4	0.0	7/16	7/16	StaffText	4/8	1	1	0							"sordamento e picchietando
"							1						
4	4	31/4	31/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	12		articStaccatoBelow								1						
5	5	8	8	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	13		articStaccatoBelow								1						
5	5	17/2	17/2	0.0	1/8	1/8	SystemText	4/8	1	1	0								"<i><font size=""9""/>staccato pochissimo</i>"						1						
5	5	17/2	17/2	0.0	1/8	1/8	Chord	4/8	1	1	0	acciaccatura	1/8	1	14										1						
5	5	17/2	17/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	15		articStaccatoBelow								1						
5	5	9	9	0.0	1/4	1/4	Chord	4/8	1	1	0	acciaccatura	1/8	1	16																
5	5	9	9	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	17		articStaccatoBelow														
5	5	19/2	19/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	18		articStaccatoBelow								2						
5	5	39/4	39/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	19		articStaccatoBelow								2						
5	5	8	8	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	20		articStaccatoBelow								3						
5	5	17/2	17/2	0.0	1/8	1/8	Chord	4/8	2	1	0	acciaccatura	1/8	1	21										3						
5	5	17/2	17/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	22		articStaccatoBelow								3						
5	5	9	9	0.0	1/4	1/4	Chord	4/8	2	1	0	acciaccatura	1/8	1	23																
5	5	9	9	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	24		articStaccatoBelow														
