mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
5	5	19/2	19/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	25		articStaccatoBelow														
6	6	10	10	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	26		articStaccatoBelow								2						
6	6	21/2	21/2	0.0	1/8	1/8	Chord	4/8	1	1	0	acciaccatura	1/8	1	27										2						
6	6	21/2	21/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	28		articStaccatoBelow								2						
6	6	11	11	0.0	1/4	1/4	Chord	4/8	1	1	0	acciaccatura	1/8	1	29																
6	6	11	11	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	30		articStaccatoBelow														
6	6	23/2	23/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	31		articStaccatoBelow														
6	6	47/4	47/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	32		articStaccatoBelow														
6	6	10	10	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	33		articStaccatoBelow								4						
6	6	21/2	21/2	0.0	1/8	1/8	Chord	4/8	2	1	0	acciaccatura	1/8	1	34										4						
6	6	21/2	21/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	35		articStaccatoBelow								4						
6	6	11	11	0.0	1/4	1/4	Chord	4/8	2	1	0	acciaccatura	1/8	1	36																
6	6	11	11	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	37		articStaccatoBelow														
6	6	23/2	23/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	38		articStaccatoBelow														
7	7	12	12	0.0	0	0	Spanner	4/8	1	1	0																			0	
7	7	12	12	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	39		articStaccatoBelow													0	
7	7	25/2	25/2	0.0	1/8	1/8	Chord	4/8	1	1	0	acciaccatura	1/8	1	40															0	
7	7	25/2	25/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	41		articStaccatoBelow													0	
7	7	13	13	0.0	1/4	1/4	Spanner	4/8	1	1	0																				
7	7	13	13	0.0	1/4	1/4	Chord	4/8	1	1	0	acciaccatura	1/8	1	42																
7	7	13	13	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	43		articStaccatoBelow														
7	7	27/2	27/2	0.0	3/8	3/8	Dynamic	4/8	1	1	0					sf															
7	7	27/2	27/2	0.5	3/8	3/8	Chord	4/8	1	1	1/8		1/8	1	44																
7	7	12	12	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	45		articStaccatoAbove														
7	7	25/2	25/2	0.0	1/8	1/8	Chord	4/8	2	1	0	acciaccatura	1/8	1	46																
7	7	25/2	25/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	47		articStaccatoAbove														
7	7	13	13	0.0	1/4	1/4	Chord	4/8	2	1	0	acciaccatura	1/8	1	48																
7	7	13	13	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	49		articStaccatoAbove														
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	4/8	2	1	0																	2	2		
7	7	27/2	27/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	50										5			2	2		
8	8	14	14	0.0	0	0	Spanner	4/8	1	1	0																				1
8	8	14	14	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	51																1
8	8	29/2	29/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	52		articStaccatoAbove														1
8	8	15	15	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	53		articStaccatoAbove														1
8	8	31/2	31/2	0.0	3/8	3/8	Spanner	4/8	1	1	0																				
8	8	31/2	31/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	54		articStaccatoBelow														
8	8	63/4	63/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	55		articStaccatoBelow														
8	8	14	14	0.0	0	0	Spanner	4/8	2	1	0																				
8	8	14	14	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	56		articStaccatoBelow														
8	8	29/2	29/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	57		articStaccatoBelow														
8	8	15	15	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	58		articStaccatoBelow														
9	9	16	16	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	59		articStaccatoBelow														
9	9	33/2	33/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	60		articStaccatoBelow														
9	9	67/4	67/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	61		articStaccatoBelow														
9	9	17	17	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	62		articStaccatoAbove														
9	9	35/2	35/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	63		articStaccatoAbove														
9	9	71/4	71/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	64		articStaccatoAbove														
9	9	16	16	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	65		articStaccatoBelow														
9	9	33/2	33/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	66		articStaccatoBelow														
9	9	17	17	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	67		articStaccatoBelow														
9	9	35/2	35/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	68										6						
10	10	18	18	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	69		articStaccatoAbove														
10	10	37/2	37/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	70										7						
10	10	19	19	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	71																
10	10	77/4	77/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	72		articStaccatoAbove														
10	10	39/2	39/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	73		articStaccatoAbove														
10	10	79/4	79/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	74		articStaccatoAbove														
10	10	18	18	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	75																
10	10	37/2	37/2	0.0	1/8	1/8	Spanner	4/8	2	1	0																	3	3		
10	10	37/2	37/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	76										8			3	3		
10	10	19	19	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	77													3	3		
10	10	39/2	39/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	78										9			3	3		
11	11	20	20	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	79										10						
11	11	41/2	41/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	80																
11	11	83/4	83/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	81		articStaccatoBelow														
11	11	21	21	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	82		articStaccatoBelow														
11	11	85/4	85/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	83		articStaccatoBelow														
11	11	43/2	43/2	0.5	3/8	3/8	Chord	4/8	1	1	1/8		1/8	1	84										11						
11	11	20	20	0.0	0	0	Spanner	4/8	2	1	0																				
11	11	20	20	0.0	0	0	Spanner	4/8	2	1	0																	4	4		
11	11	20	20	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	85													4	4		
11	11	41/2	41/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	86													4	4		
11	11	21	21	0.5	1/4	1/4	Chord	4/8	2	1	1/8		1/8	1	87										12			4	4		
11	11	43/2	43/2	0.0	3/8	3/8	Spanner	4/8	2	1	0																	4, 5	4, 5		
11	11	43/2	43/2	0.5	3/8	3/8	Chord	4/8	2	1	1/8		1/8	1	88													4, 5	4, 5		
12	12	22	22	0.25	0	0	Chord	4/8	1	1	1/16		1/16	1	89		articStaccatoBelow														
12	12	89/4	89/4	0.25	1/16	1/16	Chord	4/8	1	1	1/16		1/16	1	90		articStaccatoBelow														
12	12	45/2	45/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	91		articStaccatoBelow														
12	12	91/4	91/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	92		articStaccatoBelow														
12	12	23	23	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	93		articStaccatoBelow														
12	12	93/4	93/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	94		articStaccatoBelow														
12	12	47/2	47/2	0.0	3/8	3/8	Spanner	4/8	1	1	0																			1	
12	12	47/2	47/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	95		articStaccatoAbove													1	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	96		articStaccatoAbove													1	
12	12	22	22	0.0	0	0	Spanner	4/8	2	1	0																				
12	12	22	22	0.0	0	0	Spanner	4/8	2	1	0																				
12	12	22	22	0.5	0	0	Chord	4/8	2	1	1/8		1/8	1	97																
12	12	45/2	45/2	0.5	1/8	1/8	Chord	4/8	2	1	1/8		1/8	1	98																
12	12	23	23	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	99		articStaccatoAbove														
12	12	93/4	93/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	100		articStaccatoAbove														
13	13	24	24	0.0	0	0	SystemText	4/8	1	1	0								<i>dolente</i>												
13	13	24	24	0.0	0	0	Spanner	4/8	1	1	0																				
13	13	24	24	0.0	0	0	Spanner	4/8	1	1	0																				2
13	13	24	24	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	101										13						2
13	13	49/2	49/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	102																2
13	13	99/4	99/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	103		articStaccatoAbove														2
13	13	25	25	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	104										14						2
13	13	101/4	101/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	105										14						2
13	13	51/2	51/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	106										14						2
13	13	103/4	103/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	107										14, 15						2
13	13	97/4	97/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	108		articStaccatoAbove														
13	13	49/2	49/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	109		articStaccatoAbove														
13	13	99/4	99/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	110		articStaccatoAbove														
13	13	25	25	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	111										16						
13	13	101/4	101/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	112										16						
13	13	51/2	51/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	113										16						
13	13	103/4	103/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	114										16						
14	14	26	26	0.0	0	0	Spanner	4/8	1	1	0														14						
14	14	26	26	0.25	0	0	Chord	4/8	1	1	1/16		1/16	1	115										14						
14	14	105/4	105/4	0.25	1/16	1/16	Chord	4/8	1	1	1/16		1/16	1	116										14						
14	14	53/2	53/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	117										14						
14	14	27	27	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	118																
14	14	55/2	55/2	0.0	3/8	3/8	Spanner	4/8	1	1	0																			2	
14	14	55/2	55/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	119		articStaccatoAbove													2	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	120		articStaccatoAbove													2	
14	14	26	26	1.0	0	0	Chord	4/8	1	2	1/4		1/4	1	121										17					2	
14	14	27	27	0.5	1/4	1/4	Chord	4/8	1	2	1/8		1/8	1	122															2	
14	14	55/2	55/2	0.25	3/8	3/8	Chord	4/8	1	2	1/16		1/16	1	123															2	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	4/8	1	2	1/16		1/16	1	124															2	
14	14	26	26	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	125										16						
14	14	105/4	105/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	126										16						
14	14	53/2	53/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	127										16						
14	14	107/4	107/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	128										16						
14	14	27	27	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	129																
14	14	109/4	109/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	130		articStaccatoAbove														
14	14	55/2	55/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	131		articStaccatoAbove														
14	14	111/4	111/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	132		articStaccatoAbove														
15	15	28	28	0.0	0	0	Spanner	4/8	1	1	0																				
15	15	28	28	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	133										18						
15	15	57/2	57/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	134																
15	15	115/4	115/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	135		articStaccatoBelow														
15	15	29	29	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	136										19						
15	15	117/4	117/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	137										19						
15	15	59/2	59/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	138										19						
15	15	119/4	119/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	139										19						
15	15	28	28	0.25	0	0	Chord	4/8	1	2	1/16		1/16	1	140																
15	15	28	28	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	141																
15	15	113/4	113/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	142		articStaccatoBelow														
15	15	57/2	57/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	143		articStaccatoBelow														
15	15	115/4	115/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	144		articStaccatoBelow														
15	15	29	29	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	145										20						
15	15	117/4	117/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	146																
15	15	59/2	59/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	147																
15	15	119/4	119/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	148																
16	16	30	30	0.25	0	0	Chord	4/8	1	1	1/16		1/16	1	149										19						
16	16	121/4	121/4	0.25	1/16	1/16	Chord	4/8	1	1	1/16		1/16	1	150										19						
16	16	61/2	61/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	151										19						
16	16	123/4	123/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	152										19						
16	16	31	31	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	153																
16	16	63/2	63/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	154										21						
16	16	127/4	127/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	155										21						
16	16	30	30	1.0	0	0	Chord	4/8	1	2	1/4		1/4	1	156										22						
16	16	31	31	0.5	1/4	1/4	Chord	4/8	1	2	1/8		1/8	1	157																
16	16	63/2	63/2	0.25	3/8	3/8	Chord	4/8	1	2	1/16		1/16	1	158																
16	16	127/4	127/4	0.25	7/16	7/16	Chord	4/8	1	2	1/16		1/16	1	159																
16	16	61/2	61/2	0.5	1/8	1/8	Chord	4/8	1	3	1/8		1/8	1	160										23						
16	16	30	30	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	161																
16	16	121/4	121/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	162																
16	16	61/2	61/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	163																
16	16	123/4	123/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	164																
16	16	31	31	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	165																
16	16	125/4	125/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	166		articStaccatoBelow														
16	16	63/2	63/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	167		articStaccatoBelow														
16	16	127/4	127/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	168		articStaccatoBelow														
17	17	32	32	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	169																
17	17	65/2	65/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	170										24						
17	17	131/4	131/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	171										24						
17	17	33	33	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	172																
17	17	67/2	67/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	173										25						
17	17	135/4	135/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	174										25						
17	17	32	32	0.5	0	0	Chord	4/8	1	2	1/8		1/8	1	175																
17	17	65/2	65/2	0.5	1/8	1/8	Chord	4/8	1	2	1/8		1/8	1	176																
17	17	33	33	0.5	1/4	1/4	Chord	4/8	1	2	1/8		1/8	1	177																
17	17	67/2	67/2	0.5	3/8	3/8	Chord	4/8	1	2	1/8		1/8	1	178										26						
17	17	32	32	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	179										27						
17	17	129/4	129/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	180																
17	17	65/2	65/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	181		articStaccatoBelow														
17	17	131/4	131/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	182		articStaccatoBelow														
17	17	33	33	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	183										28						
17	17	133/4	133/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	184																
17	17	67/2	67/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	185		articStaccatoBelow														
17	17	135/4	135/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	186		articStaccatoBelow														
18	18	34	34	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	187																
18	18	69/2	69/2	0.0	1/8	1/8	Dynamic	4/8	1	1	0					sf															
18	18	69/2	69/2	0.5	1/8	1/8	Chord	4/8	1	1	1/8		1/8	1	188										29						
18	18	35	35	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	189																
18	18	141/4	141/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	190		articStaccatoAbove														
18	18	71/2	71/2	0.25	3/8	3/8	Chord	4/8	1	1	1/16		1/16	1	191		articStaccatoAbove														
18	18	143/4	143/4	0.25	7/16	7/16	Chord	4/8	1	1	1/16		1/16	1	192		articStaccatoAbove														
18	18	34	34	0.5	0	0	Chord	4/8	1	2	1/8		1/8	1	193																
18	18	34	34	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	194		articStaccatoBelow								30						
18	18	137/4	137/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	195		articStaccatoBelow														
18	18	69/2	69/2	0.0	1/8	1/8	Spanner	4/8	2	1	0																	6	6		
18	18	69/2	69/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	196		articStaccatoBelow								31			6	6		
18	18	139/4	139/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	197		articStaccatoBelow											6	6		
18	18	35	35	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	198		articStaccatoBelow								32			6	6		
18	18	141/4	141/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	199		articStaccatoBelow											6	6		
18	18	71/2	71/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	200		articStaccatoBelow								33			6	6		
18	18	143/4	143/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	201		articStaccatoBelow											6	6		
19	19	36	36	0.5	0	0	Chord	4/8	1	1	1/8		1/8	1	202										34						
19	19	73/2	73/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	203										34						
19	19	147/4	147/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	204										34						
19	19	37	37	0.25	1/4	1/4	Chord	4/8	1	1	1/16		1/16	1	205										34						
19	19	149/4	149/4	0.25	5/16	5/16	Chord	4/8	1	1	1/16		1/16	1	206										34						
19	19	75/2	75/2	0.5	3/8	3/8	Chord	4/8	1	1	1/8		1/8	1	207										34						
19	19	73/2	73/2	0.75	1/8	1/8	Chord	4/8	1	2	3/16		1/8	3/2	208																
19	19	149/4	149/4	0.25	5/16	5/16	Chord	4/8	1	2	1/16		1/16	1	209																
19	19	75/2	75/2	0.5	3/8	3/8	Chord	4/8	1	2	1/8		1/8	1	210																
19	19	37	37	0.75	1/4	1/4	Chord	4/8	1	3	3/16		1/8	3/2	211																
19	19	151/4	151/4	0.25	7/16	7/16	Chord	4/8	1	3	1/16		1/16	1	212																
19	19	36	36	0.0	0	0	Spanner	4/8	2	1	0																				
19	19	36	36	0.0	0	0	Spanner	4/8	2	1	0																	7	7		
19	19	36	36	0.25	0	0	Chord	4/8	2	1	1/16		1/16	1	213		articStaccatoBelow								35			7	7		
19	19	145/4	145/4	0.25	1/16	1/16	Chord	4/8	2	1	1/16		1/16	1	214		articStaccatoBelow											7	7		
19	19	73/2	73/2	0.25	1/8	1/8	Chord	4/8	2	1	1/16		1/16	1	215		articStaccatoBelow								36			7	7		
19	19	147/4	147/4	0.0	3/16	3/16	Spanner	4/8	2	1	0																				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	4/8	2	1	1/16		1/16	1	216		articStaccatoBelow														
19	19	37	37	0.25	1/4	1/4	Chord	4/8	2	1	1/16		1/16	1	217		articStaccatoBelow								37						
19	19	149/4	149/4	0.25	5/16	5/16	Chord	4/8	2	1	1/16		1/16	1	218		articStaccatoBelow														
19	19	75/2	75/2	0.25	3/8	3/8	Chord	4/8	2	1	1/16		1/16	1	219		articStaccatoBelow								38						
19	19	151/4	151/4	0.25	7/16	7/16	Chord	4/8	2	1	1/16		1/16	1	220		articStaccatoBelow														
20	20	38	38	0.25	0	0	Chord	4/8	1	1	1/16		1/16	1	221										34						
20	20	153/4	153/4	0.25	1/16	1/16	Chord	4/8	1	1	1/16		1/16	1	222																
20	20	77/2	77/2	0.25	1/8	1/8	Chord	4/8	1	1	1/16		1/16	1	223										39						
20	20	155/4	155/4	0.25	3/16	3/16	Chord	4/8	1	1	1/16		1/16	1	224																
20	20	39	39	0.5	1/4	1/4	Chord	4/8	1	1	1/8		1/8	1	225																
