	composer	piece	title	annotator	meter	tempo	measure	beat	chord	altchord	cadence	pedal	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	global_key	local_key
21	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	5	2.2	V43/VII				V		43		VII		False	f	i
22	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	6	1.1	V9(46)/VII				V		9	46	VII		False	f	i
23	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	6	1.2	V9/VII				V		9		VII		False	f	i
24	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	6	2.2	V9/VII	V/VII''#vi%7			V		9		VII		False	f	i
25	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	7	1.1	VII\\		HC		VII						True	f	i
26	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	7	2.1	IV65				IV		65				False	f	i
27	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	7	2.2	i64	V(6)			i		64				False	f	i
28	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	8	1.1	i(9)				i			9			False	f	i
29	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	8	1.2	i6				i		6				False	f	i
30	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	8	2.1	IV65				IV		65				False	f	i
31	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	8	2.2	i64	V(6)			i		64				False	f	i
32	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	9	1.1	i(9)				i			9			False	f	i
33	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	9	1.2	i6				i		6				False	f	i
34	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	9	2.1	IV65				IV		65				False	f	i
35	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	9	2.2	i64(4)	V7(6)			i		64	4			False	f	i
36	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	10	1.1	i6(9)				i		6	9			False	f	i
37	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	10	1.2	i6				i		6				False	f	i
38	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	10	2.1	V43				V		43				False	f	i
39	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	10	2.2	i				i						False	f	i
40	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	11	1.1	IIIM7				III	M	7				False	f	i
41	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	11	1.2	VI				VI						False	f	i
42	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	11	2.1	III6				III		6				False	f	i
43	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	11	2.2	iv				iv						False	f	i
44	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	12	1.1	VIM7				VI	M	7				False	f	i
45	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	12	1.2	bII				bII						False	f	i
46	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	12	2.1	@none				@none						False	f	i
47	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	12	2.2	IV65				IV		65				False	f	i
48	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	13	1	V\\		HC		V						True	f	i
