mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	g.i64{				g	i		i64		i		64				{	m	1	1	2, 1, -2		1	2	0	3	0.0	0.0	0.5	0.0
2	1	0	0	3/4	2	1	V2				g	i		V2		V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	6	0.0	0.0	1.375	0.0
2	1	1/2	1/2	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
3	2	0	0	3/4	2	1	V				g	i		V		V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
3	2	1/4	1/4	3/4	2	1	III+64				g	i		III+64		III	+	64					+	1	1	6, -2, 2		-2	6	0	4	0.0	0.0	0.875	0.0
3	2	1/2	1/2	3/4	2	1	V2				g	i		V2		V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	4	0.0	0.0	0.75	0.0
4	3	0	0	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.25	0.0
4	3	1/4	1/4	3/4	2	1	i64				g	i		i64		i		64					m	1	1	2, 1, -2		1	2	0	3	0.0	0.0	0.75	0.0
4	3	1/2	1/2	3/4	2	1	V43(4)/v	-1.05944	-6	/	g	i		V43(4)/v		V		43	4	v			Mm7	1	1	4, 1, 3, 2		3	4	0	3	0.0	0.0	0.5	0.0
5	4	0	0	3/4	2	1	V6				g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	19	0.0	0.0	4.25	0.0
7	6	0	0	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	9	0.0	0.0	2.0	0.0
8	7	0	0	3/4	2	1	ii%7				g	i		ii%7		ii	%	7					%7	1	1	3, 0, -3, 1		3	3	0	10	0.0	0.0	2.25	0.0
9	8	0	0	3/4	2	1	V2(6)}				g	i		V2(6)		V		2	6			}	Mm7	1	1	0, 2, 6, -2		2	0	0	4	0.0	0.0	1.25	0.0
9	8	1/4	1/4	3/4	2	1	V65(6)				g	i		V65(6)		V		65	6				Mm7	1	1	6, -2, 0, 2		2	6	0	3	0.0	0.0	0.5	0.0
9	8	1/2	1/2	3/4	2	1	V7				g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	1.0	0.0
10	9	0	0	3/4	2	1	iv7{				g	i		iv7		iv		7				{	mm7	1	1	0, -3, 1, -2		0	0	3	6	0.3333333333333333	0.375	1.25	0.23076923076923078
11	10	0	0	3/4	2	1	V(4)				g	i		V(4)		V			4				M	1	1	2, 1, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	1/4	1/4	3/4	2	1	V				g	i		V		V							M	1	1	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	1.0	0.2
12	11	0	0	3/4	2	1	#viio7/iv				g	i		#viio7/iv		#vii	o	7		iv			o7	1	1	5, 2, -1, -4		5	5	3	7	0.3	0.375	1.375	0.21428571428571427
13	12	0	0	3/4	2	1	iv(4)				g	i		iv(4)		iv			4				m	1	1	0, -1, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	1/4	1/4	3/4	2	1	iv				g	i		iv		iv							m	1	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	1.0	0.2
14	13	0	0	3/4	2	1	#viio65				g	i		#viio65		#vii	o	65					o7	1	1	3, 0, -3, 6		6	3	2	8	0.2	0.25	1.5	0.14285714285714285
15	14	0	0	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	1/4	1/4	3/4	2	1	i6(4)				g	i		i6(4)		i		6	4				m	1	1	0, 2, 1		1	0	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	1/2	1/2	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
16	15	0	0	3/4	2	1	#viio43				g	i		#viio43		#vii	o	43					o7	1	1	0, -3, 6, 3		6	0	3	7	0.3	0.375	1.375	0.21428571428571427
17	16	0	0	3/4	2	1	V7(9)/VI				g	i		V7(9)/VI		V		7	9	VI			Mm7	1	1	-2, 2, -1, -4	0	-2	-2	0	3	0.0	0.0	0.5	0.0
17	16	1/4	1/4	3/4	2	1	V/VI				g	i		V/VI		V				VI			M	1	1	-2, 2, -1		-2	-2	2	5	0.2857142857142857	0.25	1.0	0.2
18	17	0	0	3/4	2	1	VI				g	i		VI		VI							M	1	1	-3, 1, -2		-3	-3	2	2	0.5	0.25	0.25	0.5
18	17	1/2	1/2	3/4	2	1	VIM7				g	i		VIM7		VI	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	1	5	0.16666666666666666	0.125	1.125	0.1
19	18	0	0	3/4	2	1	V/VI				g	i		V/VI		V				VI			M	1	1	-2, 2, -1		-2	-2	3	2	0.6	0.375	0.25	0.6
19	18	5/8	5/8	3/4	2	1	III+				g	i		III+		III	+						+	1	1	-2, 2, 6		-2	-2	0	4	0.0	0.0	0.5	0.0
20	19	0	0	3/4	2	1	VIM7				g	i		VIM7		VI	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	1	6	0.14285714285714285	0.1	0.9	0.1
20	19	1/2	1/2	3/4	2	1	V7				g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	5	0.16666666666666666	0.05	0.95	0.05
21	20	0	0	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	1	2	0.3333333333333333	0.1	0.15	0.4
21	20	1/4	1/4	3/4	2	1	#ivo7				g	i		#ivo7		#iv	o	7					o7	1	1	7, 4, 1, -2		7	7	3	5	0.375	0.3	0.95	0.24
22	21	0	0	3/4	2	1	bII6				g	i		bII6		bII		6					M	1	1	0, -3, -4		-4	0	3	6	0.3333333333333333	0.375	1.25	0.23076923076923078
22	21	1/2	1/2	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
23	22	0	0	3/4	2	1	iio				g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
23	22	1/4	1/4	3/4	2	1	bII				g	i		bII		bII							M	1	1	-4, 0, -3		-4	-4	1	2	0.3333333333333333	0.125	0.375	0.25
23	22	1/2	1/2	3/4	2	1	I				g	i		I		I							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.375	0.0
23	22	5/8	5/8	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	1	0.0	0.0	0.125	0.0
24	23	0	0	3/4	2	1	V}{				g	i		V		V						}{	M	1	1	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
24	23	1/2	1/2	3/4	2	1	V2				g	i		V2		V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.5	0.0
25	24	0	0	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.25	0.0
25	24	1/4	1/4	3/4	2	1	V64				g	i		V64		V		64					M	1	1	3, 2, 6		2	3	0	1	0.0	0.0	0.25	0.0
25	24	1/2	1/2	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.75	0.0
26	25	0	0	3/4	2	1	V2				g	i		V2		V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	6	0.0	0.0	1.375	0.0
26	25	1/2	1/2	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
27	26	0	0	3/4	2	1	V				g	i		V		V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
27	26	1/4	1/4	3/4	2	1	III+64				g	i		III+64		III	+	64					+	1	1	6, -2, 2		-2	6	0	4	0.0	0.0	0.875	0.0
27	26	1/2	1/2	3/4	2	1	V2				g	i		V2		V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	4	0.0	0.0	0.75	0.0
28	27	0	0	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.25	0.0
28	27	1/4	1/4	3/4	2	1	i64				g	i		i64		i		64					m	1	1	2, 1, -2		1	2	0	3	0.0	0.0	0.75	0.0
28	27	1/2	1/2	3/4	2	1	V43(4)/v	-0.397291	-7.98645	/	g	i		V43(4)/v		V		43	4	v			Mm7	1	1	4, 1, 3, 2		3	4	0	3	0.0	0.0	0.5	0.0
29	28	0	0	3/4	2	1	V6				g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	19	0.0	0.0	4.25	0.0
31	30	0	0	3/4	2	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	9	0.0	0.0	2.0	0.0
32	31	0	0	3/4	2	1	#ivo7/v				g	i		#ivo7/v		#iv	o	7		v			o7	1	1	8, 5, 2, -1		8	8	0	10	0.0	0.0	2.0	0.0
33	32	0	0	3/4	2	1	V43				g	i		V43		V		43					Mm7	1	1	3, 0, 2, 6		2	3	0	9	0.0	0.0	2.0	0.0
34	33	0	0	3/4	2	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	0.75	0.0
34	33	1/4	1/4	3/4	2	1	#vi%43				g	i		#vi%43		#vi	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	6	0.0	0.0	1.0	0.0
34	33	1/2	1/2	3/4	2	1	V(#9)				g	i		V(#9)		V			#9				M	1	1	2, 6, 3	4	2	2	0	5	0.0	0.0	1.0	0.0
35	34	0	0	3/4	2	1	V7(9)/VII				g	i		V7(9)/VII		V		7	9	VII			Mm7	1	1	0, 4, 1, -2	2	0	0	0	6	0.0	0.0	1.0	0.0
35	34	1/4	1/4	3/4	2	1	V2(#9)				g	i		V2(#9)		V		2	#9				Mm7	1	1	0, 2, 6, 3	4	2	0	0	7	0.0	0.0	1.25	0.0
35	34	1/2	1/2	3/4	2	1	#vi%65				g	i		#vi%65		#vi	%	65					%7	1	1	1, -2, 2, 4		4	1	0	9	0.0	0.0	1.5	0.0
36	35	0	0	3/4	2	1	V2(#9)				g	i		V2(#9)		V		2	#9				Mm7	1	1	0, 2, 6, 3	4	2	0	0	5	0.0	0.0	1.0	0.0
36	35	1/4	1/4	3/4	2	1	#vi%43				g	i		#vi%43		#vi	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	6	0.0	0.0	1.25	0.0
36	35	1/2	1/2	3/4	2	1	v64(9)				g	i		v64(9)		v		64	9				m	1	1	3, 2, -1	-3	2	3	2	2	0.5	0.375	0.375	0.5
37	36	0	0	3/4	2	1	V64(9)/VII				g	i		V64(9)/VII		V		64	9	VII			M	1	1	1, 0, 4	2	0	1	0	4	0.0	0.0	1.125	0.0
