mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	3/8	2	1	C.I{						C	I		I		I						{	M	0	0	0, 4, 1		0.0	0.0	0	7	0.0	0.0	0.875	0.0
2	1	0	0	3/8	2	1	IV6(4)						C	I		IV6(4)		IV		6	4				M	0	0	5, 0, -1		-1.0	5.0	3	7	0.3	0.1875	1.0625	0.15
2	1	3/16	3/16	3/8	2	1	IV6						C	I		IV6		IV		6					M	0	0	3, 0, -1		-1.0	3.0	1	3	0.25	0.125	0.4375	0.2222222222222222
3	2	0	0	3/8	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	0.6875	0.0
3	2	3/16	3/16	3/8	2	1	V2						C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	1	6	0.14285714285714285	0.0625	0.875	0.06666666666666667
4	3	0	0	3/8	2	1	I6						C	I		I6		I		6					M	0	0	4, 1, 0		0.0	4.0	0	6	0.0	0.0	0.875	0.0
4	3	3/16	3/16	3/8	2	1	ii						C	I		ii		ii							m	0	0	2, -1, 3		2.0	2.0	0	5	0.0	0.0	0.75	0.0
5	4	0	0	3/8	2	1	V7(94)						C	I		V7(94)		V		7	94				Mm7	0	0	1, 0, 2, -1	3	1.0	1.0	0	5	0.0	0.0	1.125	0.0
5	4	3/16	3/16	3/8	2	1	V2						C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	0	6	0.0	0.0	0.9375	0.0
6	5	0	0	3/8	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	1.125	0.0
6	5	3/16	3/16	3/8	2	1	I6(13)					vi43	C	I		I6(13)		I		6	13				M	0	0	4, 1, 0	3	0.0	4.0	0	6	0.0	0.0	0.9375	0.0
7	6	0	0	3/8	2	1	V(964)	-1.1626	7.38104		/		C	I		V(964)		V			964				M	0	0	1, 0, 4	3	1.0	1.0	0	5	0.0	0.0	1.125	0.0
7	6	3/16	3/16	3/8	2	1	V43						C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	0	6	0.0	0.0	0.9375	0.0
8	7	0	0	3/8	2	1	V7						C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	0.9375	0.0
8	7	3/16	3/16	3/8	2	1	I|IAC}						C	I		I		I					IAC	}	M	0	0	0, 4, 1		0.0	0.0	0	21	0.0	0.0	4.875	0.0
10	9	1/4	1/4	3/8	2	1	I6{						C	I		I6		I		6				{	M	0	0	4, 1, 0		0.0	4.0	0	6	0.0	0.0	0.75	0.0
11	10	0	0	3/8	2	1	ii6(112)						C	I		ii6(112)		ii		6	112				m	0	0	-1, 3, 4	1	2.0	-1.0	0	7	0.0	0.0	0.9375	0.0
11	10	1/8	1/8	3/8	2	1	ii6(11)						C	I		ii6(11)		ii		6	11				m	0	0	-1, 3, 2	1	2.0	-1.0	1	5	0.16666666666666666	0.1875	0.75	0.2
11	10	1/4	1/4	3/8	2	1	V7						C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	3	0.0	0.0	0.375	0.0
12	11	0	0	3/8	2	1	vi7(116)						C	I		vi7(116)		vi		7	116				mm7	0	0	3, 0, -1, 1	2	3.0	3.0	0	7	0.0	0.0	0.9375	0.0
12	11	1/8	1/8	3/8	2	1	vi7						C	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3.0	3.0	3	3	0.5	0.5625	0.375	0.6
12	11	1/4	1/4	3/8	2	1	ii7						C	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2.0	2.0	0	3	0.0	0.0	0.375	0.0
13	12	0	0	3/8	2	1	iii(119)						C	I		iii(119)		iii			119				m	0	0	4, 1, 5	3, -1	4.0	4.0	0	6	0.0	0.0	0.9375	0.0
13	12	1/8	1/8	3/8	2	1	iii(9)						C	I		iii(9)		iii			9				m	0	0	4, 1, 5	-1	4.0	4.0	1	5	0.16666666666666666	0.1875	0.75	0.2
13	12	1/4	1/4	3/8	2	1	IVM7						C	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1.0	-1.0	0	3	0.0	0.0	0.375	0.0
14	13	0	0	3/8	2	1	V7(6)						C	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1.0	1.0	0	6	0.0	0.0	0.9375	0.0
14	13	1/8	1/8	3/8	2	1	V7						C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	3	3	0.5	0.5625	0.375	0.6
14	13	1/4	1/4	3/8	2	1	IM7						C	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0.0	0.0	0	3	0.0	0.0	0.375	0.0
15	14	0	0	3/8	2	1	ii(119)						C	I		ii(119)		ii			119				m	0	0	2, -1, 3	1, 4	2.0	2.0	0	6	0.0	0.0	0.9375	0.0
15	14	1/8	1/8	3/8	2	1	ii(9)						C	I		ii(9)		ii			9				m	0	0	2, -1, 3	4	2.0	2.0	1	5	0.16666666666666666	0.1875	0.75	0.2
15	14	1/4	1/4	3/8	2	1	iii7						C	I		iii7		iii		7					mm7	0	0	4, 1, 5, 2		4.0	4.0	0	3	0.0	0.0	0.375	0.0
16	15	0	0	3/8	2	1	IVM7(6)						C	I		IVM7(6)		IV	M	7	6				MM7	0	0	-1, 3, 2, 4		-1.0	-1.0	0	6	0.0	0.0	0.9375	0.0
16	15	1/8	1/8	3/8	2	1	IVM7						C	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1.0	-1.0	2	5	0.2857142857142857	0.375	0.75	0.3333333333333333
16	15	1/4	1/4	3/8	2	1	vii%7						C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5.0	5.0	0	3	0.0	0.0	0.375	0.0
17	16	0	0	3/8	2	1	ii6/V						C	I		ii6/V		ii		6		V			m	0	0	0, 4, 3		3.0	0.0	0	7	0.0	0.0	1.125	0.0
17	16	3/16	3/16	3/8	2	1	vii%7/V/V	-6.26014	7.31756		/		C	I		vii%7/V/V		vii	%	7		V/V			%7	0	0	7, 4, 1, 5		7.0	7.0	2	6	0.25	0.125	0.9375	0.11764705882352941
18	17	0	0	3/8	2	1	V7/V						C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2.0	2.0	8	13	0.38095238095238093	0.3333333333333333	1.5416666666666667	0.17777777777777776
19	18	0	0	3/8	2	1	I/V|PAC}						C	I		I/V		I				V	PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	0.9375	0.0
19	18	3/16	3/16	3/8	2	1	V2{						C	I		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	0	8	0.0	0.0	1.5	0.0
20	19	0	0	3/8	2	1	I6						C	I		I6		I		6					M	0	0	4, 1, 0		0.0	4.0	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
20	19	1/4	1/4	3/8	2	1	V64						C	I		V64		V		64					M	0	0	2, 1, 5		1.0	2.0	0	1	0.0	0.0	0.125	0.0
