mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/8	4/4	2	1	Eb.I[I{					Eb	I	I	I	I						{	M	0	0	-3, 1, -2		-3	-3	4	17	0.19047619047619047	0.3333333333333333	1.9166666666666667	0.14814814814814814
2	1	3/4	3/4	4/4	2	1	V7(4)					Eb	I	I	V7(4)	V		7	4				Mm7	0	0	-2, -3, -1, -4		-2	-2	1	4	0.2	0.08333333333333333	0.4166666666666667	0.16666666666666666
3	2	0	0	4/4	2	1	I					Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	4	15	0.21052631578947367	0.3333333333333333	1.6666666666666667	0.16666666666666666
3	2	3/4	3/4	4/4	2	1	V7					Eb	I	I	V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	1	3	0.25	0.08333333333333333	0.2916666666666667	0.2222222222222222
4	3	0	0	4/4	2	1	I					Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	0	7	0.0	0.0	1.0	0.0
4	3	1/4	1/4	4/4	2	1	ii6(11)					Eb	I	I	ii6(11)	ii		6	11				m	0	0	-4, 0, -1	-2	-1	-4	1	5	0.16666666666666666	0.08333333333333333	0.4166666666666667	0.16666666666666666
4	3	1/2	1/2	4/4	2	1	IV6					Eb	I	I	IV6	IV		6					M	0	0	0, -3, -4		-4	0	0	4	0.0	0.0	0.2916666666666667	0.0
4	3	5/8	5/8	4/4	2	1	viio					Eb	I	I	viio	vii	o						o	0	0	2, -1, -4		2	2	0	2	0.0	0.0	0.20833333333333334	0.0
4	3	3/4	3/4	4/4	2	1	V7(6)					Eb	I	I	V7(6)	V		7	6				Mm7	0	0	-2, 2, 1, -4		-2	-2	1	4	0.2	0.08333333333333333	0.4166666666666667	0.16666666666666666
5	4	0	0	4/4	2	1	I(9)					Eb	I	I	I(9)	I			9				M	0	0	-3, 1, -2	-1	-3	-3	0	5	0.0	0.0	0.2916666666666667	0.0
