mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	e.i{						e	i		i		i						{	m	1	1	4, 1, 5		4.0	4.0	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
1	1	1/4	1/4	4/4	2	1	i6						e	i		i6		i		6					m	1	1	1, 5, 4		4.0	1.0	1	6	0.14285714285714285	0.041666666666666664	0.4583333333333333	0.08333333333333333
1	1	3/4	3/4	4/4	2	1	i						e	i		i		i							m	1	1	4, 1, 5		4.0	4.0	6	34	0.15	0.25	2.75	0.08333333333333333
3	3	3/8	3/8	4/4	2	1	ii%7						e	i		ii%7		ii	%	7					%7	1	1	6, 3, 0, 4		6.0	6.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
3	3	1/2	1/2	4/4	2	1	i64						e	i		i64		i		64					m	1	1	5, 4, 1		4.0	5.0	2	7	0.2222222222222222	0.08333333333333333	0.9166666666666666	0.08333333333333333
3	3	3/4	3/4	4/4	2	1	ii%7						e	i		ii%7		ii	%	7					%7	1	1	6, 3, 0, 4		6.0	6.0	0	6	0.0	0.0	0.75	0.0
3	3	7/8	7/8	4/4	2	1	iv7	-1.29003	4.46753		/	ii%65(9)	e	i		iv7		iv		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
4	4	0	0	4/4	2	1	i						e	i		i		i							m	1	1	4, 1, 5		4.0	4.0	2	11	0.15384615384615385	0.08333333333333333	1.4166666666666667	0.05555555555555555
4	4	3/8	3/8	4/4	2	1	ii%7						e	i		ii%7		ii	%	7					%7	1	1	6, 3, 0, 4		6.0	6.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	4	1/2	1/2	4/4	2	1	i64						e	i		i64		i		64					m	1	1	5, 4, 1		4.0	5.0	4	8	0.3333333333333333	0.16666666666666666	1.0416666666666667	0.1379310344827586
4	4	5/6	5/6	4/4	2	1	viio7/V						e	i		viio7/V		vii	o	7		V			o7	1	1	10, 7, 4, 1		10.0	10.0	0	3	0.0	0.0	0.20833333333333334	0.0
4	4	11/12	11/12	4/4	2	1	iv7						e	i		iv7		iv		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	2	0.0	0.0	0.08333333333333333	0.0
5	5	0	0	4/4	2	1	i						e	i		i		i							m	1	1	4, 1, 5		4.0	4.0	4	15	0.21052631578947367	0.20833333333333334	1.4166666666666667	0.12820512820512822
5	5	3/8	3/8	4/4	2	1	ii%7						e	i		ii%7		ii	%	7					%7	1	1	6, 3, 0, 4		6.0	6.0	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
5	5	1/2	1/2	4/4	2	1	i64						e	i		i64		i		64					m	1	1	5, 4, 1		4.0	5.0	3	7	0.3	0.125	0.75	0.14285714285714285
