mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	G.I	-0.745962	-9.13304		/			G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.25	0.0
2	1	0	0	2/4	2	1	V43{							G	I		V43		V		43				{	Mm7	0	0	3, 0, 2, 6		2	3	0	4	0.0	0.0	0.25	0.0
2	1	1/8	1/8	2/4	2	1	I6							G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.25	0.0
2	1	1/4	1/4	2/4	2	1	IV(9)							G	I		IV(9)		IV			9				M	0	0	0, 4, 1	2	0	0	0	4	0.0	0.0	0.25	0.0
2	1	3/8	3/8	2/4	2	1	V(6)						iii6	G	I		V(6)		V			6				M	0	0	2, 6, 5		2	2	0	4	0.0	0.0	0.25	0.0
3	2	0	0	2/4	2	1	IV6(9)						vi7	G	I		IV6(9)		IV		6	9				M	0	0	4, 1, 0	2	0	4	0	4	0.0	0.0	0.25	0.0
3	2	1/8	1/8	2/4	2	1	V6							G	I		V6		V		6					M	0	0	6, 3, 2		2	6	1	3	0.25	0.0	0.25	0.0
3	2	1/4	1/4	2/4	2	1	I							G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
3	2	3/8	3/8	2/4	2	1	viio6							G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	1	3	0.25	0.0625	0.1875	0.25
4	3	0	0	2/4	2	1	I6							G	I		I6		I		6					M	0	0	5, 2, 1		1	5	1	3	0.25	0.0625	0.1875	0.25
4	3	1/8	1/8	2/4	2	1	IVM7							G	I		IVM7		IV	M	7					MM7	0	0	0, 4, 1, 5		0	0	0	3	0.0	0.0	0.25	0.0
4	3	1/4	1/4	2/4	2	1	V7							G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	1	3	0.25	0.0625	0.1875	0.25
4	3	3/8	3/8	2/4	2	1	vi							G	I		vi		vi							m	0	0	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
5	4	0	0	2/4	2	1	ii65							G	I		ii65		ii		65					mm7	0	0	0, 4, 1, 3		3	0	0	4	0.0	0.0	0.25	0.0
