mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	f.V[V{							f	i	V	V		V						{	M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	4.0	0.0
1	1	1/2	1/2	4/4	2	1	V7							f	i	V	V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	1	4	0.2	0.125	0.875	0.125
2	2	0	0	4/4	2	1	i							f	i	V	i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
2	2	3/8	3/8	4/4	2	1	iv7							f	i	V	iv7		iv		7					mm7	1	1	-2, -5, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
2	2	1/2	1/2	4/4	2	1	V							f	i	V	V		V							M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	1.5	0.0
3	3	0	0	4/4	2	1	V7							f	i	V	V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	5	0.0	0.0	2.5	0.0
3	3	3/8	3/8	4/4	2	1	i							f	i	V	i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.375	0.0
3	3	1/2	1/2	4/4	2	1	V							f	i	V	V		V							M	1	1	0, 4, 1		0.0	0.0	2	6	0.25	0.1	0.5	0.16666666666666669
3	3	3/4	3/4	4/4	2	1	i							f	i	V	i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.375	0.0
3	3	7/8	7/8	4/4	2	1	iv7							f	i	V	iv7		iv		7					mm7	1	1	-2, -5, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
4	4	0	0	4/4	2	1	V							f	i	V	V		V							M	1	1	0, 4, 1		0.0	0.0	1	8	0.1111111111111111	0.125	2.75	0.043478260869565216
