mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	Eb.I{						Eb	I		I		I						{	M	0	0	-3, 1, -2		-3.0	-3.0	1	6	0.14285714285714285	0.041666666666666664	0.8333333333333334	0.047619047619047616
1	1	1/4	1/4	2/4	2	1	IM2						Eb	I		IM2		I	M	2					MM7	0	0	2, -3, 1, -2		-3.0	2.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
1	1	3/8	3/8	2/4	2	1	vi7						Eb	I		vi7		vi		7					mm7	0	0	0, -3, 1, -2		0.0	0.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	2	0	0	2/4	2	1	I64						Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	2	3	0.4	0.08333333333333333	0.2916666666666667	0.2222222222222222
2	2	1/8	1/8	2/4	2	1	vi						Eb	I		vi		vi							m	0	0	0, -3, 1		0.0	0.0	2	3	0.4	0.08333333333333333	0.5416666666666666	0.13333333333333333
2	2	1/4	1/4	2/4	2	1	I64						Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	4	0.0	0.0	0.25	0.0
2	2	3/8	3/8	2/4	2	1	IVM7					ii65(9)	Eb	I		IVM7		IV	M	7					MM7	0	0	-4, 0, -3, 1		-4.0	-4.0	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
3	3	0	0	2/4	2	1	I6						Eb	I		I6		I		6					M	0	0	1, -2, -3		-3.0	1.0	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
3	3	1/8	1/8	2/4	2	1	I(64)						Eb	I		I(64)		I			64				M	0	0	-3, -4, 0		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
3	3	1/4	1/4	2/4	2	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
3	3	3/8	3/8	2/4	2	1	IV					I6(4)	Eb	I		IV		IV							M	0	0	-4, 0, -3		-4.0	-4.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	4	0	0	2/4	2	1	I6						Eb	I		I6		I		6					M	0	0	1, -2, -3		-3.0	1.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	4	1/8	1/8	2/4	2	1	I(64)						Eb	I		I(64)		I			64				M	0	0	-3, -4, 0		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	4	1/4	1/4	2/4	2	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	4	3/8	3/8	2/4	2	1	vi7						Eb	I		vi7		vi		7					mm7	0	0	0, -3, 1, -2		0.0	0.0	1	11	0.08333333333333333	0.041666666666666664	0.7083333333333334	0.05555555555555555
5	5	1/4	1/4	2/4	2	1	ii7(4)						Eb	I		ii7(4)		ii		7	4				mm7	0	0	-1, -2, 0, -3		-1.0	-1.0	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
5	5	3/8	3/8	2/4	2	1	ii7						Eb	I		ii7		ii		7					mm7	0	0	-1, -4, 0, -3		-1.0	-1.0	2	6	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
6	6	1/8	1/8	2/4	2	1	V7						Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
6	6	1/4	1/4	2/4	2	1	V(9)						Eb	I		V(9)		V			9				M	0	0	-2, 2, -1	0	-2.0	-2.0	5	4	0.5555555555555556	0.2916666666666667	0.3333333333333333	0.4666666666666667
7	7	0	0	2/4	2	1	vi7					ii7/V	Eb	I		vi7		vi		7					mm7	0	0	0, -3, 1, -2		0.0	0.0	3	11	0.21428571428571427	0.125	0.7916666666666666	0.13636363636363638
7	7	3/8	3/8	2/4	2	1	V7/V						Eb	I		V7/V		V		7		V			Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	2	5	0.2857142857142857	0.125	0.375	0.25
8	8	0	0	2/4	2	1	V7(1394)						Eb	I		V7(1394)		V		7	1394				Mm7	0	0	-2, -3, -1, -4	1, 0	-2.0	-2.0	0	8	0.0	0.0	2.5	0.0
8	8	3/8	3/8	2/4	2	1	V7(+9)						Eb	I		V7(+9)		V		7	+9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	6	0.0	0.0	0.75	0.0
9	9	0	0	2/4	2	1	I|PAC}{						Eb	I		I		I					PAC	}{	M	0	0	-3, 1, -2		-3.0	-3.0	1	10	0.09090909090909091	0.041666666666666664	1.3333333333333333	0.0303030303030303
9	9	1/4	1/4	2/4	2	1	IM2						Eb	I		IM2		I	M	2					MM7	0	0	2, -3, 1, -2		-3.0	2.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
9	9	3/8	3/8	2/4	2	1	vi7						Eb	I		vi7		vi		7					mm7	0	0	0, -3, 1, -2		0.0	0.0	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
10	10	0	0	2/4	2	1	I64						Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	2	3	0.4	0.08333333333333333	0.2916666666666667	0.2222222222222222
10	10	1/8	1/8	2/4	2	1	vi						Eb	I		vi		vi							m	0	0	0, -3, 1		0.0	0.0	2	3	0.4	0.08333333333333333	0.5416666666666666	0.13333333333333333
10	10	1/4	1/4	2/4	2	1	I64						Eb	I		I64		I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	4	0.0	0.0	0.25	0.0
10	10	3/8	3/8	2/4	2	1	IVM7					ii65(9)	Eb	I		IVM7		IV	M	7					MM7	0	0	-4, 0, -3, 1		-4.0	-4.0	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
11	11	0	0	2/4	2	1	I6						Eb	I		I6		I		6					M	0	0	1, -2, -3		-3.0	1.0	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
11	11	1/8	1/8	2/4	2	1	I(64)						Eb	I		I(64)		I			64				M	0	0	-3, -4, 0		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
11	11	1/4	1/4	2/4	2	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
11	11	3/8	3/8	2/4	2	1	IV						Eb	I		IV		IV							M	0	0	-4, 0, -3		-4.0	-4.0	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
12	12	0	0	2/4	2	1	I6						Eb	I		I6		I		6					M	0	0	1, -2, -3		-3.0	1.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
12	12	1/8	1/8	2/4	2	1	I(64)						Eb	I		I(64)		I			64				M	0	0	-3, -4, 0		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
12	12	1/4	1/4	2/4	2	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	1	5	0.16666666666666666	0.041666666666666664	0.4583333333333333	0.08333333333333333
12	12	3/8	3/8	2/4	2	1	vi7						Eb	I		vi7		vi		7					mm7	0	0	0, -3, 1, -2		0.0	0.0	0	8	0.0	0.0	0.625	0.0
13	13	1/8	1/8	2/4	2	1	ii7(9)						Eb	I		ii7(9)		ii		7	9				mm7	0	0	-1, -4, 0, -3	1	-1.0	-1.0	0	8	0.0	0.0	0.75	0.0
13	13	3/8	3/8	2/4	2	1	V7(96)						Eb	I		V7(96)		V		7	96				Mm7	0	0	-2, 2, 1, -4	0	-2.0	-2.0	1	7	0.125	0.041666666666666664	0.7083333333333334	0.05555555555555555
14	14	1/8	1/8	2/4	2	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3.0	-3.0	2	6	0.25	0.125	0.625	0.16666666666666666
14	14	3/8	3/8	2/4	2	1	vii%7/V					ii%7/iii	Eb	I		vii%7/V		vii	%	7		V			%7	0	0	3, 0, -3, 1		3.0	3.0	2	13	0.13333333333333333	0.125	1.125	0.1
16	16	1/8	1/8	2/4	2	1	iii.V7						Eb	iii		V7		V		7					Mm7	0	1	2, 6, 3, 0		2.0	2.0	0	5	0.0	0.0	0.625	0.0
16	16	1/4	1/4	2/4	2	1	i|PAC}						Eb	iii		i		i					PAC	}	m	0	1	1, -2, 2		1.0	1.0	2	6	0.25	0.08333333333333333	0.6666666666666666	0.1111111111111111
17	17	0	0	2/4	2	1	i						Eb	iii		i		i							m	0	1	1, -2, 2		1.0	1.0	0	6	0.0	0.0	0.375	0.0
17	17	3/8	3/8	2/4	2	1	iv7						Eb	iii		iv7		iv		7					mm7	0	1	0, -3, 1, -2		0.0	0.0	1	4	0.2	0.041666666666666664	0.20833333333333334	0.16666666666666666
18	18	0	0	2/4	2	1	#viio7						Eb	iii		#viio7		#vii	o	7					o7	0	1	6, 3, 0, -3		6.0	6.0	4	12	0.25	0.2916666666666667	0.7083333333333334	0.2916666666666667
19	19	0	0	2/4	2	1	i(#3#0)						Eb	iii		i(#3#0)		i			#3#0				m	0	1	1, 5, 2		1.0	1.0	1	1	0.5	0.08333333333333333	0.08333333333333333	0.5
