mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	C.vi6{					C.I(6){	C	I		vi6		vi		6				{	m	0	0	0, 4, 3		3	0	0	6	0.0	0.0	0.75	0.0
2	1	0	0	2/4	2	1	Ger6/IV						C	I		Ger6/IV	Ger	vii	o	65	b3	V/IV			Ger	0	0	-5, -1, -4, 5		5	-5	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
2	1	1/8	1/8	2/4	2	1	IVM7						C	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1	0	6	0.0	0.0	0.75	0.0
2	1	1/4	1/4	2/4	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.75	0.0
2	1	3/8	3/8	2/4	2	1	vi6					I(6)	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	0	6	0.0	0.0	0.75	0.0
3	2	0	0	2/4	2	1	Ger6(b9)/IV						C	I		Ger6(b9)/IV	Ger	vii	o	65	b9b3	V/IV			Ger	0	0	-5, -1, -4, 5	-7	5	-5	2	4	0.3333333333333333	0.1875	0.4375	0.3
3	2	1/16	1/16	2/4	2	1	Ger6/IV						C	I		Ger6/IV	Ger	vii	o	65	b3	V/IV			Ger	0	0	-5, -1, -4, 5		5	-5	0	2	0.0	0.0	0.0625	0.0
3	2	1/8	1/8	2/4	2	1	IVM7						C	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1	0	6	0.0	0.0	0.75	0.0
3	2	1/4	1/4	2/4	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.75	0.0
3	2	3/8	3/8	2/4	2	1	vi6	-1.52032	7.15652		/	I(6)	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	0	6	0.0	0.0	0.75	0.0
