mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	3	1	a.V7{						a	i		V7		V		7				{	Mm7	1	1	4, 8, 5, 2		4	4	0	5	0.0	0.0	0.3125	0.0
1	1	1/4	1/4	2/4	3	1	V7(#6#42)						a	i		V7(#6#42)		V		7	#6#42				Mm7	1	1	-1, 8, 10, 7		4	-1	3	3	0.5	0.1875	0.1875	0.5
2	2	0	0	2/4	3	1	V7						a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
2	2	1/4	1/4	2/4	3	1	V7(#6#42)						a	i		V7(#6#42)		V		7	#6#42				Mm7	1	1	-1, 8, 10, 7		4	-1	3	3	0.5	0.1875	0.1875	0.5
3	3	0	0	2/4	3	1	V7(b10)						a	i		V7(b10)		V		7	b10				Mm7	1	1	4, 8, 5, 2	1	4	4	0	9	0.0	0.0	1.9375	0.0
4	4	0	0	2/4	3	1	V7(9)|HC}						a	i		V7(9)		V		7	9		HC	}	Mm7	1	1	4, 8, 5, 2	-1	4	4	0	6	0.0	0.0	0.75	0.0
4	4	3/8	3/8	2/4	3	1	i{						a	i		i		i						{	m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.125	0.0
5	5	0	0	2/4	3	1	V/iv						a	i		V/iv		V				iv			M	1	1	3, 7, 4		3	3	1	4	0.2	0.0	0.375	0.0
5	5	1/8	1/8	2/4	3	1	iv64						a	i		iv64		iv		64					m	1	1	3, 2, -1		2	3	0	2	0.0	0.0	0.125	0.0
5	5	1/4	1/4	2/4	3	1	bII6/iv						a	i		bII6/iv		bII		6		iv			M	1	1	1, -2, -3		-3	1	0	4	0.0	0.0	0.375	0.0
5	5	3/8	3/8	2/4	3	1	iv/iv					bIIM65/iv	a	i		iv/iv		iv				iv			m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.125	0.0
6	6	0	0	2/4	3	1	V/iv						a	i		V/iv		V				iv			M	1	1	3, 7, 4		3	3	1	4	0.2	0.0	0.375	0.0
6	6	1/8	1/8	2/4	3	1	iv64						a	i		iv64		iv		64					m	1	1	3, 2, -1		2	3	0	2	0.0	0.0	0.125	0.0
6	6	1/4	1/4	2/4	3	1	III(#2)/iv						a	i		III(#2)/iv		III			#2	iv			M	1	1	-1, 8, 0		-1	-1	0	4	0.0	0.0	0.375	0.0
6	6	3/8	3/8	2/4	3	1	III/iv						a	i		III/iv		III				iv			M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.125	0.0
7	7	0	0	2/4	3	1	iio6/iv						a	i		iio6/iv		ii	o	6		iv			o	1	1	1, -2, 4		4	1	1	4	0.2	0.0	0.375	0.0
7	7	1/8	1/8	2/4	3	1	iv						a	i		iv		iv							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.125	0.0
