mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	a.i{						a	i		i		i						{	m	1	1	3, 0, 4		3	3	4	8	0.3333333333333333	0.375	1.625	0.1875
1	1	1/2	1/2	4/4	2	1	v						a	i		v		v							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
1	1	3/4	3/4	4/4	2	1	III						a	i		III		III							M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.0	0.0
2	2	0	0	4/4	2	1	i						a	i		i		i							m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.0	0.0
2	2	1/4	1/4	4/4	2	1	VI						a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.75	0.0
2	2	3/8	3/8	4/4	2	1	iio64						a	i		iio64		ii	o	64					o	1	1	-1, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
2	2	1/2	1/2	4/4	2	1	V						a	i		V		V							M	1	1	4, 8, 5		4	4	0	6	0.0	0.0	1.0	0.0
2	2	3/4	3/4	4/4	2	1	i6						a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	1.0	0.0
3	3	0	0	4/4	2	1	i						a	i		i		i							m	1	1	3, 0, 4		3	3	4	12	0.25	0.375	2.125	0.15
3	3	1/2	1/2	4/4	2	1	v						a	i		v		v							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
3	3	3/4	3/4	4/4	2	1	III						a	i		III		III							M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.0	0.0
4	4	0	0	4/4	2	1	i						a	i		i		i							m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.0	0.0
4	4	1/4	1/4	4/4	2	1	VI						a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.75	0.0
4	4	3/8	3/8	4/4	2	1	iio64						a	i		iio64		ii	o	64					o	1	1	-1, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
4	4	1/2	1/2	4/4	2	1	V						a	i		V		V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.25	0.625	0.2857142857142857
4	4	3/4	3/4	4/4	2	1	i|PAC						a	i		i		i					PAC		m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.625	0.0
5	5	0	0	4/4	2	1	i(9)						a	i		i(9)		i			9				m	1	1	3, 0, 4	5	3	3	0	6	0.0	0.0	1.0	0.0
6	6	0	0	4/4	2	1	i}						a	i		i		i						}	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.0	0.0
7	7	0	0	4/4	2	1	V[i						a	i	V	i		i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	2.5	0.0
7	7	1/2	1/2	4/4	2	1	v64						a	i	V	v64		v		64					m	1	1	5, 4, 1		4	5	1	3	0.25	0.0	0.5	0.0
7	7	3/4	3/4	4/4	2	1	i6						a	i	V	i6		i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.5	0.0
8	8	0	0	4/4	2	1	i						a	i	V	i		i							m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	4.0	0.0
8	8	1/2	1/2	4/4	2	1	v6(13)						a	i	V	v6(13)		v		6	13				m	1	1	1, 5, 4	0	4	1	0	3	0.0	0.0	0.5	0.0
8	8	3/4	3/4	4/4	2	1	i						a	i	V	i		i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.0625	0.4375	0.125
9	9	0	0	4/4	2	1	v64(13)						a	i	V	v64(13)		v		64	13				m	1	1	5, 4, 1	0	4	5	1	10	0.09090909090909091	0.0625	3.9375	0.015625
9	9	1/2	1/2	4/4	2	1	i						a	i	V	i		i							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.9375	0.0625
10	10	0	0	4/4	2	1	v(13)]						a	i	V	v(13)		v			13				m	1	1	4, 1, 5	0	4	4	0	7	0.0	0.0	2.5	0.0
10	10	1/2	1/2	4/4	2	1	i						a	i		i		i							m	1	1	3, 0, 4		3	3	0	6	0.0	0.0	1.5	0.0
11	11	0	0	4/4	2	1	iv7						a	i		iv7		iv		7					mm7	1	1	2, -1, 3, 0		2	2	0	11	0.0	0.0	3.0	0.0
11	11	1/2	1/2	4/4	2	1	VII7						a	i		VII7		VII		7					Mm7	1	1	1, 5, 2, -1		1	1	1	9	0.1	0.125	2.125	0.05555555555555555
12	12	0	0	4/4	2	1	IIIM7						a	i		IIIM7		III	M	7					MM7	1	1	0, 4, 1, 5		0	0	2	12	0.14285714285714285	0.0625	2.4375	0.025
12	12	1/2	1/2	4/4	2	1	VIM7						a	i		VIM7		VI	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1	0	9	0.0	0.0	2.25	0.0
13	13	0	0	4/4	2	1	ii%7						a	i		ii%7		ii	%	7					%7	1	1	5, 2, -1, 3		5	5	1	10	0.09090909090909091	0.125	2.375	0.05
13	13	1/2	1/2	4/4	2	1	V7(4)						a	i		V7(4)		V		7	4				Mm7	1	1	4, 3, 5, 2		4	4	1	6	0.14285714285714285	0.0625	0.9375	0.0625
13	13	3/4	3/4	4/4	2	1	V7						a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.1875	1.0625	0.15
14	14	0	0	4/4	2	1	i7					ii7/V/III	a	i		i7		i		7					mm7	1	1	3, 0, 4, 1		3	3	0	10	0.0	0.0	2.5	0.0
14	14	1/2	1/2	4/4	2	1	III.V7/V						a	III		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	1.25	0.0
14	14	3/4	3/4	4/4	2	1	V7						a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.25	0.0
15	15	0	0	4/4	2	1	I|PAC}{						a	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	1.25	0.0
15	15	1/4	1/4	4/4	2	1	I64	0.13514	8.04478	0.47547	/		a	III		I64		I		64					M	1	0	1, 0, 4		0	1	0	4	0.0	0.0	1.75	0.0
15	15	1/2	1/2	4/4	2	1	ii7						a	III		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
15	15	3/4	3/4	4/4	2	1	V7(11)						a	III		V7(11)		V		7	11				Mm7	1	0	1, 5, 2, -1	0	1	1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
16	16	0	0	4/4	2	1	I6						a	III		I6		I		6					M	1	0	4, 1, 0		0	4	0	4	0.0	0.0	1.0	0.0
16	16	1/4	1/4	4/4	2	1	IV64(2)						a	III		IV64(2)		IV		64	2				M	1	0	0, 1, 3		-1	0	0	6	0.0	0.0	1.375	0.0
16	16	3/8	3/8	4/4	2	1	IV64						a	III		IV64		IV		64					M	1	0	0, -1, 3		-1	0	0	1	0.0	0.0	0.125	0.0
16	16	1/2	1/2	4/4	2	1	V(4)						a	III		V(4)		V			4				M	1	0	1, 0, 2		1	1	0	3	0.0	0.0	0.75	0.0
