mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	3	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	3	4/4	1	0						3
3	2	5	4.0	3	4/4	1	0				line		4
4	3	9	4.0	3	4/4	1	0						5
5	4	13	4.0	3	4/4	1	0						6
6	5	17	4.0	3	4/4	1	0				line		7
7	6	21	4.0	3	4/4	1	0						8
8	7	25	4.0	3	4/4	1	0						9
9	8	29	4.0	3	4/4	1	0				line		10
10	9	33	4.0	3	4/4	1	0						11
11	10	37	4.0	3	4/4	1	0						12
12	11	41	4.0	3	4/4	1	0				line		13
13	12	45	4.0	3	4/4	1	0						14
14	13	49	4.0	3	4/4	1	0				page		15
15	14	53	4.0	3	4/4	1	0						16
16	15	57	2.0	3	2/4	1/2	0						17
17	16	59	2.0	3	2/4	1/2	0				line		18
18	17	61	2.0	3	2/4	1/2	0						19
19	18	63	2.0	3	2/4	1/2	0						20
20	19	65	2.0	3	2/4	1/2	0				line		21
21	20	67	2.0	3	2/4	1/2	0						22
22	21	69	2.0	3	2/4	1/2	0						23
23	22	71	2.0	3	2/4	1/2	0						24
24	23	73	2.0	3	2/4	1/2	0				line		25
25	24	75	2.0	3	2/4	1/2	0						26
26	25	77	2.0	3	2/4	1/2	0						27
27	26	79	2.0	3	2/4	1/2	0						28
28	27	81	2.0	3	2/4	1/2	0				line		29
29	28	83	2.0	3	2/4	1/2	0						30
30	29	85	2.0	3	2/4	1/2	0						31
31	30	87	2.0	3	2/4	1/2	0				page		32
32	31	89	2.0	3	2/4	1/2	0						33
33	32	91	2.0	3	2/4	1/2	0				line		34
34	33	93	2.0	3	2/4	1/2	0						35
35	34	95	2.0	3	2/4	1/2	0				line		36
36	35	97	2.0	3	2/4	1/2	0						37
37	36	99	2.0	3	2/4	1/2	0						38
38	37	101	2.0	3	2/4	1/2	0				line		39
39	38	103	2.0	3	2/4	1/2	0						40
40	39	105	2.0	3	2/4	1/2	0						41
41	40	107	2.0	3	2/4	1/2	0				line		42
42	41	109	2.0	3	2/4	1/2	0						43
43	42	111	2.0	3	2/4	1/2	0				page		44
44	43	113	2.0	3	2/4	1/2	0						45
45	44	115	2.0	3	2/4	1/2	0						46
46	45	117	2.0	3	2/4	1/2	0				line		47
47	46	119	2.0	3	2/4	1/2	0						48
48	47	121	2.0	3	2/4	1/2	0						49
49	48	123	2.0	3	2/4	1/2	0				line		50
50	49	125	2.0	3	2/4	1/2	0						51
51	50	127	2.0	3	2/4	1/2	0						52
52	51	129	2.0	3	2/4	1/2	0						53
53	52	131	2.0	3	2/4	1/2	0				line		54
54	53	133	2.0	3	2/4	1/2	0						55
55	54	135	2.0	3	2/4	1/2	0						56
56	55	137	2.0	3	2/4	1/2	0				page		57
57	56	139	4.0	3	4/4	1	0						58
58	57	143	4.0	3	4/4	1	0				line		59
59	58	147	4.0	3	4/4	1	0						60
60	59	151	4.0	3	4/4	1	0				line		61
61	60	155	4.0	3	4/4	1	0						62
62	61	159	4.0	3	4/4	1	0				line		63
63	62	163	4.0	3	4/4	1	0						64
64	63	167	4.0	3	4/4	1	0						65
65	64	171	4.0	3	4/4	1	0				line		66
66	65	175	4.0	3	4/4	1	0						67
67	66	179	4.0	3	4/4	1	0				page		68
68	67	183	4.0	3	4/4	1	0						69
69	68	187	4.0	3	4/4	1	0				line		70
70	69	191	4.0	3	4/4	1	0						71
71	70	195	4.0	3	4/4	1	0				line		72
72	71	199	4.0	3	4/4	1	0						73
73	72	203	4.0	3	4/4	1	0				line		74
74	73	207	4.0	3	4/4	1	0						75
75	74	211	4.0	3	4/4	1	0				line		76
76	75	215	4.0	3	4/4	1	0						77
77	76	219	4.0	3	4/4	1	0						78
78	77	223	4.0	3	4/4	1	0			end		lastMeasure	-1
