mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	0	acciaccatura	1/8	1		4	64	1	1	
1	1	0	0	acciaccatura	1/8	1		8	68	1	1	
1	1	0	0	acciaccatura	1/8	1		7	73	1	1	
1	1	0	0	acciaccatura	1/8	1		4	76	1	1	
1	1	0	0	acciaccatura	1/8	2/3		7	37	2	1	
1	1	0	0	acciaccatura	1/8	2/3		7	49	2	1	
1	1	0	1/12		1/8	2/3		7	25	2	1	
1	1	0	1/12		1/8	2/3		7	37	2	1	
1	1	0	1/2		1/2	1		4	76	1	1	
1	1	0	1/2		1/2	1		8	80	1	1	
1	1	0	1/2		1/2	1		7	85	1	1	
1	1	0	1/2		1/2	1		4	88	1	1	
1	1	1/12	1/12		1/8	2/3		8	44	2	1	
1	1	1/6	1/12		1/8	2/3		7	49	2	1	
1	1	1/4	1/12		1/8	2/3		4	52	2	1	
1	1	1/3	1/12		1/8	2/3		9	51	2	1	
1	1	5/12	1/12		1/8	2/3		4	52	2	1	
1	1	1/2	1/12		1/8	2/3		8	44	2	1	
1	1	1/2	1/8		1/8	1		9	75	1	1	
1	1	1/2	1/8		1/8	1		8	80	1	1	
1	1	1/2	1/8		1/8	1		7	85	1	1	
1	1	1/2	1/8		1/8	1		9	87	1	1	
1	1	7/12	1/12		1/8	2/3		7	49	2	1	
1	1	5/8	1/8		1/8	1		4	76	1	1	
1	1	5/8	1/8		1/8	1		8	80	1	1	
1	1	5/8	1/8		1/8	1		7	85	1	1	
1	1	5/8	1/8		1/8	1		4	88	1	1	
1	1	2/3	1/12		1/8	2/3		4	52	2	1	
1	1	3/4	1/12		1/8	2/3		8	56	2	1	
1	1	3/4	1/8		1/8	1		9	75	1	1	
1	1	3/4	1/8		1/8	1		8	80	1	1	
1	1	3/4	1/8		1/8	1		7	85	1	1	
1	1	3/4	1/8		1/8	1		9	87	1	1	
1	1	5/6	1/12		1/8	2/3		6	54	2	1	
1	1	7/8	1/8		1/8	1	1	7	73	1	1	
1	1	7/8	1/8		1/8	1	1	8	80	1	1	
1	1	7/8	1/8		1/8	1	1	7	85	1	1	
1	1	11/12	1/12		1/8	2/3		8	56	2	1	
2	2	0	1/12		1/8	2/3		4	52	2	1	
2	2	0	1/8		1/8	1	-1	7	73	1	1	
2	2	0	1/8		1/8	1	-1	8	80	1	1	
2	2	0	1/8		1/8	1	-1	7	85	1	1	
2	2	1/12	1/12		1/8	2/3		8	56	2	1	
2	2	1/8	1/8		1/8	1		7	73	1	1	
2	2	1/8	1/8		1/8	1	1	4	76	1	1	
2	2	1/8	1/8		1/8	1	1	8	80	1	1	
2	2	1/8	1/8		1/8	1		7	85	1	1	
2	2	1/6	1/12		1/8	2/3		9	63	2	1	
2	2	1/4	1/12		1/8	2/3		4	64	2	1	
2	2	1/4	1/4		1/4	1		5	71	1	1	
2	2	1/4	1/4		1/4	1	-1	4	76	1	1	
2	2	1/4	1/4		1/4	1	-1	8	80	1	1	
2	2	1/4	1/4		1/4	1		5	83	1	1	
2	2	1/3	1/12		1/8	2/3		9	63	2	1	
2	2	5/12	1/12		1/8	2/3		4	64	2	1	
2	2	1/2	1/12		1/8	2/3		8	56	2	1	
