mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	6/8	2	1	1/8			1/8	1		0	36	C2	2	3
1	1	0	1.5	0	0	6/8	1	1	3/8			1/4	3/2		0	60	C4	4	0
1	1	0	1.5	0	0	6/8	1	1	3/8			1/4	3/2		-3	63	Eb4	4	0
1	1	0	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	0	72	C5	5	0
1	1	1/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		1	43	G2	2	4
1	1	1	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		0	48	C3	3	5
1	1	3/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-5	49	Db3	3	6
1	1	3/2	0.75	3/8	3/8	6/8	1	1	3/16			1/8	3/2	-1	0	72	C5	5	1
1	1	2	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-1	53	F3	3	7
1	1	9/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-5	61	Db4	4	2
1	1	9/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-1	65	F4	4	2
1	1	9/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-2	70	Bb4	4	2
1	1	5/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		1	55	G3	3	8
2	2	3	0.5	0	0	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	12
2	2	3	1.5	0	0	6/8	1	1	3/8			1/4	3/2		0	60	C4	4	9
2	2	3	1.5	0	0	6/8	1	1	3/8			1/4	3/2		-3	63	Eb4	4	9
2	2	3	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	0	72	C5	5	9
2	2	7/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		0	60	C4	4	13
2	2	4	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		-5	61	Db4	4	14
2	2	9/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-1	53	F3	3	15
2	2	9/2	0.75	3/8	3/8	6/8	1	1	3/16			1/8	3/2	-1	0	72	C5	5	10
2	2	5	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	16
2	2	21/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-2	70	Bb4	4	11
2	2	21/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-5	73	Db5	5	11
2	2	21/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-1	77	F5	5	11
2	2	21/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		1	79	G5	5	11
2	2	11/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		-2	58	Bb3	3	17
3	3	6	0.5	0	0	6/8	2	1	1/8			1/8	1		0	36	C2	2	21
3	3	6	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	0	72	C5	5	18
3	3	6	1.5	0	0	6/8	1	1	3/8			1/4	3/2		-3	75	Eb5	5	18
3	3	6	1.5	0	0	6/8	1	1	3/8			1/4	3/2		0	84	C6	6	18
3	3	13/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		1	43	G2	2	22
3	3	7	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		0	48	C3	3	23
3	3	15/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-5	49	Db3	3	24
3	3	15/2	0.75	3/8	3/8	6/8	1	1	3/16			1/8	3/2	-1	0	72	C5	5	19
3	3	8	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-1	53	F3	3	25
3	3	33/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-5	61	Db4	4	20
3	3	33/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-1	65	F4	4	20
3	3	33/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-2	70	Bb4	4	20
3	3	17/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		1	55	G3	3	26
4	4	9	0.5	0	0	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	30
4	4	9	1.5	0	0	6/8	1	1	3/8			1/4	3/2		0	60	C4	4	27
4	4	9	1.5	0	0	6/8	1	1	3/8			1/4	3/2		-3	63	Eb4	4	27
4	4	9	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	0	72	C5	5	27
4	4	19/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		0	60	C4	4	31
4	4	10	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		-5	61	Db4	4	32
4	4	21/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-1	53	F3	3	33
4	4	21/2	0.75	3/8	3/8	6/8	1	1	3/16			1/8	3/2	-1	0	72	C5	5	28
4	4	11	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	34
4	4	45/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-2	70	Bb4	4	29
4	4	45/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-5	73	Db5	5	29
4	4	45/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		-1	77	F5	5	29
4	4	45/4	0.75	9/16	9/16	6/8	1	1	3/16			1/8	3/2		1	79	G5	5	29
4	4	23/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		-2	58	Bb3	3	35
5	5	12	0.5	0	0	6/8	2	1	1/8			1/8	1		0	36	C2	2	44
5	5	12	0.5	0	0	6/8	1	1	1/8			1/8	1		0	72	C5	5	36
5	5	12	0.5	0	0	6/8	1	1	1/8			1/8	1		-3	75	Eb5	5	36
5	5	12	0.5	0	0	6/8	1	1	1/8			1/8	1		0	84	C6	6	36
5	5	25/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		1	43	G2	2	45
5	5	25/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		-2	82	Bb5	5	37
5	5	13	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		0	48	C3	3	46
5	5	13	0.5	1/4	1/4	6/8	1	1	1/8			1/8	1		-4	80	Ab5	5	38
5	5	27/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-5	49	Db3	3	47
5	5	27/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		1	79	G5	5	39
5	5	14	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-1	53	F3	3	48
5	5	14	0.25	1/2	1/2	6/8	1	1	1/16			1/16	1		-4	80	Ab5	5	40
5	5	57/4	0.25	9/16	9/16	6/8	1	1	1/16			1/16	1		1	79	G5	5	41
5	5	29/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		1	55	G3	3	49
5	5	29/2	0.25	5/8	5/8	6/8	1	1	1/16			1/16	1		-1	77	F5	5	42
5	5	59/4	0.25	11/16	11/16	6/8	1	1	1/16			1/16	1		1	79	G5	5	43
6	6	15	0.5	0	0	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	58
6	6	15	0.5	0	0	6/8	1	1	1/8			1/8	1		-3	75	Eb5	5	50
6	6	31/2	0.5	1/8	1/8	6/8	2	1	1/8			1/8	1		0	60	C4	4	59
6	6	31/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		0	72	C5	5	51
6	6	16	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		-5	61	Db4	4	60
6	6	16	0.5	1/4	1/4	6/8	1	1	1/8			1/8	1	1	-1	77	F5	5	52
6	6	33/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		-1	53	F3	3	61
6	6	33/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	-1	77	F5	5	53
6	6	17	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		-4	56	Ab3	3	62
6	6	17	0.25	1/2	1/2	6/8	1	1	1/16			1/16	1		-2	70	Bb4	4	54
6	6	69/4	0.25	9/16	9/16	6/8	1	1	1/16			1/16	1		0	72	C5	5	55
