mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	0	1/4	1/8		1/8	1		0	48	2	1	
1	0	1/4	1/8		1/8	1		4	52	2	1	
1	0	1/4	1/8		1/8	1		1	55	2	1	
1	0	1/4	1/8		1/8	1		0	60	2	1	
1	0	1/4	1/8		1/8	1		4	64	1	1	
1	0	1/4	1/8		1/8	1		1	67	1	1	
1	0	1/4	1/8		1/8	1		0	72	1	1	
2	1	0	3/16		1/8	3/2		5	47	2	1	
2	1	0	3/16		1/8	3/2		0	48	2	1	
2	1	0	3/16		1/8	3/2		-1	53	2	1	
2	1	0	3/16		1/8	3/2		5	59	2	1	
2	1	0	3/16		1/8	3/2		0	60	2	1	
2	1	0	1/16		1/16	1		-1	65	1	1	
2	1	0	1/16		1/16	1		3	69	1	1	
2	1	0	1/16		1/16	1		0	72	1	1	
2	1	1/16	1/16		1/16	1		2	74	1	1	
2	1	1/8	1/16		1/16	1		4	76	1	1	
2	1	3/16	3/16		1/8	3/2		3	45	2	1	
2	1	3/16	3/16		1/8	3/2		3	57	2	1	
2	1	3/16	1/16		1/16	1		-1	77	1	1	
2	1	1/4	1/8		1/8	1		1	79	1	1	
3	2	0	3/16		1/8	3/2		1	43	2	1	
3	2	0	3/16		1/8	3/2		1	55	2	1	
3	2	0	1/8		1/8	1		1	79	1	1	
3	2	1/8	1/16		1/16	1		5	71	1	1	
3	2	1/8	1/16		1/16	1		2	74	1	1	
3	2	1/8	1/16		1/16	1		1	79	1	1	
3	2	3/16	3/16		1/8	3/2		-1	41	2	1	
3	2	3/16	3/16		1/8	3/2		1	43	2	1	
3	2	3/16	3/16		1/8	3/2		-1	53	2	1	
3	2	3/16	3/16		1/8	3/2		1	55	2	1	
3	2	3/16	1/16		1/16	1		-1	77	1	1	
3	2	1/4	1/16		1/16	1		4	76	1	1	
3	2	5/16	1/16		1/16	1		2	74	1	1	
4	3	0	3/16		1/8	3/2		4	40	2	1	
4	3	0	3/16		1/8	3/2		4	52	2	1	
4	3	0	1/8		1/8	1		0	72	1	1	
4	3	1/8	1/8		1/8	1		4	64	1	1	
4	3	1/8	1/8		1/8	1		1	67	1	1	
4	3	1/8	1/8		1/8	1		0	72	1	1	
4	3	3/16	3/16		1/8	3/2		2	38	2	1	
4	3	3/16	3/16		1/8	3/2		2	50	2	1	
