mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
30	30	0	0	2/4	3	1		iv64	i(64)	a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
30	30	1/8	1/8	2/4	3	1		V64		a	#iii		V64		V		64						M	1	1	2, 1, 5		1	2
30	30	1/4	1/4	2/4	3	1		viio2/V		a	#iii		viio2/V		vii	o	2		V				o7	1	1	-3, 6, 3, 0		6	-3
31	31	0	0	2/4	3	1		iio6		a	#iii		iio6		ii	o	6						o	1	1	-1, -4, 2		2	-1
31	31	1/8	1/8	2/4	3	1		V6/V	viio/V	a	#iii		V6/V		V		6		V				M	1	1	6, 3, 2		2	6
31	31	1/4	1/4	2/4	3	1		V(64)	i64	a	#iii		V(64)		V			64					M	1	1	1, 0, -3		1	1
31	31	3/8	3/8	2/4	3	1		V64/V		a	#iii		V64/V		V		64		V				M	1	1	3, 2, 6		2	3
32	32	0	0	2/4	3	1		V65		a	#iii		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
32	32	1/8	1/8	2/4	3	1		V7		a	#iii		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
32	32	1/4	1/4	2/4	3	1		i|PAC}		a	#iii		i		i						PAC	}	m	1	1	0, -3, 1		0	0
32	32	3/8	3/8	2/4	3	1		{		a	#iii											{		1	1				
34	34	0	0	2/4	3	1		V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
34	34	1/8	1/8	2/4	3	1		V2		a	#iii		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
34	34	1/4	1/4	2/4	3	1		i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
34	34	3/8	3/8	2/4	3	1		#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
35	35	0	0	2/4	3	1		v	ii/iv	a	#iii		v		v								m	1	1	1, -2, 2		1	1
35	35	1/4	1/4	2/4	3	1		#viio7/v	#viio7/ii/iv	a	#iii		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
36	36	0	0	2/4	3	1		V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
36	36	1/4	1/4	2/4	3	1		i/iv|IAC}		a	#iii		i/iv		i				iv		IAC	}	m	1	1	-1, -4, 0		-1	-1
36	36	3/8	3/8	2/4	3	1		{		a	#iii											{		1	1				
38	38	0	0	2/4	3	1		V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
38	38	1/8	1/8	2/4	3	1		V2/iv		a	#iii		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
38	38	1/4	1/4	2/4	3	1		i6/iv		a	#iii		i6/iv		i		6		iv				m	1	1	-4, 0, -1		-1	-4
38	38	3/8	3/8	2/4	3	1		#viio43		a	#iii		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
39	39	0	0	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
39	39	1/4	1/4	2/4	3	1		V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
40	40	0	0	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
40	40	1/16	1/16	2/4	3	1		v/#iii.#viio43		a	v/#iii		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
41	41	0	0	2/4	3	1		V7(9)		a	v/#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
41	41	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
41	41	5/16	5/16	2/4	3	1		V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
42	42	0	0	2/4	3	1		#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
42	42	1/4	1/4	2/4	3	1		i6		a	v/#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
42	42	5/16	5/16	2/4	3	1		V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
43	43	0	0	2/4	3	1		V7(9)		a	v/#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
43	43	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
43	43	5/16	5/16	2/4	3	1		V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
44	44	0	0	2/4	3	1		#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
44	44	1/4	1/4	2/4	3	1		i6		a	v/#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
44	44	3/8	3/8	2/4	3	1		V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
45	45	0	0	2/4	3	1		#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
45	45	1/4	1/4	2/4	3	1		i[i		a	v/#iii	i	i		i								m	1	1	0, -3, 1		0	0
45	45	3/8	3/8	2/4	3	1		V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
46	46	0	0	2/4	3	1		#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
46	46	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
46	46	3/8	3/8	2/4	3	1		V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
47	47	0	0	2/4	3	1		#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
47	47	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
47	47	3/8	3/8	2/4	3	1		viio64/V		a	v/#iii		viio64/V		vii	o	64		V				o	1	1	0, 6, 3		6	0
48	48	0	0	2/4	3	1		#viio7		a	v/#iii		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
48	48	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
48	48	3/8	3/8	2/4	3	1		V7(9)/V		a	v/#iii		V7(9)/V		V		7	9	V				Mm7	1	1	2, 6, 3, 0	4	2	2
49	49	0	0	2/4	3	1		#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
49	49	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
49	49	3/8	3/8	2/4	3	1		V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
50	50	0	0	2/4	3	1		#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
50	50	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
50	50	3/8	3/8	2/4	3	1		V2/V		a	v/#iii		V2/V		V		2		V				Mm7	1	1	0, 2, 6, 3		2	0
51	51	0	0	2/4	3	1		#viio7		a	v/#iii		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
51	51	1/4	1/4	2/4	3	1		i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
51	51	3/8	3/8	2/4	3	1		viio64/V		a	v/#iii		viio64/V		vii	o	64		V				o	1	1	0, 6, 3		6	0
52	52	0	0	2/4	3	1		#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
52	52	1/4	1/4	2/4	3	1		viio43/V	viio2/#iii	a	v/#iii		viio43/V		vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
53	53	0	0	2/4	3	1		V/#iii[V7(9)/#iii		a	v/#iii	V/#iii	V7(9)/#iii		V		7	9	#iii				Mm7	1	1	5, 9, 6, 3	0	5	5
53	53	1/4	1/4	2/4	3	1		V/#iii		a	v/#iii		V/#iii		V				#iii				M	1	1	5, 9, 6		5	5
53	53	3/8	3/8	2/4	3	1		V7/V/#iii		a	v/#iii		V7/V/#iii		V		7		V/#iii				Mm7	1	1	6, 10, 7, 4		6	6
54	54	0	0	2/4	3	1		V7(9)/#iii		a	v/#iii		V7(9)/#iii		V		7	9	#iii				Mm7	1	1	5, 9, 6, 3	0	5	5
54	54	1/4	1/4	2/4	3	1		V7(b3)/#iii		a	v/#iii		V7(b3)/#iii		V		7	b3	#iii				Mm7	1	1	5, 2, 6, 3		5	5
54	54	3/8	3/8	2/4	3	1		viio6/V/#iii]		a	v/#iii		viio6/V/#iii		vii	o	6		V/#iii	]			o	1	1	7, 4, 10		10	7
55	55	0	0	2/4	3	1		i/#iii[viio2		a	v/#iii	i/#iii	viio2		vii	o	2						o7	1	1	-11, -2, -5, -8		-2	-11
55	55	1/4	1/4	2/4	3	1		bII/#iii		a	v/#iii		bII/#iii		bII				#iii				M	1	1	-1, 3, 0		-1	-1
55	55	3/8	3/8	2/4	3	1		It6/#iii		a	v/#iii		It6/#iii	It	vii	o	6	b3	V/#iii				It	1	1	0, 4, 10		10	0
56	56	0	0	2/4	3	1		#viio7/#iii		a	v/#iii		#viio7/#iii		#vii	o	7		#iii				o7	1	1	9, 6, 3, 0		9	9
56	56	3/8	3/8	2/4	3	1		ii7/ii		a	v/#iii		ii7/ii		ii		7		ii				mm7	1	1	4, 1, 5, 2		4	4
57	57	0	0	2/4	3	1		V/ii[V7(9)/ii		a	v/#iii	V/ii	V7(9)/ii		V		7	9	ii				Mm7	1	1	3, 7, 4, 1	-2	3	3
57	57	1/4	1/4	2/4	3	1		V/ii		a	v/#iii		V/ii		V				ii				M	1	1	3, 7, 4		3	3
57	57	3/8	3/8	2/4	3	1		V7/V/ii		a	v/#iii		V7/V/ii		V		7		V/ii				Mm7	1	1	4, 8, 5, 2		4	4
58	58	0	0	2/4	3	1		V7(9)/ii		a	v/#iii		V7(9)/ii		V		7	9	ii				Mm7	1	1	3, 7, 4, 1	-2	3	3
58	58	1/4	1/4	2/4	3	1		V7(b3)/ii		a	v/#iii		V7(b3)/ii		V		7	b3	ii				Mm7	1	1	3, 0, 4, 1		3	3
58	58	3/8	3/8	2/4	3	1		viio6/V/ii]		a	v/#iii		viio6/V/ii		vii	o	6		V/ii	]			o	1	1	5, 2, 8		8	5
59	59	0	0	2/4	3	1		i/ii[viio2		a	v/#iii	i/ii	viio2		vii	o	2						o7	1	1	-11, -2, -5, -8		-2	-11
59	59	1/4	1/4	2/4	3	1		bII/bVII		a	v/#iii		bII/bVII		bII				bVII				M	1	1	-14, -10, -13		-14	-14
59	59	3/8	3/8	2/4	3	1		It6/ii		a	v/#iii		It6/ii	It	vii	o	6	b3	V/ii				It	1	1	-2, 2, 8		8	-2
60	60	0	0	2/4	3	1		#viio7/ii		a	v/#iii		#viio7/ii		#vii	o	7		ii				o7	1	1	7, 4, 1, -2		7	7
60	60	3/8	3/8	2/4	3	1		ii7]		a	v/#iii		ii7		ii		7			]			mm7	1	1	2, -1, 3, 0		2	2
61	61	0	0	2/4	3	1		V[V}		a	v/#iii	V	V		V							}	M	1	1	1, 5, 2		1	1
61	61	3/8	3/8	2/4	3	1		#iii.i{		a	#iii		i		i							{	m	1	1	0, -3, 1		0	0
62	62	0	0	2/4	3	1		V64		a	#iii		V64		V		64						M	1	1	2, 1, 5		1	2
63	63	0	0	2/4	3	1		V43(9)		a	#iii		V43(9)		V		43	9					Mm7	1	1	2, -1, 1, 5	-4	1	2
63	63	1/4	1/4	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
63	63	3/8	3/8	2/4	3	1		#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
64	64	0	0	2/4	3	1		i/v		a	#iii		i/v		i				v				m	1	1	1, -2, 2		1	1
64	64	1/4	1/4	2/4	3	1		#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
65	65	0	0	2/4	3	1		i/v]}		a	#iii		i/v		i				v	]		}	m	1	1	1, -2, 2		1	1
65	65	1/4	1/4	2/4	3	1		V{		a	#iii		V		V							{	M	1	1	1, 5, 2		1	1
66	66	0	0	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
66	66	1/8	1/8	2/4	3	1		V6		a	#iii		V6		V		6						M	1	1	5, 2, 1		1	5
66	66	1/4	1/4	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
67	67	0	0	2/4	3	1		V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
67	67	1/8	1/8	2/4	3	1		V2		a	#iii		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
67	67	1/4	1/4	2/4	3	1		i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
67	67	3/8	3/8	2/4	3	1		#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
68	68	0	0	2/4	3	1		v		a	#iii		v		v								m	1	1	1, -2, 2		1	1
68	68	1/4	1/4	2/4	3	1		#viio7/v	#viio7/ii/iv	a	#iii		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
69	69	0	0	2/4	3	1		V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
69	69	1/4	1/4	2/4	3	1		i/iv|IAC}		a	#iii		i/iv		i				iv		IAC	}	m	1	1	-1, -4, 0		-1	-1
69	69	5/12	5/12	2/4	3	1		{		a	#iii											{		1	1				
70	70	0	0	2/4	3	1		i/iv		a	#iii		i/iv		i				iv				m	1	1	-1, -4, 0		-1	-1
70	70	1/8	1/8	2/4	3	1		V6/iv		a	#iii		V6/iv		V		6		iv				M	1	1	4, 1, 0		0	4
70	70	1/4	1/4	2/4	3	1		i6/iv		a	#iii		i6/iv		i		6		iv				m	1	1	-4, 0, -1		-1	-4
70	70	3/8	3/8	2/4	3	1		V2(9)/iv		a	#iii		V2(9)/iv		V		2	9	iv				Mm7	1	1	-2, 0, 4, 1	-5	0	-2
71	71	0	0	2/4	3	1		i6/iv		a	#iii		i6/iv		i		6		iv				m	1	1	-4, 0, -1		-1	-4
71	71	1/8	1/8	2/4	3	1		#viio65		a	#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
71	71	1/4	1/4	2/4	3	1		i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
71	71	3/8	3/8	2/4	3	1		V2(9)		a	#iii		V2(9)		V		2	9					Mm7	1	1	-1, 1, 5, 2	-4	1	-1
72	72	0	0	2/4	3	1		i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
72	72	1/8	1/8	2/4	3	1		viio2/V		a	#iii		viio2/V		vii	o	2		V				o7	1	1	-3, 6, 3, 0		6	-3
72	72	1/4	1/4	2/4	3	1		viio7/V		a	#iii		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
73	73	0	0	2/4	3	1		viio65/V		a	#iii		viio65/V		vii	o	65		V				o7	1	1	3, 0, -3, 6		6	3
73	73	1/4	1/4	2/4	3	1		viio43/V		a	#iii		viio43/V		vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
74	74	0	0	2/4	3	1		i6	V(64)	a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
75	75	0	0	2/4	3	1		V7		a	#iii		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
76	76	0	0	2/4	3	1		i[i|PAC}{		a	#iii	i	i		i						PAC	}{	m	1	1	0, -3, 1		0	0
76	76	1/4	1/4	2/4	3	1		i7		a	#iii		i7		i		7						mm7	1	1	0, -3, 1, -2		0	0
77	77	0	0	2/4	3	1		V7/iv		a	#iii		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
77	77	1/8	1/8	2/4	3	1		iv64		a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
77	77	1/4	1/4	2/4	3	1		bII		a	#iii		bII		bII								M	1	1	-5, -1, -4		-5	-5
78	78	0	0	2/4	3	1		bII6/iv		a	#iii		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
78	78	1/8	1/8	2/4	3	1		iv64(4)		a	#iii		iv64(4)		iv		64	4					m	1	1	0, -1, -2		-1	0
78	78	1/4	1/4	2/4	3	1		V(6)/iv		a	#iii		V(6)/iv		V			6	iv				M	1	1	0, 4, -4		0	0
