mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.g.i64	g	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
2	1	0	V2	g	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
2	1	1/2	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
3	2	0	V	g	i		V	V							M	1	1	1, 5, 2		1.0	1.0
3	2	1/4	III+64	g	i		III+64	III		+	64				+	1	1	5, -3, 1		-3.0	5.0
3	2	1/2	V2	g	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
4	3	0	i6	g	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
4	3	1/4	i64	g	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
4	3	1/2	V43(4)/v	g	i		V43(4)/v	V			43	4	v		Mm7	1	1	3, 0, 2, 1		2.0	3.0
5	4	0	V6	g	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
7	6	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
8	7	0	ii%7	g	i		ii%7	ii		%	7				%7	1	1	2, 1, 8, 0		2.0	2.0
9	8	0	V2	g	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
9	8	1/4	V65(6)	g	i		V65(6)	V			65	6			Mm7	1	1	5, -3, -1, 1		1.0	5.0
9	8	1/2	V7\\	g	i		V7	V			7			\\	Mm7	1	1	1, 5, 2, -1		1.0	1.0
10	9	0	iv7	g	i		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
11	10	0	V(4)	g	i		V(4)	V				4			M	1	1	1, 0, 2		1.0	1.0
11	10	1/4	V	g	i		V	V							M	1	1	1, 5, 2		1.0	1.0
12	11	0	#viio7/iv	g	i		#viio7/iv	#vii		o	7		iv		o7	1	1	4, 1, -2, -5		4.0	4.0
13	12	0	iv(4)	g	i		iv(4)	iv				4			m	1	1	-1, -2, 0		-1.0	-1.0
13	12	1/4	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
14	13	0	#viio65	g	i		#viio65	#vii		o	65				o7	1	1	2, -1, -4, 5		5.0	2.0
15	14	0	i6	g	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
15	14	1/4	i6(4)	g	i		i6(4)	i			6	4			m	1	1	-1, 1, 0		0.0	-1.0
15	14	1/2	i6	g	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
16	15	0	#viio43	g	i		#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
17	16	0	V9/VI	g	i											1	1				
17	16	1/4	V/VI	g	i		V/VI	V					VI		M	1	1	-3, 1, -2		-3.0	-3.0
18	17	0	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
18	17	1/2	VIM7	g	i		VIM7	VI		M	7				MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
19	18	0	V/VI	g	i		V/VI	V					VI		M	1	1	-3, 1, -2		-3.0	-3.0
19	18	5/8	III+	g	i		III+	III		+					+	1	1	-3, 1, 5		-3.0	-3.0
20	19	0	VIM7	g	i		VIM7	VI		M	7				MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
20	19	1/2	V7	g	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
21	20	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
21	20	1/4	#ivo7	g	i		#ivo7	#iv		o	7				o7	1	1	6, 3, 0, -3		6.0	6.0
22	21	0	.bII6	g	i		bII6	bII			6				M	1	1	-1, -4, -5		-5.0	-1.0
22	21	1/2	i6	g	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
23	22	0	iio	g	i		iio	ii		o					o	1	1	2, -1, -4		2.0	2.0
23	22	1/4	.bII	g	i		bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0
23	22	1/2	I	g	i		I	I							M	1	1	0, 4, 1		0.0	0.0
23	22	5/8	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
24	23	0	V	g	i		V	V							M	1	1	1, 5, 2		1.0	1.0
24	23	1/2	V2	g	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
25	24	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
25	24	1/4	V64	g	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
25	24	1/2	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
