mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1		f.V[V{		f	i	V	V		V						{	M	1	1	1, 5, 2		1	1
1	1	2	2	2.0	1/2	1/2	4/4	2	1		V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	2	4	4	1.5	0	0	4/4	2	1		i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1		iv7		f	i	V	iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	6	6	2.0	1/2	1/2	4/4	2	1		V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
3	3	8	8	1.5	0	0	4/4	2	1		V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1		i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
3	3	10	10	1.0	1/2	1/2	4/4	2	1		V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
3	3	11	11	0.5	3/4	3/4	4/4	2	1		i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1		iv7		f	i	V	iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
4	4	12	12	2.0	0	0	4/4	2	1		V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
4	4	14	14	1.5	1/2	1/2	4/4	2	1		V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1		i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
5	5	16	16	2.0	0	0	4/4	2	1		V7(9)		f	i	V	V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
5	5	18	18	1.0	1/2	1/2	4/4	2	1		i(#139)		f	i	V	i(#139)		i			#139				m	1	1	0, -3, 1	3, 2	0	0
5	5	19	19	1.0	3/4	3/4	4/4	2	1		viio7/V		f	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
6	6	20	20	1.5	0	0	4/4	2	1		V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	1		i7	iv7/V	f	i	V	i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
6	6	22	22	2.0	1/2	1/2	4/4	2	1		V/V		f	i	V	V/V		V				V			M	1	1	2, 6, 3		2	2
7	7	24	24	1.5	0	0	4/4	2	1		V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1		V7(9b5)	Ger7/iv	f	i	V	V7(9b5)		V		7	9b5				Mm7	1	1	1, 5, -5, -1	-4	1	1
7	7	26	26	2.0	1/2	1/2	4/4	2	1		I		f	i	V	I		I							M	1	1	0, 4, 1		0	0
