mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	4/4	2	1	d.i{		d	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	1	i(4)		d	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1	V6		d	i		V6		V		6					M	1	1	5, 2, 1		1	5
1	1	3	3	1.0	3/4	3/4	4/4	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	4	4	1.0	0	0	4/4	2	1	iv7		d	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	5	5	1.0	1/4	1/4	4/4	2	1	VII		d	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
2	2	6	6	1.0	1/2	1/2	4/4	2	1	IIIM7		d	i		IIIM7		III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
2	2	7	7	1.0	3/4	3/4	4/4	2	1	VIM7		d	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
3	3	8	8	2.0	0	0	4/4	2	1	ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
3	3	10	10	0.5	1/2	1/2	4/4	2	1	V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	1	ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
3	3	11	11	1.0	3/4	3/4	4/4	2	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	12	12	1.0	0	0	4/4	2	1	ii6		d	i		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
4	4	13	13	0.5	1/4	1/4	4/4	2	1	V7(4)		d	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	14	14	2.0	1/2	1/2	4/4	2	1	i|PAC}		d	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
4	4	31/2	31/2	0.0	7/8	7/8	4/4	2	1	{		d	i										{		1	1				
5	5	16	16	1.0	0	0	4/4	2	1	V(4)		d	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
5	5	17	17	1.0	1/4	1/4	4/4	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
5	5	18	18	0.5	1/2	1/2	4/4	2	1	i(9)		d	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
5	5	37/2	37/2	1.0	5/8	5/8	4/4	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
5	5	39/2	39/2	0.5	7/8	7/8	4/4	2	1	V7/VII		d	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
6	6	20	20	0.5	0	0	4/4	2	1	VII(94)		d	i		VII(94)		VII			94				M	1	1	-2, -3, -1	0	-2	-2
6	6	41/2	41/2	1.5	1/8	1/8	4/4	2	1	VII		d	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
6	6	22	22	0.5	1/2	1/2	4/4	2	1	V7(4)/iv		d	i		V7(4)/iv		V		7	4	iv			Mm7	1	1	0, -1, 1, -2		0	0
6	6	45/2	45/2	1.5	5/8	5/8	4/4	2	1	V7/iv		d	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
7	7	24	24	1.0	0	0	4/4	2	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	7	25	25	0.5	1/4	1/4	4/4	2	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	51/2	51/2	1.0	3/8	3/8	4/4	2	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	53/2	53/2	1.0	5/8	5/8	4/4	2	1	ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	#viio		d	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
8	8	28	28	0.5	0	0	4/4	2	1	i(9)		d	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
8	8	57/2	57/2	0.5	1/8	1/8	4/4	2	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	29	29	0.5	1/4	1/4	4/4	2	1	ii%65(^4)		d	i		ii%65(^4)		ii	%	65	^4				%7	1	1	-1, 1, 0, 2		2	-1
8	8	59/2	59/2	0.75	3/8	3/8	4/4	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	121/4	121/4	0.75	9/16	9/16	4/4	2	1	V7/ii		d	i		V7/ii		V		7		ii			Mm7	1	1	3, 7, 4, 1		3	3
8	8	31	31	1.0	3/4	3/4	4/4	2	1	ii		d	i		ii		ii							m	1	1	2, -1, 3		2	2
9	9	32	32	0.5	0	0	4/4	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
9	9	65/2	65/2	0.5	1/8	1/8	4/4	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
9	9	33	33	0.5	1/4	1/4	4/4	2	1	ii%65(^4)		d	i		ii%65(^4)		ii	%	65	^4				%7	1	1	-1, 1, 0, 2		2	-1
9	9	67/2	67/2	0.5	3/8	3/8	4/4	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	34	34	0.5	1/2	1/2	4/4	2	1	i(9)}		d	i		i(9)		i			9			}	m	1	1	0, -3, 1	2	0	0
9	9	69/2	69/2	0.5	5/8	5/8	4/4	2	1	i|PAC		d	i		i		i					PAC		m	1	1	0, -3, 1		0	0
9	9	35	35	0.75	3/4	3/4	4/4	2	1	VII.I{		d	VII		I		I						{	M	1	0	0, 4, 1		0	0
9	9	143/4	143/4	0.25	15/16	15/16	4/4	2	1	V		d	VII		V		V							M	1	0	1, 5, 2		1	1
10	10	36	36	0.5	0	0	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	73/2	73/2	0.5	1/8	1/8	4/4	2	1	V		d	VII		V		V							M	1	0	1, 5, 2		1	1
10	10	37	37	1.0	1/4	1/4	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	38	38	0.5	1/2	1/2	4/4	2	1	V7		d	VII		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
10	10	77/2	77/2	0.5	5/8	5/8	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	39	39	1.0	3/4	3/4	4/4	2	1	ii6		d	VII		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
11	11	40	40	1.0	0	0	4/4	2	1	V(6)	ii6/ii	d	VII		V(6)		V			6				M	1	0	1, 5, 4		1	1
11	11	41	41	0.5	1/4	1/4	4/4	2	1	V7(4)/ii		d	VII		V7(4)/ii		V		7	4	ii			Mm7	1	0	3, 2, 4, 1		3	3
11	11	83/2	83/2	0.5	3/8	3/8	4/4	2	1	V7/ii		d	VII		V7/ii		V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
11	11	42	42	1.5	1/2	1/2	4/4	2	1	i/ii|PAC}		d	VII		i/ii		i				ii	PAC	}	m	1	0	2, -1, 3		2	2
11	11	87/2	87/2	0.25	7/8	7/8	4/4	2	1	vi{		d	VII		vi		vi						{	m	1	0	3, 0, 4		3	3
11	11	175/4	175/4	0.25	15/16	15/16	4/4	2	1	V		d	VII		V		V							M	1	0	1, 5, 2		1	1
12	12	44	44	0.5	0	0	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
12	12	89/2	89/2	0.5	1/8	1/8	4/4	2	1	V		d	VII		V		V							M	1	0	1, 5, 2		1	1
12	12	45	45	0.5	1/4	1/4	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	vi65	I(13)	d	VII		vi65		vi		65					mm7	1	0	0, 4, 1, 3		3	0
12	12	46	46	0.5	1/2	1/2	4/4	2	1	V7(4)		d	VII		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
12	12	93/2	93/2	0.5	5/8	5/8	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
12	12	47	47	1.0	3/4	3/4	4/4	2	1	ii6		d	VII		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
13	13	48	48	1.5	0	0	4/4	2	1	V/vi|HC}		d	VII		V/vi		V				vi	HC	}	M	1	0	4, 8, 5		4	4
13	13	99/2	99/2	0.5	3/8	3/8	4/4	2	1	V65/vi{		d	VII		V65/vi		V		65		vi		{	Mm7	1	0	8, 5, 2, 4		4	8
13	13	50	50	1.5	1/2	1/2	4/4	2	1	vi		d	VII		vi		vi							m	1	0	3, 0, 4		3	3
13	13	103/2	103/2	0.5	7/8	7/8	4/4	2	1	ii7(9)		d	VII		ii7(9)		ii		7	9				mm7	1	0	2, -1, 3, 0	4	2	2
14	14	52	52	0.5	0	0	4/4	2	1	V65		d	VII		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
14	14	105/2	105/2	0.5	1/8	1/8	4/4	2	1	V		d	VII		V		V							M	1	0	1, 5, 2		1	1
14	14	53	53	0.5	1/4	1/4	4/4	2	1	ii		d	VII		ii		ii							m	1	0	2, -1, 3		2	2
14	14	107/2	107/2	0.5	3/8	3/8	4/4	2	1	V65		d	VII		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
14	14	54	54	0.75	1/2	1/2	4/4	2	1	I		d	VII		I		I							M	1	0	0, 4, 1		0	0
14	14	219/4	219/4	0.25	11/16	11/16	4/4	2	1	V/ii		d	VII		V/ii		V				ii			M	1	0	3, 7, 4		3	3
14	14	55	55	1.0	3/4	3/4	4/4	2	1	V2/ii		d	VII		V2/ii		V		2		ii			Mm7	1	0	1, 3, 7, 4		3	1
15	15	56	56	0.5	0	0	4/4	2	1	i/ii		d	VII		i/ii		i				ii			m	1	0	2, -1, 3		2	2
15	15	113/2	113/2	0.5	1/8	1/8	4/4	2	1	iv6/ii		d	VII		iv6/ii		iv		6		ii			m	1	0	-2, 2, 1		1	-2
15	15	57	57	1.0	1/4	1/4	4/4	2	1	ii%65/ii	vii%65/IV	d	VII		ii%65/ii		ii	%	65		ii			%7	1	0	1, -2, 2, 4		4	1
15	15	58	58	1.0	1/2	1/2	4/4	2	1	ii	vi/IV	d	VII		ii		ii							m	1	0	2, -1, 3		2	2
15	15	59	59	1.0	3/4	3/4	4/4	2	1	III.ii7		d	III		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2
