mc	mn	onset	label
1	1	0	.e.i
1	1	1/4	i6
1	1	1/2	i
3	3	3/8	ii%7
3	3	1/2	i64
3	3	3/4	ii%7
3	3	7/8	iv7
4	4	0	i
4	4	3/8	ii%7
4	4	1/2	i64
4	4	7/8	#ivo7
5	5	0	i
5	5	3/8	ii%7
5	5	1/2	i64
5	5	3/4	III6
5	5	7/8	V6
6	6	0	i
6	6	1/2	i6
6	6	3/4	III6
6	6	7/8	iv
7	7	0	V7/III
7	7	3/8	V(96)/III
7	7	1/2	V65/III
7	7	3/4	III6
7	7	7/8	iv
8	8	0	V/III
8	8	1/8	V43(96)/III
8	8	1/4	iv6
8	8	3/8	V9/III
8	8	1/2	III
8	8	3/4	III6
8	8	7/8	i65
9	9	0	V7/III
9	9	1/8	V43(96)/III
9	9	1/4	ii65/III
9	9	1/2	ii2/III
9	9	3/4	III6
10	10	0	V/III
10	10	1/4	#vi%65/#vii
10	10	1/2	#vi%7/#vii
10	10	15/16	V7(4)
11	11	0	i\\
11	11	3/4	ii%7
11	11	7/8	iv7
12	12	0	i
12	12	3/8	ii%7
12	12	1/2	i64
12	12	3/4	VII
12	12	7/8	#ivo7
13	13	0	i
13	13	3/8	.bII
13	13	1/2	V/iv
13	13	5/8	ii2/iv
13	13	7/8	III+7/iv
14	14	0	iv[#vii%7/iv
14	14	1/8	iv(#6)
14	14	1/4	#vii%7/iv
14	14	5/8	iv(#6)
14	14	3/4	#vii%7/iv
14	14	7/8	iv(#6)]
15	15	0	i64
15	15	1/2	iio64
15	15	5/8	i64
15	15	3/4	V7
15	15	15/16	i64
16	16	0	i\\
17	17	0	VI.ii%7
18	18	1/4	I6
18	18	3/8	V7(9)
18	18	1/2	I(97)
18	18	5/8	I
18	18	3/4	V7(4)
18	18	7/8	I
19	19	0	ii%7(94)
19	19	1/8	ii%7
20	20	0	V2/IV
20	20	1/8	V7/bIII
20	20	3/8	viio6/iv
20	20	1/2	iv
20	20	3/4	.bIII
20	20	7/8	V7/bV
21	21	0	.bI.ii%7
22	22	1/4	I6
22	22	3/8	viio6/IV
22	22	1/2	V7/IV
22	22	11/16	I6
22	22	13/16	ii64
22	22	7/8	I
23	23	0	ii%7(94)
23	23	1/8	ii%7
24	24	0	V2/IV
24	24	1/8	V7/bIII
24	24	3/8	viio6/iv
24	24	1/2	iv
24	24	3/4	.bIII
24	24	7/8	V7/bV
25	25	0	i.V64
25	25	3/8	V/V
25	25	1/2	V(#6)
25	25	5/8	V/V
25	25	3/4	#vi
25	25	7/8	V7/V
26	26	0	V/V
26	26	1/8	IM7
26	26	1/4	V64
26	26	3/4	V7/V
27	27	0	i
27	27	1/8	VIM7
27	27	1/4	i6
27	27	3/8	VI
27	27	1/2	vi7
27	27	5/8	VII
27	27	3/4	VI
27	27	7/8	ii%7
28	28	0	V7(4)
28	28	1/8	V
28	28	3/4	V7(9)/III
28	28	7/8	ii%7(9)
29	29	0	i\\
29	29	3/8	ii%7
29	29	1/2	i64
29	29	3/4	ii%7
29	29	7/8	iv7
30	30	0	i
30	30	3/8	ii%7
30	30	1/2	i64
30	30	7/8	#ivo7
31	31	0	i
31	31	3/8	ii%7
31	31	1/2	i64
31	31	3/4	III6
31	31	7/8	V6
32	32	0	i
32	32	1/2	i6
32	32	3/4	III6
32	32	7/8	iv
33	33	0	V/III
33	33	3/8	V(96)/III
33	33	1/2	V65/III
33	33	3/4	III6
33	33	7/8	iv
34	34	0	V/III
34	34	1/8	V43(96)/III
34	34	1/4	iv6
34	34	3/8	V9/III
34	34	1/2	III
34	34	3/4	III6
34	34	7/8	i65
35	35	0	V7/III
35	35	1/8	V43(96)/III
35	35	1/4	ii65/III
35	35	1/2	ii2/III
35	35	3/4	III6
36	36	0	V/III
36	36	1/4	#vi%65/#vii
36	36	1/2	#vi%7/#vii
36	36	7/8	V43/iv
37	37	0	iv(4)
37	37	1/4	iv\\
37	37	3/4	V7/III
38	38	0	iv
38	38	3/8	ii7/iv
38	38	1/2	iv64
38	38	3/4	III
38	38	7/8	V7/III
39	39	0	iv
39	39	3/8	iio
39	39	1/2	iv64
39	39	5/8	iv65
39	39	7/8	iv2
40	40	0	v
40	40	1/8	VI
40	40	1/4	i43
40	40	1/2	iv(9)
40	40	5/8	iv64
40	40	3/4	i
40	40	7/8	iio6
41	41	0	V7(4)
41	41	1/8	#vi%7
41	41	1/4	i
41	41	5/8	iv6
41	41	3/4	v
41	41	15/16	VI
42	42	0	VI+
42	42	1/8	.bII64
42	42	1/4	.bII
42	42	5/8	III6
42	42	3/4	iv6
42	42	7/8	viio/VI
43	43	0	v
43	43	1/8	#vi%7
43	43	1/4	i
43	43	3/4	iio6
43	43	7/8	i64
44	44	0	V7(9)
44	44	1/8	V6
44	44	1/4	i
44	44	3/8	iv
44	44	1/2	.Fr6
44	44	3/4	V7
45	45	0	i\\
46	46	1/8	V7(9)
46	46	1/4	i[i
46	46	3/8	#viio6
46	46	1/2	i
46	46	5/8	V7(9)
46	46	3/4	i
46	46	7/8	#viio6
47	47	0	i
47	47	1/8	V7(9)
47	47	1/4	i
47	47	3/8	#viio6
47	47	1/2	i]
47	47	3/4	V7(4)
48	48	0	i\\
