mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	3	1	c#.i{		c#	i		i		i							{	m	1	1	0, -3, 1		0	0
1	1	2	2	1.5	1/2	1/2	4/4	3	1	i(9)		c#	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
1	1	7/2	7/2	1.5	7/8	7/8	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
2	2	5	5	1.0	1/4	1/4	4/4	3	1	i7		c#	i		i7		i		7						mm7	1	1	0, -3, 1, -2		0	0
2	2	6	6	5.0	1/2	1/2	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
3	3	11	11	0.5	3/4	3/4	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
3	3	23/2	23/2	1.5	7/8	7/8	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
4	4	13	13	2.0	1/4	1/4	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
4	4	15	15	0.5	3/4	3/4	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
4	4	31/2	31/2	0.5	7/8	7/8	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
5	5	16	16	2.0	0	0	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
5	5	18	18	1.5	1/2	1/2	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
5	5	39/2	39/2	0.5	7/8	7/8	4/4	3	1	i6(6)		c#	i		i6(6)		i		6	6					m	1	1	-3, -4, 0		0	-3
6	6	20	20	1.0	0	0	4/4	3	1	V43(9)/III		c#	i		V43(9)/III		V		43	9	III				Mm7	1	1	-1, -4, -2, 2	0	-2	-1
6	6	21	21	1.0	1/4	1/4	4/4	3	1	V43/III		c#	i		V43/III		V		43		III				Mm7	1	1	-1, -4, -2, 2		-2	-1
6	6	22	22	1.0	1/2	1/2	4/4	3	1	IM65/III		c#	i		IM65/III		I	M	65		III				MM7	1	1	1, -2, 2, -3		-3	1
6	6	23	23	1.0	3/4	3/4	4/4	3	1	I6/III		c#	i		I6/III		I		6		III				M	1	1	1, -2, -3		-3	1
7	7	24	24	1.0	0	0	4/4	3	1	IV/III		c#	i		IV/III		IV				III				M	1	1	-4, 0, -3		-4	-4
7	7	25	25	1.0	1/4	1/4	4/4	3	1	ii6/III		c#	i		ii6/III		ii		6		III				m	1	1	-4, 0, -1		-1	-4
7	7	26	26	1.0	1/2	1/2	4/4	3	1	V7/III		c#	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
7	7	27	27	1.0	3/4	3/4	4/4	3	1	iii6/III		c#	i		iii6/III		iii		6		III				m	1	1	-2, 2, 1		1	-2
8	8	28	28	1.0	0	0	4/4	3	1	IV6(9)/III		c#	i		IV6(9)/III		IV		6	9	III				M	1	1	0, -3, -4	-2	-4	0
8	8	29	29	1.0	1/4	1/4	4/4	3	1	vii%7/III		c#	i		vii%7/III		vii	%	7		III				%7	1	1	2, -1, -4, 0		2	2
8	8	30	30	2.0	1/2	1/2	4/4	3	1	I/III		c#	i		I/III		I				III				M	1	1	-3, 1, -2		-3	-3
9	9	32	32	1.0	0	0	4/4	3	1	III(94)		c#	i		III(94)		III			94					M	1	1	-3, -4, -2	-1	-3	-3
9	9	33	33	1.0	1/4	1/4	4/4	3	1	III		c#	i		III		III								M	1	1	-3, 1, -2		-3	-3
9	9	34	34	2.0	1/2	1/2	4/4	3	1	VI		c#	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
10	10	36	36	1.0	0	0	4/4	3	1	ii%7(94)		c#	i		ii%7(94)		ii	%	7	94					%7	1	1	2, 1, -4, 0	-3	2	2
10	10	37	37	1.0	1/4	1/4	4/4	3	1	ii%7		c#	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
10	10	38	38	2.0	1/2	1/2	4/4	3	1	v		c#	i		v		v								m	1	1	1, -2, 2		1	1
11	11	40	40	2.0	0	0	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
11	11	42	42	2.0	1/2	1/2	4/4	3	1	v6		c#	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
12	12	44	44	0.5	0	0	4/4	3	1	iv6(2)		c#	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
12	12	89/2	89/2	0.5	1/8	1/8	4/4	3	1	iv6		c#	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
12	12	45	45	1.0	1/4	1/4	4/4	3	1	v64		c#	i		v64		v		64						m	1	1	2, 1, -2		1	2
12	12	46	46	1.0	1/2	1/2	4/4	3	1	v		c#	i		v		v								m	1	1	1, -2, 2		1	1
12	12	47	47	1.0	3/4	3/4	4/4	3	1	ii%7		c#	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
13	13	48	48	2.0	0	0	4/4	3	1	v2		c#	i		v2		v		2						mm7	1	1	-1, 1, -2, 2		1	-1
13	13	50	50	1.0	1/2	1/2	4/4	3	1	v64		c#	i		v64		v		64						m	1	1	2, 1, -2		1	2
13	13	51	51	1.0	3/4	3/4	4/4	3	1	v6		c#	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
