mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
14	14	52	52	2.0	0	0	4/4	3	1	v2		c#	i		v2		v		2						mm7	1	1	-1, 1, -2, 2		1	-1
14	14	54	54	1.0	1/2	1/2	4/4	3	1	v64		c#	i		v64		v		64						m	1	1	2, 1, -2		1	2
14	14	55	55	1.0	3/4	3/4	4/4	3	1	v6		c#	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
15	15	56	56	4.0	0	0	4/4	3	1	v[v		c#	i	v	v		v								m	1	1	1, -2, 2		1	1
16	16	60	60	2.0	0	0	4/4	3	1	VI		c#	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
16	16	62	62	1.0	1/2	1/2	4/4	3	1	VI64		c#	i		VI64		VI		64						M	1	1	-3, -4, 0		-4	-3
16	16	63	63	1.0	3/4	3/4	4/4	3	1	VI6		c#	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
17	17	64	64	1.0	0	0	4/4	3	1	v6		c#	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
17	17	65	65	2.0	1/4	1/4	4/4	3	1	v		c#	i		v		v								m	1	1	1, -2, 2		1	1
17	17	67	67	1.0	3/4	3/4	4/4	3	1	v64		c#	i		v64		v		64						m	1	1	2, 1, -2		1	2
18	18	68	68	2.0	0	0	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
18	18	70	70	1.0	1/2	1/2	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
18	18	71	71	1.0	3/4	3/4	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
19	19	72	72	2.0	0	0	4/4	3	1	v]		c#	i		v		v					]			m	1	1	1, -2, 2		1	1
19	19	74	74	2.0	1/2	1/2	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
20	20	76	76	1.0	0	0	4/4	3	1	i2		c#	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
20	20	77	77	1.0	1/4	1/4	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
20	20	78	78	1.0	1/2	1/2	4/4	3	1	iv		c#	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
20	20	79	79	0.5	3/4	3/4	4/4	3	1	V65(11)/iv		c#	i		V65(11)/iv		V		65	11	iv				Mm7	1	1	4, 1, -2, 0	-1	0	4
20	20	159/2	159/2	0.5	7/8	7/8	4/4	3	1	V7/iv		c#	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
21	21	80	80	1.5	0	0	4/4	3	1	iv		c#	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
21	21	163/2	163/2	0.5	3/8	3/8	4/4	3	1	iv7(9)	ii7(9)/III	c#	i		iv7(9)		iv		7	9					mm7	1	1	-1, -4, 0, -3	1	-1	-1
21	21	82	82	2.0	1/2	1/2	4/4	3	1	V7(6)/III		c#	i		V7(6)/III		V		7	6	III				Mm7	1	1	-2, 2, 1, -4		-2	-2
22	22	84	84	1.0	0	0	4/4	3	1	I(9764)/III}		c#	i		I(9764)/III		I			9764	III			}	M	1	1	-3, -4, 0	-1, 2	-3	-3
22	22	85	85	3.0	1/4	1/4	4/4	3	1	I/III|PAC		c#	i		I/III		I				III		PAC		M	1	1	-3, 1, -2		-3	-3
23	23	88	88	4.0	0	0	4/4	3	1	iii.V{		c#	iii		V		V							{	M	1	1	1, 5, 2		1	1
24	24	92	92	1.0	0	0	4/4	3	1	i		c#	iii		i		i								m	1	1	0, -3, 1		0	0
24	24	93	93	1.0	1/4	1/4	4/4	3	1	i2		c#	iii		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
24	24	94	94	1.0	1/2	1/2	4/4	3	1	i64		c#	iii		i64		i		64						m	1	1	1, 0, -3		0	1
24	24	95	95	0.5	3/4	3/4	4/4	3	1	i6		c#	iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
24	24	191/2	191/2	0.5	7/8	7/8	4/4	3	1	i64		c#	iii		i64		i		64						m	1	1	1, 0, -3		0	1
25	25	96	96	2.0	0	0	4/4	3	1	V		c#	iii		V		V								M	1	1	1, 5, 2		1	1
25	25	98	98	2.0	1/2	1/2	4/4	3	1	i		c#	iii		i		i								m	1	1	0, -3, 1		0	0
26	26	100	100	1.0	0	0	4/4	3	1	i2		c#	iii		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
26	26	101	101	1.0	1/4	1/4	4/4	3	1	i64		c#	iii		i64		i		64						m	1	1	1, 0, -3		0	1
26	26	102	102	1.0	1/2	1/2	4/4	3	1	iv		c#	iii		iv		iv								m	1	1	-1, -4, 0		-1	-1
26	26	103	103	0.5	3/4	3/4	4/4	3	1	V65(11)/iv		c#	iii		V65(11)/iv		V		65	11	iv				Mm7	1	1	4, 1, -2, 0	-1	0	4
26	26	207/2	207/2	0.5	7/8	7/8	4/4	3	1	V7/iv		c#	iii		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
27	27	104	104	1.5	0	0	4/4	3	1	iv/iii.i		c#	iv/iii		i		i								m	1	1	0, -3, 1		0	0
27	27	211/2	211/2	0.5	3/8	3/8	4/4	3	1	i7(9)	ii7(9)/VII	c#	iv/iii		i7(9)		i		7	9					mm7	1	1	0, -3, 1, -2	2	0	0
27	27	106	106	1.0	1/2	1/2	4/4	3	1	V2(6)/VII	IV2(6)	c#	iv/iii		V2(6)/VII		V		2	6	VII				Mm7	1	1	-3, -1, 3, 2		-1	-3
27	27	107	107	1.0	3/4	3/4	4/4	3	1	V2/VII	IV2	c#	iv/iii		V2/VII		V		2		VII				Mm7	1	1	-3, -1, 3, 0		-1	-3
28	28	108	108	2.0	0	0	4/4	3	1	ii7		c#	iv/iii		ii7		ii		7						mm7	1	1	2, -1, 3, 0		2	2
28	28	110	110	2.0	1/2	1/2	4/4	3	1	V7		c#	iv/iii		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
29	29	112	112	1.5	0	0	4/4	3	1	i		c#	iv/iii		i		i								m	1	1	0, -3, 1		0	0
29	29	227/2	227/2	0.5	3/8	3/8	4/4	3	1	i7(9)	ii7(9)/VII	c#	iv/iii		i7(9)		i		7	9					mm7	1	1	0, -3, 1, -2	2	0	0
29	29	114	114	1.0	1/2	1/2	4/4	3	1	V2(6)/VII	IV2(6)	c#	iv/iii		V2(6)/VII		V		2	6	VII				Mm7	1	1	-3, -1, 3, 2		-1	-3
29	29	115	115	1.0	3/4	3/4	4/4	3	1	V2/VII	IV2	c#	iv/iii		V2/VII		V		2		VII				Mm7	1	1	-3, -1, 3, 0		-1	-3
30	30	116	116	1.0	0	0	4/4	3	1	ii7		c#	iv/iii		ii7		ii		7						mm7	1	1	2, -1, 3, 0		2	2
30	30	117	117	1.0	1/4	1/4	4/4	3	1	ii7(9)		c#	iv/iii		ii7(9)		ii		7	9					mm7	1	1	2, -1, 3, 0	-3	2	2
30	30	118	118	1.0	1/2	1/2	4/4	3	1	V2(6)		c#	iv/iii		V2(6)		V		2	6					Mm7	1	1	-1, 1, 5, -3		1	-1
30	30	119	119	1.0	3/4	3/4	4/4	3	1	V2		c#	iv/iii		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
31	31	120	120	1.0	0	0	4/4	3	1	III		c#	iv/iii		III		III								M	1	1	-3, 1, -2		-3	-3
31	31	121	121	2.0	1/4	1/4	4/4	3	1	III(#96#4)		c#	iv/iii		III(#96#4)		III			#96#4					M	1	1	-3, 1, 3, 0	6	-3	-3
31	31	123	123	2.0	3/4	3/4	4/4	3	1	III(#11#96)		c#	iv/iii		III(#11#96)		III			#11#96					M	1	1	-3, 1, 0	3, 6	-3	-3
32	32	125	125	4.0	1/4	1/4	4/4	3	1	V7/VI		c#	iv/iii		V7/VI		V		7		VI				Mm7	1	1	-3, 1, -2, -5		-3	-3
33	33	129	129	2.0	1/4	1/4	4/4	3	1	V7(#96#4)/VI		c#	iv/iii		V7(#96#4)/VI		V		7	#96#4	VI				Mm7	1	1	-3, 1, 3, 0, -5	6	-3	-3
33	33	131	131	2.0	3/4	3/4	4/4	3	1	V7(#11#96)/VI		c#	iv/iii		V7(#11#96)/VI		V		7	#11#96	VI				Mm7	1	1	-3, 1, 0, -5	3, 6	-3	-3
34	34	133	133	3.0	1/4	1/4	4/4	3	1	V7/VI		c#	iv/iii		V7/VI		V		7		VI				Mm7	1	1	-3, 1, -2, -5		-3	-3
35	35	136	136	4.0	0	0	4/4	3	1	V7(9)/VI}{		c#	iv/iii		V7(9)/VI		V		7	9	VI			}{	Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
36	36	140	140	4.0	0	0	4/4	3	1	ii%43/VI	vii%43/#VII	c#	iv/iii		ii%43/VI		ii	%	43		VI				%7	1	1	-8, -4, -2, -5		-2	-8
37	37	144	144	4.0	0	0	4/4	3	1	V7/#VII	V7/V/#iii	c#	iv/iii		V7/#VII		V		7		#VII				Mm7	1	1	6, 10, 7, 4		6	6
38	38	148	148	1.0	0	0	4/4	3	1	i.i		c#	i		i		i								m	1	1	0, -3, 1		0	0
38	38	149	149	1.0	1/4	1/4	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
38	38	150	150	1.0	1/2	1/2	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
38	38	151	151	1.0	3/4	3/4	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
39	39	152	152	4.0	0	0	4/4	3	1	V7(9)/VII		c#	i		V7(9)/VII		V		7	9	VII				Mm7	1	1	-1, 3, 0, -3	1	-1	-1
40	40	156	156	4.0	0	0	4/4	3	1	ii%43/VII	vii%43/bII	c#	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
41	41	160	160	4.0	0	0	4/4	3	1	V7(b9)/bII		c#	i		V7(b9)/bII		V		7	b9	bII				Mm7	1	1	-4, 0, -3, -6	-9	-4	-4
42	42	164	164	4.0	0	0	4/4	3	1	ii%43/bII		c#	i		ii%43/bII		ii	%	43		bII				%7	1	1	-9, -5, -3, -6		-3	-9
43	43	168	168	4.0	0	0	4/4	3	1	V7(9)/bII}{		c#	i		V7(9)/bII		V		7	9	bII			}{	Mm7	1	1	-4, 0, -3, -6	-2	-4	-4
44	44	172	172	4.0	0	0	4/4	3	1	ii%65/bII		c#	i		ii%65/bII		ii	%	65		bII				%7	1	1	-6, -9, -5, -3		-3	-6
45	45	176	176	4.0	0	0	4/4	3	1	V7(9)/bII		c#	i		V7(9)/bII		V		7	9	bII				Mm7	1	1	-4, 0, -3, -6	-2	-4	-4
46	46	180	180	4.0	0	0	4/4	3	1	vii%7/V	ii%7/bIV	c#	i		vii%7/V		vii	%	7		V				%7	1	1	6, 3, 0, 4		6	6
47	47	184	184	1.0	0	0	4/4	3	1	iii7		c#	i		iii7		iii		7						mm7	1	1	-3, -6, -2, -5		-3	-3
47	47	185	185	3.0	1/4	1/4	4/4	3	1	iii(6#4)		c#	i		iii(6#4)		iii			6#4					m	1	1	-3, -6, 3, 0		-3	-3
48	48	188	188	1.0	0	0	4/4	3	1	#vi65		c#	i		#vi65		#vi		65						mm7	1	1	0, 4, 1, 3		3	0
48	48	189	189	3.0	1/4	1/4	4/4	3	1	#vi(6#4)		c#	i		#vi(6#4)		#vi			6#4					m	1	1	3, 0, 9, -1		3	3
49	49	192	192	1.0	0	0	4/4	3	1	bv7		c#	i		bv7		bv		7						mm7	1	1	-6, -9, -5, -8		-6	-6
49	49	193	193	3.0	1/4	1/4	4/4	3	1	bv(6#4)		c#	i		bv(6#4)		bv			6#4					m	1	1	-6, -9, 7, -3		-6	-6
50	50	196	196	1.0	0	0	4/4	3	1	i7		c#	i		i7		i		7						mm7	1	1	0, -3, 1, -2		0	0
50	50	197	197	3.0	1/4	1/4	4/4	3	1	i(#6#4)		c#	i		i(#6#4)		i			#6#4					m	1	1	0, -3, 6	3	0	0
51	51	200	200	3.0	0	0	4/4	3	1	bv.i		c#	bv		i		i								m	1	1	0, -3, 1		0	0
51	51	203	203	0.5	3/4	3/4	4/4	3	1	i64		c#	bv		i64		i		64						m	1	1	1, 0, -3		0	1
51	51	407/2	407/2	0.5	7/8	7/8	4/4	3	1	i6		c#	bv		i6		i		6						m	1	1	-3, 1, 0		0	-3
52	52	204	204	3.0	0	0	4/4	3	1	i		c#	bv		i		i								m	1	1	0, -3, 1		0	0
52	52	207	207	0.5	3/4	3/4	4/4	3	1	i64		c#	bv		i64		i		64						m	1	1	1, 0, -3		0	1
52	52	415/2	415/2	0.5	7/8	7/8	4/4	3	1	i6		c#	bv		i6		i		6						m	1	1	-3, 1, 0		0	-3
53	53	208	208	3.0	0	0	4/4	3	1	i}{		c#	bv		i		i							}{	m	1	1	0, -3, 1		0	0
53	53	211	211	1.0	3/4	3/4	4/4	3	1	i64		c#	bv		i64		i		64						m	1	1	1, 0, -3		0	1
54	54	212	212	4.0	0	0	4/4	3	1	#vi	i64(#6#4#3)	c#	bv		#vi		#vi								m	1	1	3, 0, 4		3	3
55	55	216	216	4.0	0	0	4/4	3	1	i64(#6#4)		c#	bv		i64(#6#4)		i		64	#6#4					m	1	1	6, 0, -3	3	0	6
56	56	220	220	4.0	0	0	4/4	3	1	i		c#	bv		i		i								m	1	1	0, -3, 1		0	0
57	57	224	224	2.0	0	0	4/4	3	1	i(#6#4)		c#	bv		i(#6#4)		i			#6#4					m	1	1	0, -3, 6	3	0	0
57	57	226	226	4.0	1/2	1/2	4/4	3	1	i(7#4)		c#	bv		i(7#4)		i			7#4					m	1	1	0, -3, 6	-2	0	0
58	58	230	230	1.0	1/2	1/2	4/4	3	1	V2/#iii		c#	bv		V2/#iii		V		2		#iii				Mm7	1	1	3, 5, 9, 6		5	3
58	58	231	231	0.5	3/4	3/4	4/4	3	1	V7(#2)/bII		c#	bv		V7(#2)/bII		V		7	#2	bII				Mm7	1	1	-4, 5, -3, -6		-4	-4
58	58	463/2	463/2	0.5	7/8	7/8	4/4	3	1	V2/bII		c#	bv		V2/bII		V		2		bII				Mm7	1	1	-6, -4, 0, -3		-4	-6
59	59	232	232	1.0	0	0	4/4	3	1	V7(b6)/VII		c#	bv		V7(b6)/VII		V		7	b6	VII				Mm7	1	1	-1, 3, -5, -3		-1	-1
59	59	233	233	1.0	1/4	1/4	4/4	3	1	V7/VII		c#	bv		V7/VII		V		7		VII				Mm7	1	1	-1, 3, 0, -3		-1	-1
59	59	234	234	2.0	1/2	1/2	4/4	3	1	V43(+6)/bII		c#	bv		V43(+6)/bII		V		43	+6	bII				Mm7	1	1	-3, -6, -4, 0	-1	-4	-3
60	60	236	236	1.0	0	0	4/4	3	1	V7/#iii		c#	bv		V7/#iii		V		7		#iii				Mm7	1	1	5, 9, 6, 3		5	5
60	60	237	237	2.0	1/4	1/4	4/4	3	1	ii%7/VII	i(7#4)	c#	bv		ii%7/VII		ii	%	7		VII				%7	1	1	0, -3, -6, -2		0	0
60	60	239	239	0.5	3/4	3/4	4/4	3	1	ii%65/VII		c#	bv		ii%65/VII		ii	%	65		VII				%7	1	1	-3, -6, -2, 0		0	-3
60	60	479/2	479/2	0.5	7/8	7/8	4/4	3	1	Fr6/VII		c#	bv		Fr6/VII	Fr	V		43	b5	V/VII				Fr	1	1	-6, -2, 0, 4		0	-6
61	61	240	240	1.0	0	0	4/4	3	1	V7(b6)/VII		c#	bv		V7(b6)/VII		V		7	b6	VII				Mm7	1	1	-1, 3, -5, -3		-1	-1
61	61	241	241	1.0	1/4	1/4	4/4	3	1	V7/VII		c#	bv		V7/VII		V		7		VII				Mm7	1	1	-1, 3, 0, -3		-1	-1
61	61	242	242	2.0	1/2	1/2	4/4	3	1	V7/bII		c#	bv		V7/bII		V		7		bII				Mm7	1	1	-4, 0, -3, -6		-4	-4
62	62	244	244	1.0	0	0	4/4	3	1	V7/#iii		c#	bv		V7/#iii		V		7		#iii				Mm7	1	1	5, 9, 6, 3		5	5
62	62	245	245	2.0	1/4	1/4	4/4	3	1	ii%7/VII	i(7#4)	c#	bv		ii%7/VII		ii	%	7		VII				%7	1	1	0, -3, -6, -2		0	0
62	62	247	247	0.5	3/4	3/4	4/4	3	1	ii%65/VII		c#	bv		ii%65/VII		ii	%	65		VII				%7	1	1	-3, -6, -2, 0		0	-3
62	62	495/2	495/2	0.5	7/8	7/8	4/4	3	1	Fr6/VII		c#	bv		Fr6/VII	Fr	V		43	b5	V/VII				Fr	1	1	-6, -2, 0, 4		0	-6
63	63	248	248	1.0	0	0	4/4	3	1	V7(b6)/VII		c#	bv		V7(b6)/VII		V		7	b6	VII				Mm7	1	1	-1, 3, -5, -3		-1	-1
63	63	249	249	1.0	1/4	1/4	4/4	3	1	V7/VII		c#	bv		V7/VII		V		7		VII				Mm7	1	1	-1, 3, 0, -3		-1	-1
63	63	250	250	2.0	1/2	1/2	4/4	3	1	V7/bII		c#	bv		V7/bII		V		7		bII				Mm7	1	1	-4, 0, -3, -6		-4	-4
64	64	252	252	2.0	0	0	4/4	3	1	V2/#iii		c#	bv		V2/#iii		V		2		#iii				Mm7	1	1	3, 5, 9, 6		5	3
64	64	254	254	1.0	1/2	1/2	4/4	3	1	i.Fr65		c#	i		Fr65	Fr	V		65	b5	V				Fr	1	1	6, -4, 0, 2		2	6
64	64	255	255	1.0	3/4	3/4	4/4	3	1	Fr6		c#	i		Fr6	Fr	V		43	b5	V				Fr	1	1	-4, 0, 2, 6		2	-4
65	65	256	256	1.0	0	0	4/4	3	1	Fr65		c#	i		Fr65	Fr	V		65	b5	V				Fr	1	1	6, -4, 0, 2		2	6
65	65	257	257	0.5	1/4	1/4	4/4	3	1	V7		c#	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
65	65	515/2	515/2	0.5	3/8	3/8	4/4	3	1	ii%65/III		c#	i		ii%65/III		ii	%	65		III				%7	1	1	-4, -7, -3, -1		-1	-4
65	65	258	258	1.0	1/2	1/2	4/4	3	1	V(4)/III		c#	i		V(4)/III		V			4	III				M	1	1	-2, -3, -1		-2	-2
65	65	259	259	0.5	3/4	3/4	4/4	3	1	vii%7/vi/III		c#	i		vii%7/vi/III		vii	%	7		vi/III				%7	1	1	-2, -5, -8, -4		-2	-2
65	65	519/2	519/2	0.5	7/8	7/8	4/4	3	1	Fr65/bV		c#	i		Fr65/bV	Fr	V		65	b5	V/bV				Fr	1	1	0, -10, -6, -4		-4	0
66	66	260	260	1.0	0	0	4/4	3	1	V(4)/bV		c#	i		V(4)/bV		V			4	bV				M	1	1	-5, -6, -4		-5	-5
66	66	261	261	0.5	1/4	1/4	4/4	3	1	vii%7/vi/bV		c#	i		vii%7/vi/bV		vii	%	7		vi/bV				%7	1	1	-5, -8, -11, -7		-5	-5
66	66	523/2	523/2	0.5	3/8	3/8	4/4	3	1	Fr65/#VI		c#	i		Fr65/#VI	Fr	V		65	b5	V/#VI				Fr	1	1	9, -1, 3, 5		5	9
66	66	262	262	1.0	1/2	1/2	4/4	3	1	V(4)/#VI		c#	i		V(4)/#VI		V			4	#VI				M	1	1	4, 3, 5		4	4
66	66	263	263	0.5	3/4	3/4	4/4	3	1	vii%7/vi/#VI		c#	i		vii%7/vi/#VI		vii	%	7		vi/#VI				%7	1	1	4, 1, -2, 2		4	4
66	66	527/2	527/2	0.5	7/8	7/8	4/4	3	1	Fr65		c#	i		Fr65	Fr	V		65	b5	V				Fr	1	1	6, -4, 0, 2		2	6
67	67	264	264	28.0	0	0	4/4	3	1	V(64)		c#	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
74	74	292	292	1.0	0	0	4/4	3	1	V43(4)		c#	i		V43(4)		V		43	4					Mm7	1	1	2, -1, 1, 0		1	2
74	74	293	293	1.0	1/4	1/4	4/4	3	1	i6(9)		c#	i		i6(9)		i		6	9					m	1	1	-3, 1, 0	2	0	-3
74	74	294	294	1.0	1/2	1/2	4/4	3	1	V43(4)		c#	i		V43(4)		V		43	4					Mm7	1	1	2, -1, 1, 0		1	2
74	74	295	295	1.0	3/4	3/4	4/4	3	1	i(4)		c#	i		i(4)		i			4					m	1	1	0, -1, 1		0	0
75	75	296	296	1.0	0	0	4/4	3	1	i|IAC}{		c#	i		i		i						IAC	}{	m	1	1	0, -3, 1		0	0
75	75	297	297	1.0	1/4	1/4	4/4	3	1	i2		c#	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
75	75	298	298	1.0	1/2	1/2	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
75	75	299	299	1.0	3/4	3/4	4/4	3	1	i6		c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
76	76	300	300	1.0	0	0	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
76	76	301	301	1.0	1/4	1/4	4/4	3	1	i7		c#	i		i7		i		7						mm7	1	1	0, -3, 1, -2		0	0
76	76	302	302	3.0	1/2	1/2	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
77	77	305	305	1.0	1/4	1/4	4/4	3	1	i2	III64	c#	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
77	77	306	306	1.0	1/2	1/2	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
77	77	307	307	1.0	3/4	3/4	4/4	3	1	i6	VI64	c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
78	78	308	308	1.0	0	0	4/4	3	1	i		c#	i		i		i								m	1	1	0, -3, 1		0	0
78	78	309	309	1.0	1/4	1/4	4/4	3	1	i2	III64	c#	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
78	78	310	310	1.0	1/2	1/2	4/4	3	1	i64		c#	i		i64		i		64						m	1	1	1, 0, -3		0	1
78	78	311	311	1.0	3/4	3/4	4/4	3	1	i6	VI64	c#	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
