mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/4	.C.I{	C	I		I	I						{	M	0	0	0, 4, 1		0.0	0.0
2	1	0	IV64(4)	C	I		IV64(4)	IV			64	4			M	0	0	0, -1, 5		-1.0	0.0
2	1	3/16	IV6	C	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
2	1	1/4	vi7	C	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
3	2	0	V	C	I		V	V							M	0	0	1, 5, 2		1.0	1.0
3	2	3/16	V2	C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
4	3	0	I6	C	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
4	3	1/4	ii	C	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
5	4	0	V7(94)	C	I		V7(94)	V			7	94			Mm7	0	0	1, 0, 2, -1	3	1.0	1.0
5	4	3/16	V2	C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
6	5	0	V	C	I		V	V							M	0	0	1, 5, 2		1.0	1.0
6	5	3/16	vi43	C	I		vi43	vi			43				mm7	0	0	4, 1, 3, 0		3.0	4.0
7	6	0	V(964)	C	I		V(964)	V				964			M	0	0	1, 0, 4	3	1.0	1.0
7	6	1/4	V43	C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
8	7	0	V7	C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
8	7	3/16	I}	C	I		I	I						}	M	0	0	0, 4, 1		0.0	0.0
10	9	1/4	I6{	C	I		I6	I			6			{	M	0	0	4, 1, 0		0.0	4.0
11	10	0	IV(97)	C	I		IV(97)	IV				97			M	0	0	-1, 3, 0	1, 4	-1.0	-1.0
11	10	1/8	ii6(4)	C	I		ii6(4)	ii			6	4			m	0	0	1, 3, 2		2.0	1.0
11	10	1/4	V7	C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
12	11	0	vi7(64)	C	I		vi7(64)	vi			7	64			mm7	0	0	3, 2, -1, 1		3.0	3.0
12	11	1/8	vi7	C	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
12	11	1/4	ii7	C	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
13	12	0	iii(94)	C	I		iii(94)	iii				94			m	0	0	4, 3, 5	-1	4.0	4.0
13	12	1/8	iii(9)	C	I		iii(9)	iii				9			m	0	0	4, 1, 5	-1	4.0	4.0
13	12	1/4	IVM7	C	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
14	13	0	V7(6)	C	I		V7(6)	V			7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
14	13	1/8	V7	C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
14	13	1/4	IM7	C	I		IM7	I		M	7				MM7	0	0	0, 4, 1, 5		0.0	0.0
15	14	0	ii(94)	C	I		ii(94)	ii				94			m	0	0	2, 1, 3	4	2.0	2.0
15	14	1/8	ii(9)	C	I		ii(9)	ii				9			m	0	0	2, -1, 3	4	2.0	2.0
15	14	1/4	iii7	C	I		iii7	iii			7				mm7	0	0	4, 1, 5, 2		4.0	4.0
16	15	0	ii6(7)	C	I		ii6(7)	ii			6	7			m	0	0	-1, 3, 0		2.0	-1.0
16	15	1/8	IVM7	C	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
16	15	1/4	vii%7	C	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
17	16	0	vi6	C	I		vi6	vi			6				m	0	0	0, 4, 3		3.0	0.0
17	16	3/16	#vii%7/ii	C	I		#vii%7/ii	#vii		%	7		ii		%7	0	0	7, 6, 13, 5		7.0	7.0
18	17	0	V7/V	C	I		V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
19	18	0	V}	C	I		V	V						}	M	0	0	1, 5, 2		1.0	1.0
19	18	3/16	V2{	C	I		V2	V			2			{	Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
20	19	0	I6	C	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
20	19	1/4	ii	C	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
21	20	0	V2/V	C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2.0	0.0
21	20	3/16	V7(9)/iii	C	I		V7(9)/iii	V			7	9	iii		Mm7	0	0	5, 9, 6, 3	0	5.0	5.0
21	20	1/4	V7/iii	C	I		V7/iii	V			7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
