mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.a.i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
1	1	1/2	i65		a	i		i65	i		65				mm7	1	1	-3, 1, -2, 0		0.0	-3.0
2	2	0	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
2	2	1/4	VI		a	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
2	2	1/2	V		a	i		V	V						M	1	1	1, 5, 2		1.0	1.0
2	2	3/4	i6		a	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
3	3	0	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
3	3	1/2	i65		a	i		i65	i		65				mm7	1	1	-3, 1, -2, 0		0.0	-3.0
4	4	0	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
4	4	1/4	VI		a	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
4	4	1/2	i64		a	i		i64	i		64				m	1	1	1, 0, -3		0.0	1.0
4	4	3/4	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
5	5	0	V64(4)		a	i		V64(4)	V		64	4			M	1	1	2, 1, 0		1.0	2.0
6	6	0	V(4)\\		a	i		V(4)	V			4		\\	M	1	1	1, 0, 2		1.0	1.0
7	7	0	i64		a	i		i64	i		64				m	1	1	1, 0, -3		0.0	1.0
7	7	1/2	v		a	i		v	v						m	1	1	1, -2, 2		1.0	1.0
7	7	3/4	III6		a	i		III6	III		6				M	1	1	1, -2, -3		-3.0	1.0
8	8	0	i64		a	i		i64	i		64				m	1	1	1, 0, -3		0.0	1.0
8	8	1/2	IIIM65		a	i		IIIM65	III	M	65				MM7	1	1	1, -2, 2, -3		-3.0	1.0
8	8	3/4	i64		a	i		i64	i		64				m	1	1	1, 0, -3		0.0	1.0
9	9	0	i43(9)		a	i		i43(9)	i		43	9			mm7	1	1	1, -2, 0, -3	2	0.0	1.0
9	9	1/4	i64(9)		a	i		i64(9)	i		64	9			m	1	1	1, 0, -3	2	0.0	1.0
9	9	1/2	i64		a	i		i64	i		64				m	1	1	1, 0, -3		0.0	1.0
10	10	0	III6		a	i		III6	III		6				M	1	1	1, -2, -3		-3.0	1.0
10	10	1/2	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
11	11	0	iv7		a	i		iv7	iv		7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
11	11	1/2	V7/III		a	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
11	11	3/4	V7(6)/III		a	i		V7(6)/III	V		7	6	III		Mm7	1	1	-2, 2, 1, -4		-2.0	-2.0
11	11	7/8	V7/III		a	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
12	12	0	IIIM7		a	i		IIIM7	III	M	7				MM7	1	1	-3, 1, -2, 2		-3.0	-3.0
12	12	1/2	VIM7		a	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
