mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	3/8	.G.I		G	I		I	I							M	0	0	0, 4, 1		0.0	0.0
2	1	0	V43		G	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
2	1	1/8	I6		G	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
2	1	1/4	IV(9)		G	I		IV(9)	IV				9			M	0	0	-1, 3, 0	1	-1.0	-1.0
2	1	3/8	iii6		G	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
3	2	0	IV6(9)		G	I		IV6(9)	IV			6	9			M	0	0	3, 0, -1	1	-1.0	3.0
3	2	1/8	V6		G	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
3	2	1/4	I		G	I		I	I							M	0	0	0, 4, 1		0.0	0.0
3	2	3/8	vii6		G	I		vii6	vii			6				m	0	0	2, 6, 5		5.0	2.0
4	3	0	I6		G	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
4	3	1/8	IVM7		G	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
4	3	1/4	iii6		G	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
4	3	3/8	vi		G	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
5	4	0	ii65		G	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
5	4	1/8	iii6		G	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
5	4	1/4	I(6)		G	I		I(6)	I				6			M	0	0	0, 4, 3		0.0	0.0
5	4	3/8	I6(9)		G	I		I6(9)	I			6	9			M	0	0	4, 1, 0	2	0.0	4.0
6	5	0	IVM7		G	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
6	5	1/8	V(9)		G	I		V(9)	V				9			M	0	0	1, 5, 2	3	1.0	1.0
6	5	1/4	vi(4)		G	I		vi(4)	vi				4			m	0	0	3, 2, 4		3.0	3.0
6	5	3/8	ii(9)		G	I		ii(9)	ii				9			m	0	0	2, -1, 3	4	2.0	2.0
7	6	0	I6(6)		G	I		I6(6)	I			6	6			M	0	0	4, 3, 0		0.0	4.0
7	6	1/8	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
7	6	1/4	V(6)		G	I		V(6)	V				6			M	0	0	1, 5, 4		1.0	1.0
7	6	3/8	I6(9)		G	I		I6(9)	I			6	9			M	0	0	4, 1, 0	2	0.0	4.0
