mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	5	9	9	0.25	1/8	1/8	2/4	2	1		V(9)		G	I		V(9)		V			9					M	0	0	1, 5, 2	3	1	1
6	5	37/4	37/4	0.25	3/16	3/16	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
6	5	19/2	19/2	0.25	1/4	1/4	2/4	2	1		vi(4)		G	I		vi(4)		vi			4					m	0	0	3, 2, 4		3	3
6	5	39/4	39/4	0.25	5/16	5/16	2/4	2	1		vi		G	I		vi		vi								m	0	0	3, 0, 4		3	3
6	5	10	10	0.5	3/8	3/8	2/4	2	1		ii(9)		G	I		ii(9)		ii			9					m	0	0	2, -1, 3	4	2	2
7	6	21/2	21/2	0.25	0	0	2/4	2	1		I6(6)		G	I		I6(6)		I		6	6					M	0	0	4, 3, 0		0	4
7	6	43/4	43/4	0.25	1/16	1/16	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
7	6	11	11	0.5	1/8	1/8	2/4	2	1		IV		G	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
7	6	23/2	23/2	0.25	1/4	1/4	2/4	2	1		V(6)		G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
7	6	47/4	47/4	0.25	5/16	5/16	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
7	6	12	12	0.25	3/8	3/8	2/4	2	1		I6(9)		G	I		I6(9)		I		6	9					M	0	0	4, 1, 0	2	0	4
7	6	49/4	49/4	0.25	7/16	7/16	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
8	7	25/2	25/2	0.5	0	0	2/4	2	1		IVM7		G	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
8	7	13	13	0.25	1/8	1/8	2/4	2	1		V(9)		G	I		V(9)		V			9					M	0	0	1, 5, 2	3	1	1
8	7	53/4	53/4	0.25	3/16	3/16	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
8	7	27/2	27/2	0.25	1/4	1/4	2/4	2	1		vi(4)		G	I		vi(4)		vi			4					m	0	0	3, 2, 4		3	3
8	7	55/4	55/4	0.25	5/16	5/16	2/4	2	1		vi		G	I		vi		vi								m	0	0	3, 0, 4		3	3
8	7	14	14	0.5	3/8	3/8	2/4	2	1		ii(9)		G	I		ii(9)		ii			9					m	0	0	2, -1, 3	4	2	2
9	8	29/2	29/2	0.5	0	0	2/4	2	1		I6(6)		G	I		I6(6)		I		6	6					M	0	0	4, 3, 0		0	4
9	8	15	15	0.5	1/8	1/8	2/4	2	1		IV		G	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
9	8	31/2	31/2	0.5	1/4	1/4	2/4	2	1		V(6)		G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
9	8	16	16	0.5	3/8	3/8	2/4	2	1		vi7	ii7/V	G	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
10	9	33/2	33/2	0.5	0	0	2/4	2	1		V6(6#4#2)		G	I		V6(6#4#2)		V		6	6#4#2					M	0	0	10, 7, 4, 1		1	10
10	9	17	17	0.5	1/8	1/8	2/4	2	1		V6		G	I		V6		V		6						M	0	0	5, 2, 1		1	5
10	9	35/2	35/2	0.5	1/4	1/4	2/4	2	1		i		G	I		i		i								m	0	0	0, -3, 1		0	0
10	9	18	18	0.5	3/8	3/8	2/4	2	1		V65/ii		G	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
11	10	37/2	37/2	0.25	0	0	2/4	2	1		ii(4)		G	I		ii(4)		ii			4					m	0	0	2, 1, 3		2	2
11	10	75/4	75/4	0.25	1/16	1/16	2/4	2	1		ii		G	I		ii		ii								m	0	0	2, -1, 3		2	2
11	10	19	19	0.5	1/8	1/8	2/4	2	1		iii.V6		G	iii		V6		V		6						M	0	1	5, 2, 1		1	5
11	10	39/2	39/2	0.5	1/4	1/4	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
11	10	20	20	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
12	11	41/2	41/2	0.25	0	0	2/4	2	1		iv(#4)		G	iii		iv(#4)		iv			#4					m	0	1	-1, -4, 5		-1	-1
12	11	83/4	83/4	0.25	1/16	1/16	2/4	2	1		iv		G	iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
12	11	21	21	0.5	1/8	1/8	2/4	2	1		V6/v		G	iii		V6/v		V		6		v				M	0	1	6, 3, 2		2	6
12	11	43/2	43/2	0.25	1/4	1/4	2/4	2	1		v(^4)		G	iii		v(^4)		v			^4					m	0	1	1, -2, 0		1	1
12	11	87/4	87/4	0.25	5/16	5/16	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
12	11	22	22	0.5	3/8	3/8	2/4	2	1		vi		G	iii		vi		vi								m	0	1	-4, -7, -3		-4	-4
13	12	45/2	45/2	0.5	0	0	2/4	2	1		#vi%7	ii%7/V	G	iii		#vi%7		#vi	%	7						%7	0	1	3, 0, -3, 1		3	3
13	12	23	23	0.5	1/8	1/8	2/4	2	1		V6		G	iii		V6		V		6						M	0	1	5, 2, 1		1	5
13	12	47/2	47/2	0.5	1/4	1/4	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
13	12	24	24	0.5	3/8	3/8	2/4	2	1		ii%7		G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
14	13	49/2	49/2	0.5	0	0	2/4	2	1		Ger2	VI43	G	iii		Ger2	Ger	vii	o	2	b3	V				Ger	0	1	-3, 6, -4, 0		6	-3
14	13	25	25	0.5	1/8	1/8	2/4	2	1		#viio7/iv		G	iii		#viio7/iv		#vii	o	7		iv				o7	0	1	4, 1, -2, -5		4	4
14	13	51/2	51/2	0.25	1/4	1/4	2/4	2	1		bII6	iv(6)	G	iii		bII6		bII		6						M	0	1	-1, -4, -5		-5	-1
14	13	103/4	103/4	0.25	5/16	5/16	2/4	2	1		iv7		G	iii		iv7		iv		7						mm7	0	1	-1, -4, 0, -3		-1	-1
14	13	26	26	0.5	3/8	3/8	2/4	2	1		V7		G	iii		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
15	14		53/2		0	0	2/4	2	1	1	i|PAC}		G	iii		i		i						PAC	}	m	0	1	0, -3, 1		0	0
15	14		28		3/8	3/8	2/4	2	1	1	G.I{		G	iii		I		I							{	M	0	1	0, 4, 1		0	0
16	14	53/2	57/2	1.5	0	0	2/4	2	1	2	i|PAC}		G	iii		i		i						PAC	}	m	0	1	0, -3, 1		0	0
16	14	28	30	0.5	3/8	3/8	2/4	2	1	2	vi.V{		G	vi		V		V							{	M	0	1	1, 5, 2		1	1
17	15	57/2	61/2	0.5	0	0	2/4	2	1		#vi%7	ii%7/V	G	vi		#vi%7		#vi	%	7						%7	0	1	3, 0, -3, 1		3	3
17	15	29	31	0.5	1/8	1/8	2/4	2	1		V6		G	vi		V6		V		6						M	0	1	5, 2, 1		1	5
17	15	59/2	63/2	0.5	1/4	1/4	2/4	2	1		i		G	vi		i		i								m	0	1	0, -3, 1		0	0
17	15	30	32	0.5	3/8	3/8	2/4	2	1		V43		G	vi		V43		V		43						Mm7	0	1	2, -1, 1, 5		1	2
18	16	61/2	65/2	0.5	0	0	2/4	2	1		i6		G	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
18	16	31	33	0.5	1/8	1/8	2/4	2	1		V43		G	vi		V43		V		43						Mm7	0	1	2, -1, 1, 5		1	2
18	16	63/2	67/2	0.5	1/4	1/4	2/4	2	1		i		G	vi		i		i								m	0	1	0, -3, 1		0	0
18	16	32	34	0.5	3/8	3/8	2/4	2	1		V7/VII		G	vi		V7/VII		V		7		VII				Mm7	0	1	-1, 3, 0, -3		-1	-1
19	17	65/2	69/2	0.25	0	0	2/4	2	1		vi/VII		G	vi		vi/VII		vi				VII				m	0	1	1, -2, 2		1	1
19	17	131/4	139/4	0.25	1/16	1/16	2/4	2	1		ii43/VII		G	vi		ii43/VII		ii		43		VII				mm7	0	1	1, -2, 0, -3		0	1
19	17	33	35	0.5	1/8	1/8	2/4	2	1		V6/VII		G	vi		V6/VII		V		6		VII				M	0	1	3, 0, -1		-1	3
19	17	67/2	71/2	0.25	1/4	1/4	2/4	2	1		I(4)/VII		G	vi		I(4)/VII		I			4	VII				M	0	1	-2, -3, -1		-2	-2
19	17	135/4	143/4	0.25	5/16	5/16	2/4	2	1		I/VII		G	vi		I/VII		I				VII				M	0	1	-2, 2, -1		-2	-2
19	17	34	36	0.5	3/8	3/8	2/4	2	1		ii7/VII		G	vi		ii7/VII		ii		7		VII				mm7	0	1	0, -3, 1, -2		0	0
20	18	69/2	73/2	0.5	0	0	2/4	2	1		I6/VII		G	vi		I6/VII		I		6		VII				M	0	1	2, -1, -2		-2	2
20	18	35	37	0.5	1/8	1/8	2/4	2	1		VI6		G	vi		VI6		VI		6						M	0	1	0, -3, -4		-4	0
20	18	71/2	75/2	0.25	1/4	1/4	2/4	2	1		V6(9)		G	vi		V6(9)		V		6	9					M	0	1	5, 2, 1	-4	1	5
20	18	143/4	151/4	0.25	5/16	5/16	2/4	2	1		V6		G	vi		V6		V		6						M	0	1	5, 2, 1		1	5
20	18	36	38	0.5	3/8	3/8	2/4	2	1		i6		G	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
21	19	73/2	77/2	0.25	0	0	2/4	2	1		iv(#4)		G	vi		iv(#4)		iv			#4					m	0	1	-1, -4, 5		-1	-1
21	19	147/4	155/4	0.25	1/16	1/16	2/4	2	1		iv		G	vi		iv		iv								m	0	1	-1, -4, 0		-1	-1
21	19	37	39	0.5	1/8	1/8	2/4	2	1		V6/v		G	vi		V6/v		V		6		v				M	0	1	6, 3, 2		2	6
21	19	75/2	79/2	0.25	1/4	1/4	2/4	2	1		v(^4)		G	vi		v(^4)		v			^4					m	0	1	1, -2, 0		1	1
21	19	151/4	159/4	0.25	5/16	5/16	2/4	2	1		v		G	vi		v		v								m	0	1	1, -2, 2		1	1
21	19	38	40	0.5	3/8	3/8	2/4	2	1		vi		G	vi		vi		vi								m	0	1	-4, -7, -3		-4	-4
22	20	77/2	81/2	0.5	0	0	2/4	2	1		#vi%7	ii%7/V	G	vi		#vi%7		#vi	%	7						%7	0	1	3, 0, -3, 1		3	3
22	20	39	41	0.5	1/8	1/8	2/4	2	1		V6		G	vi		V6		V		6						M	0	1	5, 2, 1		1	5
22	20	79/2	83/2	0.5	1/4	1/4	2/4	2	1		i		G	vi		i		i								m	0	1	0, -3, 1		0	0
22	20	40	42	0.5	3/8	3/8	2/4	2	1		i6		G	vi		i6		i		6						m	0	1	-3, 1, 0		0	-3
23	21	81/2	85/2	0.25	0	0	2/4	2	1		iv(#4)		G	vi		iv(#4)		iv			#4					m	0	1	-1, -4, 5		-1	-1
23	21	163/4	171/4	0.25	1/16	1/16	2/4	2	1		iv		G	vi		iv		iv								m	0	1	-1, -4, 0		-1	-1
23	21	41	43	0.5	1/8	1/8	2/4	2	1		V6/v		G	vi		V6/v		V		6		v				M	0	1	6, 3, 2		2	6
23	21	83/2	87/2	0.25	1/4	1/4	2/4	2	1		v(^4)		G	vi		v(^4)		v			^4					m	0	1	1, -2, 0		1	1
23	21	167/4	175/4	0.25	5/16	5/16	2/4	2	1		v		G	vi		v		v								m	0	1	1, -2, 2		1	1
23	21	42	44	0.5	3/8	3/8	2/4	2	1		#viio7/v		G	vi		#viio7/v		#vii	o	7		v				o7	0	1	6, 3, 0, -3		6	6
24	22	85/2	89/2	0.5	0	0	2/4	2	1		v		G	vi		v		v								m	0	1	1, -2, 2		1	1
24	22	43	45	0.5	1/8	1/8	2/4	2	1		I.iio6		G	I		iio6		ii	o	6						o	0	0	-1, -4, 2		2	-1
24	22	87/2	91/2	0.5	1/4	1/4	2/4	2	1		V65/V		G	I		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
24	22	44	46	0.25	3/8	3/8	2/4	2	1		v7(6)		G	I		v7(6)		v		7	6					mm7	0	0	1, -2, 4, -1		1	1
24	22	177/4	185/4	0.25	7/16	7/16	2/4	2	1		v7		G	I		v7		v		7						mm7	0	0	1, -2, 2, -1		1	1
25	23	89/2	93/2	0.5	0	0	2/4	2	1		V6(+b3)/vi		G	I		V6(+b3)/vi		V		6	+b3	vi				M	0	0	8, 5, 4	1	4	8
25	23	45	47	0.5	1/8	1/8	2/4	2	1		IV6(9)		G	I		IV6(9)		IV		6	9					M	0	0	3, 0, -1	1	-1	3
25	23	91/2	95/2	0.5	1/4	1/4	2/4	2	1		V6(#4#2)		G	I		V6(#4#2)		V		6	#4#2					M	0	0	10, 7, 1		1	10
25	23	46	48	0.5	3/8	3/8	2/4	2	1		V6		G	I		V6		V		6						M	0	0	5, 2, 1		1	5
26	24	93/2	97/2	0.5	0	0	2/4	2	1		V6(6#4#2)		G	I		V6(6#4#2)		V		6	6#4#2					M	0	0	10, 7, 4, 1		1	10
26	24	47	49	0.5	1/8	1/8	2/4	2	1		V65		G	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
26	24	95/2	99/2	0.5	1/4	1/4	2/4	2	1		i		G	I		i		i								m	0	0	0, -3, 1		0	0
26	24	48	50	0.5	3/8	3/8	2/4	2	1		#viio6/ii		G	I		#viio6/ii		#vii	o	6		ii				o	0	0	4, 1, 7		7	4
27	25	97/2	101/2	0.5	0	0	2/4	2	1		ii(4)		G	I		ii(4)		ii			4					m	0	0	2, 1, 3		2	2
27	25	49	51	0.5	1/8	1/8	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
27	25	99/2	103/2	0.5	1/4	1/4	2/4	2	1		IV(9)		G	I		IV(9)		IV			9					M	0	0	-1, 3, 0	1	-1	-1
27	25	50	52	0.5	3/8	3/8	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
28	26	101/2	105/2	0.5	0	0	2/4	2	1		vi7		G	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
28	26	51	53	0.5	1/8	1/8	2/4	2	1		ii(11)		G	I		ii(11)		ii			11					m	0	0	2, -1, 3	1	2	2
28	26	103/2	107/2	0.5	1/4	1/4	2/4	2	1		V|HC}		G	I		V		V						HC	}	M	0	0	1, 5, 2		1	1
28	26	52	54	0.5	3/8	3/8	2/4	2	1		I{		G	I		I		I							{	M	0	0	0, 4, 1		0	0
29	27	105/2	109/2	2.0	0	0	2/4	2	1		V7(4)/IV		G	I		V7(4)/IV		V		7	4	IV				Mm7	0	0	0, -1, 1, -2		0	0
30	28	109/2	113/2	2.0	0	0	2/4	2	1		V7(134)/IV		G	I		V7(134)/IV		V		7	134	IV				Mm7	0	0	0, -1, 1, -2	3	0	0
31	29	113/2	117/2	2.5	0	0	2/4	2	1		V7(4)/IV		G	I		V7(4)/IV		V		7	4	IV				Mm7	0	0	0, -1, 1, -2		0	0
32	30	59	61	0.5	1/8	1/8	2/4	2	1		V7(94)/IV		G	I		V7(94)/IV		V		7	94	IV				Mm7	0	0	0, -1, 1, -2	2	0	0
32	30	119/2	123/2	0.5	1/4	1/4	2/4	2	1		I64/IV		G	I		I64/IV		I		64		IV				M	0	0	0, -1, 3		-1	0
32	30	60	62	0.25	3/8	3/8	2/4	2	1		IV(9)/IV		G	I		IV(9)/IV		IV			9	IV				M	0	0	-2, 2, -1	0	-2	-2
32	30	241/4	249/4	0.25	7/16	7/16	2/4	2	1		V(4)/IV		G	I		V(4)/IV		V			4	IV				M	0	0	0, -1, 1		0	0
33	31	121/2	125/2	0.5	0	0	2/4	2	1		I6(7)/IV		G	I		I6(7)/IV		I		6	7	IV				M	0	0	3, 0, 4		-1	3
33	31	61	63	0.5	1/8	1/8	2/4	2	1		I/IV		G	I		I/IV		I				IV				M	0	0	-1, 3, 0		-1	-1
33	31	123/2	127/2	0.75	1/4	1/4	2/4	2	1		V(64)/IV		G	I		V(64)/IV		V			64	IV				M	0	0	0, -1, 3		0	0
33	31	249/4	257/4	0.25	7/16	7/16	2/4	2	1		V/IV		G	I		V/IV		V				IV				M	0	0	0, 4, 1		0	0
34	32	125/2	129/2	0.25	0	0	2/4	2	1		I64(7)/IV		G	I		I64(7)/IV		I		64	7	IV				M	0	0	0, 4, 3		-1	0
34	32	251/4	259/4	0.75	1/16	1/16	2/4	2	1		I/IV		G	I		I/IV		I				IV				M	0	0	-1, 3, 0		-1	-1
34	32	127/2	131/2	0.5	1/4	1/4	2/4	2	1		I64/IV		G	I		I64/IV		I		64		IV				M	0	0	0, -1, 3		-1	0
34	32	64	66	0.25	3/8	3/8	2/4	2	1		ii6(94)/IV	IVM7(9)/IV	G	I		ii6(94)/IV		ii		6	94	IV				m	0	0	0, 2, 1	3	1	0
34	32	257/4	265/4	0.25	7/16	7/16	2/4	2	1		V/IV		G	I		V/IV		V				IV				M	0	0	0, 4, 1		0	0
35	33	129/2	133/2	0.5	0	0	2/4	2	1		I6(97)/IV		G	I		I6(97)/IV		I		6	97	IV				M	0	0	3, 0, 4	1	-1	3
35	33	65	67	0.5	1/8	1/8	2/4	2	1		I6/IV		G	I		I6/IV		I		6		IV				M	0	0	3, 0, -1		-1	3
35	33	131/2	135/2	0.5	1/4	1/4	2/4	2	1		IV64		G	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
35	33	66	68	0.5	3/8	3/8	2/4	2	1		V6		G	I		V6		V		6						M	0	0	5, 2, 1		1	5
36	34	133/2	137/2	0.5	0	0	2/4	2	1		IV64		G	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
36	34	67	69	0.5	1/8	1/8	2/4	2	1		IV		G	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
36	34	135/2	139/2	0.5	1/4	1/4	2/4	2	1		IVM2		G	I		IVM2		IV	M	2						MM7	0	0	4, -1, 3, 0		-1	4
36	34	68	70	0.5	3/8	3/8	2/4	2	1		viio65		G	I		viio65		vii	o	65						o7	0	0	2, -1, -4, 5		5	2
37	35	137/2	141/2	0.5	0	0	2/4	2	1		IV6(^4#2)		G	I		IV6(^4#2)		IV		6	^4#2					M	0	0	8, 5, -1		-1	8
37	35	69	71	0.5	1/8	1/8	2/4	2	1		IV6		G	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
37	35	139/2	143/2	0.5	1/4	1/4	2/4	2	1		IV		G	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
37	35	70	72	0.5	3/8	3/8	2/4	2	1		iii		G	I		iii		iii								m	0	0	4, 1, 5		4	4
38	36	141/2	145/2	0.25	0	0	2/4	2	1		ii7(62)		G	I		ii7(62)		ii		7	62					mm7	0	0	4, -1, 5, 0		2	4
38	36	283/4	291/4	0.25	1/16	1/16	2/4	2	1		ii7		G	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
38	36	71	73	0.5	1/8	1/8	2/4	2	1		IV64		G	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
38	36	143/2	147/2	0.25	1/4	1/4	2/4	2	1		vii%7(9)		G	I		vii%7(9)		vii	%	7	9					%7	0	0	5, 2, -1, 3	0	5	5
38	36	287/4	295/4	0.25	5/16	5/16	2/4	2	1		vii%7		G	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
38	36	72	74	0.25	3/8	3/8	2/4	2	1		V64(6)		G	I		V64(6)		V		64	6					M	0	0	4, 1, 5		1	4
38	36	289/4	297/4	0.25	7/16	7/16	2/4	2	1		V64		G	I		V64		V		64						M	0	0	2, 1, 5		1	2
39	37	145/2	149/2	0.25	0	0	2/4	2	1		I(72)		G	I		I(72)		I			72					M	0	0	2, 4, 1	5	0	2
39	37	291/4	299/4	0.25	1/16	1/16	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
39	37	73	75	0.25	1/8	1/8	2/4	2	1		#vii%2(b9)/ii		G	I		#vii%2(b9)/ii		#vii	%	2	b9	ii				%7	0	0	5, 7, 4, 1	-5	7	5
39	37	293/4	301/4	0.25	3/16	3/16	2/4	2	1		#vii%2/ii		G	I		#vii%2/ii		#vii	%	2		ii				%7	0	0	5, 7, 4, 1		7	5
39	37	147/2	151/2	0.5	1/4	1/4	2/4	2	1		ii64(9)		G	I		ii64(9)		ii		64	9					m	0	0	3, 2, -1	4	2	3
39	37	74	76	0.25	3/8	3/8	2/4	2	1		ii		G	I		ii		ii								m	0	0	2, -1, 3		2	2
39	37	297/4	305/4	0.25	7/16	7/16	2/4	2	1		ii2		G	I		ii2		ii		2						mm7	0	0	0, 2, -1, 3		2	0
40	38	149/2	153/2	0.5	0	0	2/4	2	1		vii%7(62)		G	I		vii%7(62)		vii	%	7	62					%7	0	0	0, 2, 1, 3		5	0
40	38	75	77	0.5	1/8	1/8	2/4	2	1		ii64		G	I		ii64		ii		64						m	0	0	3, 2, -1		2	3
40	38	151/2	155/2	0.25	1/4	1/4	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
40	38	303/4	311/4	0.25	5/16	5/16	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
40	38	76	78	0.25	3/8	3/8	2/4	2	1		V/vi		G	I		V/vi		V				vi				M	0	0	4, 8, 5		4	4
40	38	305/4	313/4	0.25	7/16	7/16	2/4	2	1		V2/vi		G	I		V2/vi		V		2		vi				Mm7	0	0	2, 4, 8, 5		4	2
41	39	153/2	157/2	0.25	0	0	2/4	2	1		vi(#72)		G	I		vi(#72)		vi			#72					m	0	0	5, 0, 4	8	3	5
41	39	307/4	315/4	0.25	1/16	1/16	2/4	2	1		vi		G	I		vi		vi								m	0	0	3, 0, 4		3	3
41	39	77	79	0.5	1/8	1/8	2/4	2	1		vi2	ii2/V	G	I		vi2		vi		2						mm7	0	0	1, 3, 0, 4		3	1
41	39	155/2	159/2	1.0	1/4	1/4	2/4	2	1		vii%7/V		G	I		vii%7/V		vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
42	40	157/2	161/2	1.0	0	0	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
42	40	159/2	163/2	1.0	1/4	1/4	2/4	2	1		V(9+64)		G	I		V(9+64)		V			9+64					M	0	0	1, 0, 2	3, 4	1	1
43	41	161/2	165/2	1.0	0	0	2/4	2	1		V7(6)		G	I		V7(6)		V		7	6					Mm7	0	0	1, 5, 4, -1		1	1
43	41	163/2	167/2	1.0	1/4	1/4	2/4	2	1		V(964)		G	I		V(964)		V			964					M	0	0	1, 0, 4	3	1	1
44	42	165/2	169/2	0.5	0	0	2/4	2	1		V(4)		G	I		V(4)		V			4					M	0	0	1, 0, 2		1	1
44	42	83	85	0.5	1/8	1/8	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
44	42	167/2	171/2	0.5	1/4	1/4	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
44	42	84	86	0.5	3/8	3/8	2/4	2	1		ii7		G	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
45	43	169/2	173/2	0.5	0	0	2/4	2	1		V(9)		G	I		V(9)		V			9					M	0	0	1, 5, 2	3	1	1
45	43	85	87	0.5	1/8	1/8	2/4	2	1		V(6)		G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
45	43	171/2	175/2	0.5	1/4	1/4	2/4	2	1		V43	ii(4)	G	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
45	43	86	88	0.5	3/8	3/8	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
46	44	173/2	177/2	0.5	0	0	2/4	2	1		I[I|PAC}{		G	I	I	I		I						PAC	}{	M	0	0	0, 4, 1		0	0
46	44	87	89	0.5	1/8	1/8	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
46	44	175/2	179/2	0.25	1/4	1/4	2/4	2	1		vi7		G	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
46	44	351/4	359/4	0.25	5/16	5/16	2/4	2	1		ii(94)		G	I		ii(94)		ii			94					m	0	0	2, 1, 3	4	2	2
46	44	88	90	0.5	3/8	3/8	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
47	45	177/2	181/2	0.5	0	0	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
