mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	2/4	2	1		G.I{		G	I		I		I							{	M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	0.5	0	0	2/4	2	1		V43		G	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
2	1	1	1	0.5	1/8	1/8	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
2	1	3/2	3/2	0.5	1/4	1/4	2/4	2	1		IV(9)		G	I		IV(9)		IV			9					M	0	0	-1, 3, 0	1	-1	-1
2	1	2	2	0.5	3/8	3/8	2/4	2	1		V(6)	iii6	G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
3	2	5/2	5/2	0.5	0	0	2/4	2	1		IV6(9)	vi7	G	I		IV6(9)		IV		6	9					M	0	0	3, 0, -1	1	-1	3
3	2	3	3	0.5	1/8	1/8	2/4	2	1		V6		G	I		V6		V		6						M	0	0	5, 2, 1		1	5
3	2	7/2	7/2	0.5	1/4	1/4	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
3	2	4	4	0.5	3/8	3/8	2/4	2	1		viio6		G	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
4	3	9/2	9/2	0.5	0	0	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
4	3	5	5	0.5	1/8	1/8	2/4	2	1		IVM7		G	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
4	3	11/2	11/2	0.5	1/4	1/4	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
4	3	6	6	0.5	3/8	3/8	2/4	2	1		vi		G	I		vi		vi								m	0	0	3, 0, 4		3	3
5	4	13/2	13/2	0.5	0	0	2/4	2	1		ii65		G	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
5	4	7	7	0.5	1/8	1/8	2/4	2	1		V(6)		G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
5	4	15/2	15/2	0.25	1/4	1/4	2/4	2	1		I(6)		G	I		I(6)		I			6					M	0	0	0, 4, 3		0	0
5	4	31/4	31/4	0.25	5/16	5/16	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
5	4	8	8	0.25	3/8	3/8	2/4	2	1		I6(9)		G	I		I6(9)		I		6	9					M	0	0	4, 1, 0	2	0	4
5	4	33/4	33/4	0.25	7/16	7/16	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
6	5	17/2	17/2	0.5	0	0	2/4	2	1		IVM7		G	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
