mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.f.i{	f	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0
2	2	0	i	f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
2	2	1/4	iv7	f	i		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
3	3	0	V7(6)	f	i		V7(6)	V			7	6			Mm7	1	1	1, 5, -3, -1		1.0	1.0
3	3	1/4	V7	f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
4	4	0	i}	f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
4	4	3/8	{	f	i									{		1	1				
5	5	0	III6	f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
5	5	1/2	IV6/III	f	i		IV6/III	IV			6		III		M	1	1	0, -3, -4		-4.0	0.0
6	6	0	ii%43(9)/III	f	i		ii%43(9)/III	ii		%	43	9	III		%7	1	1	5, -3, -1, -2	1	-1.0	5.0
6	6	1/4	ii%43/III	f	i		ii%43/III	ii		%	43		III		%7	1	1	5, -3, -1, -2		-1.0	5.0
7	7	0	V7/III	f	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
8	8	0	V65/VI	f	i		V65/VI	V			65		VI		Mm7	1	1	1, -2, -5, -3		-3.0	1.0
8	8	1/2	.Fr6/bII	f	i		Fr6/bII	V	Fr		7	b5	V/bII		M	1	1	-3, 1, -9, -5		-3.0	-3.0
9	9	0	VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
10	10	0	V7	f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
10	10	1/2	V7(4)	f	i		V7(4)	V			7	4			Mm7	1	1	1, 0, 2, -1		1.0	1.0
10	10	5/8	V7	f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
11	11	0	ii%65(9)	f	i		ii%65(9)	ii		%	65	9			%7	1	1	1, 8, 0, 2	-3	2.0	1.0
11	11	1/4	ii%65	f	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
12	12	0	III+}	f	i		III+	III		+				}	+	1	1	-3, 1, 5		-3.0	-3.0
13	13	0	VI{	f	i		VI	VI						{	M	1	1	-4, 0, -3		-4.0	-4.0
13	13	1/2	VIM7	f	i		VIM7	VI		M	7				MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
14	14	0	.bII6(4)	f	i		bII6(4)	bII			6	4			M	1	1	1, -4, -5		-5.0	1.0
14	14	1/4	.bII(49)	f	i		bII(49)	bII				49			M	1	1	-5, 1, -4	-3	-5.0	-5.0
14	14	5/8	.bII	f	i		bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0
15	15	0	V7(6)	f	i		V7(6)	V			7	6			Mm7	1	1	1, 5, -3, -1		1.0	1.0
15	15	1/4	V7	f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
16	16	0	i}	f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
17	17	0	{	f	i									{		1	1				
18	18	0	III6	f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
18	18	1/2	IIIM65	f	i		IIIM65	III		M	65				MM7	1	1	1, -2, 2, -3		-3.0	1.0
19	19	0	i	f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
20	20	0	III6	f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
20	20	1/2	v	f	i		v	v							m	1	1	1, -2, 2		1.0	1.0
21	21	0	i7	f	i		i7	i			7				mm7	1	1	0, -3, 1, -2		0.0	0.0
21	21	1/4	i	f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
21	21	1/2	i(9)	f	i		i(9)	i				9			m	1	1	0, -3, 1	2	0.0	0.0
22	22	0	III6	f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
23	23	0	IIIM7	f	i		IIIM7	III		M	7				MM7	1	1	-3, 1, -2, 2		-3.0	-3.0
24	24	0	i	f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
24	24	1/4	i7(9)	f	i		i7(9)	i			7	9			mm7	1	1	0, -3, 1, -2	2	0.0	0.0
