mc	mn	onset	label
1	1	0	.b.V
1	1	3/8	iv
2	2	0	III6
2	2	1/4	iv
2	2	1/2	i6
3	3	0	.bII
5	5	0	.bII64(+4)
5	5	1/4	V(9#6)
5	5	1/2	V2
6	6	0	#vii%7
6	6	1/4	#vii%43
6	6	1/2	V65
7	7	0	ii6
7	7	1/4	@none\\
8	8	1/2	V
9	9	0	i
9	9	1/2	ii%7
10	10	0	i65
11	11	0	.bII6
11	11	1/2	#ivo7(b6)
11	11	5/8	#ivo7
12	12	0	V\\
12	12	1/2	V2
13	13	0	i6
13	13	1/2	i64
14	14	0	V7(6)/VII
14	14	1/2	V7/III
15	15	0	V7/VI
15	15	1/2	ii%7/v
16	16	0	V7/v
16	16	1/2	V7(6)
17	17	0	i\\
17	17	1/2	ii%7
18	18	0	i65
18	18	1/4	#viio7/III
18	18	1/2	III
19	19	0	.bII6
19	19	1/2	#ivo7(b6)
19	19	5/8	#ivo7
20	20	0	V\\
20	20	1/2	V2
21	21	0	III
21	21	1/2	#iii7(4)
22	22	0	.bII6(4)
22	22	3/8	.bII6
22	22	1/2	V7(4)
23	23	0	iv65
23	23	1/4	V7/III
23	23	1/2	III+64
24	24	0	i(94)
24	24	1/4	i\\
25	25	0	VI.I
25	25	1/4	vi65
25	25	1/2	I
26	26	0	V9
26	26	1/2	V7(b5)
27	27	0	I
27	27	1/2	.bVII
28	28	0	ii7
28	28	1/2	V7(9)/IV
29	29	0	IV
29	29	1/4	ii6
29	29	1/2	IV6
30	30	0	ii65/IV
30	30	1/2	V7/IV
31	31	0	IV
31	31	1/4	ii6
31	31	1/2	IV6
32	32	0	ii65/IV
32	32	1/2	V7/IV
33	33	0	IV
33	33	1/4	ii6
33	33	1/2	vi6
34	34	0	V43(4)/vi
34	34	1/4	ii6
34	34	1/2	.Fr6/vi
35	35	0	vi64
35	35	1/2	V7/vi
36	36	0	vi(9)
36	36	1/4	vi\\
36	36	1/2	V7/IV
37	37	0	IV
37	37	1/4	ii6
37	37	1/2	IV6
38	38	0	ii65/IV
38	38	1/2	V7/IV
39	39	0	IV
39	39	1/4	ii6
39	39	1/2	vi6
40	40	0	V43(4)/vi
40	40	1/4	ii6
40	40	1/2	V7/vi
41	41	0	.bVI\\
41	41	1/4	iv6
41	41	1/2	.bVI6
42	42	0	viio6/bVI
42	42	1/4	ii6/bVI
42	42	1/2	V7/bVI
43	43	0	.bVI
43	43	1/4	iv6
43	43	1/2	i6
44	44	0	V43(4)
44	44	1/4	iv6
44	44	1/2	V7
45	45	0	i.V\\
45	45	1/4	V7
45	45	1/2	V7(4)/VII
46	46	0	.Fr6(#5)/v
46	46	1/4	V43
46	46	1/2	ii%65/v
46	46	5/8	iv43
47	47	0	V6
47	47	1/4	V7
47	47	1/2	V7(4)/VII
48	48	0	.Fr6(#5)/v
48	48	1/4	V43
48	48	1/2	ii%65/v
48	48	5/8	iv43
49	49	0	V6
49	49	1/4	V43
49	49	1/2	ii%65/v
49	49	5/8	iv43
50	50	0	V6
50	50	1/4	V43
50	50	1/2	ii%65/v
50	50	5/8	iv43
51	51	0	V6\\
51	51	1/4	.bV6
51	51	1/2	IV6
52	52	0	.bIV6
52	52	1/4	V2
53	53	0	i\\
53	53	1/2	ii%7
54	54	0	i65
55	55	0	.bII6
55	55	1/2	#ivo7(b6)
55	55	5/8	#ivo7
56	56	0	V\\
56	56	1/2	V2
57	57	0	III
57	57	1/2	#iii7(4)
58	58	0	.bII6(4)
58	58	3/8	.bII6
58	58	1/2	V7(4)
59	59	0	iv65
59	59	1/4	V7/III
59	59	1/2	.bII64/III
60	60	0	III
60	60	1/2	#iii7(4)
61	61	0	.bII6(4)
61	61	3/8	.bII6
61	61	1/2	V7(4)
62	62	0	iv65
62	62	1/4	V7/III
62	62	1/2	.bII64/III
63	63	0	III.I
63	63	1/2	V
64	64	0	I
64	64	1/2	V
65	65	0	I
65	65	1/2	V
66	66	0	I
66	66	1/2	iii6
67	67	0	I
67	67	1/2	.bIII64
68	68	0	.bIII
68	68	1/2	vi2
69	69	0	vi65
69	69	1/2	.bIII64
70	70	0	.bIII
70	70	1/2	vi2
71	71	0	vi65
71	71	1/2	.bIII64
72	72	0	.bIII
72	72	1/4	v%7(9)
73	73	0	V7/IV
73	73	1/2	V2/IV
74	74	0	.bIII
74	74	1/4	viio6/IV
75	75	0	V/IV
75	75	1/2	.bIII64
76	76	0	.bIII
76	76	1/2	vi2
77	77	0	vi65
77	77	1/2	.bIII64
78	78	0	.bIII
78	78	1/2	vi2
79	79	0	vi65
79	79	1/2	.bIII64
80	80	0	.bIII
80	80	1/4	v%7(4)
81	81	0	V7(b9)/IV
81	81	1/2	viio43/IV
82	82	0	V7/bVI
82	82	1/2	.bII64
83	83	0	.bII
83	83	1/2	.bVI64
84	84	0	.bVI
84	84	1/2	i64
85	85	0	i
85	85	1/2	.bV64
86	86	0	.bV
86	86	1/2	.bvii64
87	87	0	.bvii
87	87	1/2	V64/bvii
88	88	0	iv7(9)
88	88	1/4	iv6
88	88	1/2	V7/bVI
89	89	0	.bVI
89	89	1/2	V64/bVI
90	90	0	V9/bVI
90	90	1/4	ii%7
91	91	0	V\\
91	91	1/2	V2
92	92	0	V9(6)/bIII
92	92	1/2	.bVIM7
93	93	0	v%43
93	93	1/4	v%2
94	94	0	V9/bIII
94	94	1/2	ii%7
95	95	0	V\\
95	95	1/2	V2
96	96	0	V9(6)/bIII
96	96	1/4	V9/bIII
96	96	1/2	.bVIM7
97	97	0	.bvii6
97	97	1/4	v%2
98	98	0	V9/bIII
98	98	1/2	ii%7
99	99	0	V\\
99	99	1/2	V6
100	100	0	V7(b3)/vi
100	100	1/2	ii%7
101	101	0	V
101	101	1/2	V2
102	102	0	V9(6)/bIII
102	102	1/2	ii%7
103	103	0	V
103	103	1/2	V2
104	104	0	V9(6)/bIII
104	104	1/2	iv6
105	105	0	.Fr6/iv
105	105	1/2	V
106	106	0	V7(b6)/iv
107	107	0	.bII\\
107	107	1/4	.bvii6
107	107	1/2	.bII6
108	108	0	viio6/bII
108	108	1/4	ii6/bII
108	108	1/2	V7/bII
109	109	0	.bII
109	109	1/4	.bvii6
109	109	1/2	.bII6
110	110	0	viio6/bII
110	110	1/4	ii6/bII
110	110	1/2	V7/bII
111	111	0	.bII
111	111	1/4	.bvii6
111	111	1/2	iv6
112	112	0	V43(4)/iv
112	112	1/4	iv6/iv
112	112	1/2	V7/iv
113	113	0	i.V64
113	113	1/4	V
113	113	1/2	V7/V
114	114	0	V(9#74)
114	114	1/4	V\\
115	115	0	i
115	115	1/2	ii%7
116	116	0	i65
117	117	0	.bII6
117	117	1/2	#ivo7(b6)
117	117	5/8	#ivo7
118	118	0	V\\
118	118	1/2	V2
119	119	0	i6
