mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	13	25	25	1.5	1/4	1/4	2/4	3	1	ii%43(11)		a	i		ii%43(11)		ii	%	43	11					%7	1	1	-4, 0, 2, -1	1	2	-4
14	14	53/2	53/2	0.5	1/8	1/8	2/4	3	1	ii%7		a	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
14	14	27	27	1.0	1/4	1/4	2/4	3	1	V		a	i		V		V								M	1	1	1, 5, 2		1	1
15	15	28	28	0.5	0	0	2/4	3	1	V7(4)/V		a	i		V7(4)/V		V		7	4	V				Mm7	1	1	2, 1, 3, 0		2	2
15	15	57/2	57/2	0.5	1/8	1/8	2/4	3	1	V7/V		a	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
15	15	29	29	2.0	1/4	1/4	2/4	3	1	ii%43(11)		a	i		ii%43(11)		ii	%	43	11					%7	1	1	-4, 0, 2, -1	1	2	-4
16	16	31	31	1.0	1/4	1/4	2/4	3	1	ii%43		a	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
17	17	32	32	1.0	0	0	2/4	3	1	V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
17	17	33	33	1.0	1/4	1/4	2/4	3	1	V7(#6#42)		a	i		V7(#6#42)		V		7	#6#42					Mm7	1	1	-4, 5, 7, 4		1	-4
18	18	34	34	1.0	0	0	2/4	3	1	V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
18	18	35	35	1.0	1/4	1/4	2/4	3	1	V7(#6#42)		a	i		V7(#6#42)		V		7	#6#42					Mm7	1	1	-4, 5, 7, 4		1	-4
19	19	36	36	2.0	0	0	2/4	3	1	V7(b10)		a	i		V7(b10)		V		7	b10					Mm7	1	1	1, 5, 2, -1	-2	1	1
20	20	38	38	1.5	0	0	2/4	3	1	V7(9)|HC}		a	i		V7(9)		V		7	9			HC	}	Mm7	1	1	1, 5, 2, -1	-4	1	1
20	20	79/2	79/2	0.5	3/8	3/8	2/4	3	1	i{		a	i		i		i							{	m	1	1	0, -3, 1		0	0
21	21	40	40	0.5	0	0	2/4	3	1	V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
21	21	81/2	81/2	0.5	1/8	1/8	2/4	3	1	iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
21	21	41	41	0.5	1/4	1/4	2/4	3	1	bII6/iv		a	i		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
21	21	83/2	83/2	0.5	3/8	3/8	2/4	3	1	iv/iv	bIIM65/iv	a	i		iv/iv		iv				iv				m	1	1	-2, -5, -1		-2	-2
22	22	42	42	0.5	0	0	2/4	3	1	V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
22	22	85/2	85/2	0.5	1/8	1/8	2/4	3	1	iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
22	22	43	43	0.5	1/4	1/4	2/4	3	1	III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
22	22	87/2	87/2	0.5	3/8	3/8	2/4	3	1	III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
23	23	44	44	0.5	0	0	2/4	3	1	iio6/iv		a	i		iio6/iv		ii	o	6		iv				o	1	1	-2, -5, 1		1	-2
23	23	89/2	89/2	0.5	1/8	1/8	2/4	3	1	iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
23	23	45	45	0.5	1/4	1/4	2/4	3	1	III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
23	23	91/2	91/2	0.5	3/8	3/8	2/4	3	1	III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
24	24	46	46	0.5	0	0	2/4	3	1	iv6(9b6)		a	i		iv6(9b6)		iv		6	9b6					m	1	1	-4, -5, -1	1	-1	-4
24	24	93/2	93/2	0.5	1/8	1/8	2/4	3	1	iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
24	24	47	47	0.5	1/4	1/4	2/4	3	1	iv(#4)		a	i		iv(#4)		iv			#4					m	1	1	-1, -4, 5		-1	-1
24	24	95/2	95/2	0.5	3/8	3/8	2/4	3	1	iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
25	25	48	48	0.5	0	0	2/4	3	1	#viio7/iv		a	i		#viio7/iv		#vii	o	7		iv				o7	1	1	4, 1, -2, -5		4	4
25	25	97/2	97/2	0.5	1/8	1/8	2/4	3	1	iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
25	25	49	49	1.0	1/4	1/4	2/4	3	1	#viio6/iv		a	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1
26	26	50	50	0.5	0	0	2/4	3	1	IIIM2/iv		a	i		IIIM2/iv		III	M	2		iv				MM7	1	1	1, -4, 0, -3		-4	1
26	26	101/2	101/2	0.5	1/8	1/8	2/4	3	1	VI6/iv		a	i		VI6/iv		VI		6		iv				M	1	1	-1, -4, -5		-5	-1
26	26	51	51	0.5	1/4	1/4	2/4	3	1	V43/iv		a	i		V43/iv		V		43		iv				Mm7	1	1	1, -2, 0, 4		0	1
26	26	103/2	103/2	0.5	3/8	3/8	2/4	3	1	iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
27	27	52	52	0.5	0	0	2/4	3	1	bII6(11)/iv	iv(9b6)/iv	a	i		bII6(11)/iv		bII		6	11	iv				M	1	1	-2, -5, -6	0	-6	-2
27	27	105/2	105/2	0.5	1/8	1/8	2/4	3	1	iv/iv	bIIM65/iv	a	i		iv/iv		iv				iv				m	1	1	-2, -5, -1		-2	-2
27	27	53	53	1.0	1/4	1/4	2/4	3	1	V2/iv		a	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
28	28	54	54	0.5	0	0	2/4	3	1	III6(2)/iv		a	i		III6(2)/iv		III		6	2	iv				M	1	1	0, -3, -2		-4	0
28	28	109/2	109/2	0.5	1/8	1/8	2/4	3	1	#viio43/iv		a	i		#viio43/iv		#vii	o	43		iv				o7	1	1	-2, -5, 4, 1		4	-2
28	28	55	55	0.5	1/4	1/4	2/4	3	1	V2/iv		a	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
28	28	111/2	111/2	0.5	3/8	3/8	2/4	3	1	#iii.i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
29	29	56	56	0.5	0	0	2/4	3	1	V(6)		a	#iii		V(6)		V			6					M	1	1	1, 5, -3		1	1
29	29	113/2	113/2	1.0	1/8	1/8	2/4	3	1	V		a	#iii		V		V								M	1	1	1, 5, 2		1	1
29	29	115/2	115/2	0.5	3/8	3/8	2/4	3	1	V6		a	#iii		V6		V		6						M	1	1	5, 2, 1		1	5
30	30	58	58	0.5	0	0	2/4	3	1	iv64	i(64)	a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
30	30	117/2	117/2	0.5	1/8	1/8	2/4	3	1	V64		a	#iii		V64		V		64						M	1	1	2, 1, 5		1	2
30	30	59	59	1.0	1/4	1/4	2/4	3	1	viio2/V		a	#iii		viio2/V		vii	o	2		V				o7	1	1	-3, 6, 3, 0		6	-3
31	31	60	60	0.5	0	0	2/4	3	1	iio6		a	#iii		iio6		ii	o	6						o	1	1	-1, -4, 2		2	-1
31	31	121/2	121/2	0.5	1/8	1/8	2/4	3	1	V6/V	viio/V	a	#iii		V6/V		V		6		V				M	1	1	6, 3, 2		2	6
31	31	61	61	0.5	1/4	1/4	2/4	3	1	V(64)	i64	a	#iii		V(64)		V			64					M	1	1	1, 0, -3		1	1
31	31	123/2	123/2	0.5	3/8	3/8	2/4	3	1	V64/V		a	#iii		V64/V		V		64		V				M	1	1	3, 2, 6		2	3
32	32	62	62	0.5	0	0	2/4	3	1	V65		a	#iii		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
32	32	125/2	125/2	0.5	1/8	1/8	2/4	3	1	V7		a	#iii		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
32	32	63	63	3.0	1/4	1/4	2/4	3	1	i|PAC}		a	#iii		i		i						PAC	}	m	1	1	0, -3, 1		0	0
32	32	127/2	127/2	0.0	3/8	3/8	2/4	3	1	{		a	#iii											{		1	1				
34	34	66	66	0.5	0	0	2/4	3	1	V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
34	34	133/2	133/2	0.5	1/8	1/8	2/4	3	1	V2		a	#iii		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
34	34	67	67	0.5	1/4	1/4	2/4	3	1	i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
34	34	135/2	135/2	0.5	3/8	3/8	2/4	3	1	#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
35	35	68	68	1.0	0	0	2/4	3	1	v	ii/iv	a	#iii		v		v								m	1	1	1, -2, 2		1	1
35	35	69	69	1.0	1/4	1/4	2/4	3	1	#viio7/v	#viio7/ii/iv	a	#iii		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
36	36	70	70	1.0	0	0	2/4	3	1	V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
36	36	71	71	3.0	1/4	1/4	2/4	3	1	i/iv|IAC}		a	#iii		i/iv		i				iv		IAC	}	m	1	1	-1, -4, 0		-1	-1
36	36	143/2	143/2	0.0	3/8	3/8	2/4	3	1	{		a	#iii											{		1	1				
38	38	74	74	0.5	0	0	2/4	3	1	V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
38	38	149/2	149/2	0.5	1/8	1/8	2/4	3	1	V2/iv		a	#iii		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
38	38	75	75	0.5	1/4	1/4	2/4	3	1	i6/iv		a	#iii		i6/iv		i		6		iv				m	1	1	-4, 0, -1		-1	-4
38	38	151/2	151/2	0.5	3/8	3/8	2/4	3	1	#viio43		a	#iii		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
39	39	76	76	1.0	0	0	2/4	3	1	i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
39	39	77	77	1.0	1/4	1/4	2/4	3	1	V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
40	40	78	78	0.25	0	0	2/4	3	1	i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
40	40	313/4	313/4	1.75	1/16	1/16	2/4	3	1	v/#iii.#viio43		a	v/#iii		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
41	41	80	80	1.0	0	0	2/4	3	1	V7(9)		a	v/#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
41	41	81	81	0.25	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
41	41	325/4	325/4	0.75	5/16	5/16	2/4	3	1	V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
42	42	82	82	1.0	0	0	2/4	3	1	#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
42	42	83	83	0.25	1/4	1/4	2/4	3	1	i6		a	v/#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
42	42	333/4	333/4	0.75	5/16	5/16	2/4	3	1	V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
43	43	84	84	1.0	0	0	2/4	3	1	V7(9)		a	v/#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
43	43	85	85	0.25	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
43	43	341/4	341/4	0.75	5/16	5/16	2/4	3	1	V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
44	44	86	86	1.0	0	0	2/4	3	1	#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
44	44	87	87	0.5	1/4	1/4	2/4	3	1	i6		a	v/#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
44	44	175/2	175/2	0.5	3/8	3/8	2/4	3	1	V7/V		a	v/#iii		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
45	45	88	88	1.0	0	0	2/4	3	1	#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
45	45	89	89	0.5	1/4	1/4	2/4	3	1	i[i		a	v/#iii	i	i		i								m	1	1	0, -3, 1		0	0
45	45	179/2	179/2	0.5	3/8	3/8	2/4	3	1	V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
46	46	90	90	1.0	0	0	2/4	3	1	#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
46	46	91	91	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
46	46	183/2	183/2	0.5	3/8	3/8	2/4	3	1	V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
47	47	92	92	1.0	0	0	2/4	3	1	#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
47	47	93	93	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
47	47	187/2	187/2	0.5	3/8	3/8	2/4	3	1	viio64/V		a	v/#iii		viio64/V		vii	o	64		V				o	1	1	0, 6, 3		6	0
48	48	94	94	1.0	0	0	2/4	3	1	#viio7		a	v/#iii		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
48	48	95	95	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
48	48	191/2	191/2	0.5	3/8	3/8	2/4	3	1	V7(9)/V		a	v/#iii		V7(9)/V		V		7	9	V				Mm7	1	1	2, 6, 3, 0	4	2	2
49	49	96	96	1.0	0	0	2/4	3	1	#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
49	49	97	97	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
49	49	195/2	195/2	0.5	3/8	3/8	2/4	3	1	V43/V		a	v/#iii		V43/V		V		43		V				Mm7	1	1	3, 0, 2, 6		2	3
50	50	98	98	1.0	0	0	2/4	3	1	#viio2		a	v/#iii		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
50	50	99	99	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
50	50	199/2	199/2	0.5	3/8	3/8	2/4	3	1	V2/V		a	v/#iii		V2/V		V		2		V				Mm7	1	1	0, 2, 6, 3		2	0
51	51	100	100	1.0	0	0	2/4	3	1	#viio7		a	v/#iii		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
51	51	101	101	0.5	1/4	1/4	2/4	3	1	i		a	v/#iii		i		i								m	1	1	0, -3, 1		0	0
51	51	203/2	203/2	0.5	3/8	3/8	2/4	3	1	viio64/V		a	v/#iii		viio64/V		vii	o	64		V				o	1	1	0, 6, 3		6	0
52	52	102	102	1.0	0	0	2/4	3	1	#viio65		a	v/#iii		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5	2
52	52	103	103	1.0	1/4	1/4	2/4	3	1	viio43/V	viio2/#iii	a	v/#iii		viio43/V		vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
53	53	104	104	1.0	0	0	2/4	3	1	V/#iii[V7(9)/#iii		a	v/#iii	V/#iii	V7(9)/#iii		V		7	9	#iii				Mm7	1	1	5, 9, 6, 3	0	5	5
53	53	105	105	0.5	1/4	1/4	2/4	3	1	V/#iii		a	v/#iii		V/#iii		V				#iii				M	1	1	5, 9, 6		5	5
53	53	211/2	211/2	0.5	3/8	3/8	2/4	3	1	V7/V/#iii		a	v/#iii		V7/V/#iii		V		7		V/#iii				Mm7	1	1	6, 10, 7, 4		6	6
54	54	106	106	1.0	0	0	2/4	3	1	V7(9)/#iii		a	v/#iii		V7(9)/#iii		V		7	9	#iii				Mm7	1	1	5, 9, 6, 3	0	5	5
54	54	107	107	0.5	1/4	1/4	2/4	3	1	V7(b3)/#iii		a	v/#iii		V7(b3)/#iii		V		7	b3	#iii				Mm7	1	1	5, 2, 6, 3		5	5
54	54	215/2	215/2	0.5	3/8	3/8	2/4	3	1	viio6/V/#iii]		a	v/#iii		viio6/V/#iii		vii	o	6		V/#iii	]			o	1	1	7, 4, 10		10	7
55	55	108	108	1.0	0	0	2/4	3	1	i/#iii[viio2		a	v/#iii	i/#iii	viio2		vii	o	2						o7	1	1	-11, -2, -5, -8		-2	-11
55	55	109	109	0.5	1/4	1/4	2/4	3	1	bII/#iii		a	v/#iii		bII/#iii		bII				#iii				M	1	1	-1, 3, 0		-1	-1
55	55	219/2	219/2	0.5	3/8	3/8	2/4	3	1	It6/#iii		a	v/#iii		It6/#iii	It	vii	o	6	b3	V/#iii				It	1	1	0, 4, 10		10	0
56	56	110	110	1.5	0	0	2/4	3	1	#viio7/#iii		a	v/#iii		#viio7/#iii		#vii	o	7		#iii				o7	1	1	9, 6, 3, 0		9	9
56	56	223/2	223/2	0.5	3/8	3/8	2/4	3	1	ii7/ii		a	v/#iii		ii7/ii		ii		7		ii				mm7	1	1	4, 1, 5, 2		4	4
57	57	112	112	1.0	0	0	2/4	3	1	V/ii[V7(9)/ii		a	v/#iii	V/ii	V7(9)/ii		V		7	9	ii				Mm7	1	1	3, 7, 4, 1	-2	3	3
57	57	113	113	0.5	1/4	1/4	2/4	3	1	V/ii		a	v/#iii		V/ii		V				ii				M	1	1	3, 7, 4		3	3
57	57	227/2	227/2	0.5	3/8	3/8	2/4	3	1	V7/V/ii		a	v/#iii		V7/V/ii		V		7		V/ii				Mm7	1	1	4, 8, 5, 2		4	4
58	58	114	114	1.0	0	0	2/4	3	1	V7(9)/ii		a	v/#iii		V7(9)/ii		V		7	9	ii				Mm7	1	1	3, 7, 4, 1	-2	3	3
58	58	115	115	0.5	1/4	1/4	2/4	3	1	V7(b3)/ii		a	v/#iii		V7(b3)/ii		V		7	b3	ii				Mm7	1	1	3, 0, 4, 1		3	3
58	58	231/2	231/2	0.5	3/8	3/8	2/4	3	1	viio6/V/ii]		a	v/#iii		viio6/V/ii		vii	o	6		V/ii	]			o	1	1	5, 2, 8		8	5
59	59	116	116	1.0	0	0	2/4	3	1	i/ii[viio2		a	v/#iii	i/ii	viio2		vii	o	2						o7	1	1	-11, -2, -5, -8		-2	-11
59	59	117	117	0.5	1/4	1/4	2/4	3	1	bII/bVII		a	v/#iii		bII/bVII		bII				bVII				M	1	1	-14, -10, -13		-14	-14
59	59	235/2	235/2	0.5	3/8	3/8	2/4	3	1	It6/ii		a	v/#iii		It6/ii	It	vii	o	6	b3	V/ii				It	1	1	-2, 2, 8		8	-2
60	60	118	118	1.5	0	0	2/4	3	1	#viio7/ii		a	v/#iii		#viio7/ii		#vii	o	7		ii				o7	1	1	7, 4, 1, -2		7	7
60	60	239/2	239/2	0.5	3/8	3/8	2/4	3	1	ii7]		a	v/#iii		ii7		ii		7			]			mm7	1	1	2, -1, 3, 0		2	2
61	61	120	120	1.5	0	0	2/4	3	1	V[V}		a	v/#iii	V	V		V							}	M	1	1	1, 5, 2		1	1
61	61	243/2	243/2	0.5	3/8	3/8	2/4	3	1	#iii.i{		a	#iii		i		i							{	m	1	1	0, -3, 1		0	0
62	62	122	122	2.0	0	0	2/4	3	1	V64		a	#iii		V64		V		64						M	1	1	2, 1, 5		1	2
63	63	124	124	1.0	0	0	2/4	3	1	V43(9)		a	#iii		V43(9)		V		43	9					Mm7	1	1	2, -1, 1, 5	-4	1	2
63	63	125	125	0.5	1/4	1/4	2/4	3	1	i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
63	63	251/2	251/2	0.5	3/8	3/8	2/4	3	1	#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
64	64	126	126	1.0	0	0	2/4	3	1	i/v		a	#iii		i/v		i				v				m	1	1	1, -2, 2		1	1
64	64	127	127	1.0	1/4	1/4	2/4	3	1	#viio43/v		a	#iii		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
65	65	128	128	1.0	0	0	2/4	3	1	i/v]}		a	#iii		i/v		i				v	]		}	m	1	1	1, -2, 2		1	1
65	65	129	129	1.0	1/4	1/4	2/4	3	1	V{		a	#iii		V		V							{	M	1	1	1, 5, 2		1	1
66	66	130	130	0.5	0	0	2/4	3	1	i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
66	66	261/2	261/2	0.5	1/8	1/8	2/4	3	1	V6		a	#iii		V6		V		6						M	1	1	5, 2, 1		1	5
66	66	131	131	1.0	1/4	1/4	2/4	3	1	i		a	#iii		i		i								m	1	1	0, -3, 1		0	0
67	67	132	132	0.5	0	0	2/4	3	1	V7(9)		a	#iii		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
67	67	265/2	265/2	0.5	1/8	1/8	2/4	3	1	V2		a	#iii		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
67	67	133	133	0.5	1/4	1/4	2/4	3	1	i6		a	#iii		i6		i		6						m	1	1	-3, 1, 0		0	-3
